collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Earth Day Collection,1711095637000,1713475561000,7,0,0,0,Huppy
Mother's Day Collection,1711095567000,1711095637000,3,0,0,0,Huppy
Easter Collection,1711095531000,1711095637000,10,0,0,0,Huppy
Bestsellers,1705336690000,1713475513000,4,0,0,0,Huppy
*New Product: Huppy Breath Mints*,1705347142000,1711095637000,3,0,0,0,Huppy
Bulk Packaging,1705422506000,1711095637000,10,0,0,0,Huppy
Kid's Toothpaste Tablets,1688161828000,1711095637000,4,0,0,0,Huppy
Dental Accesories,1705427786000,1713475561000,3,0,0,0,Huppy
Initial Order,1664472869000,1664472870000,2,0,0,0,Change Toothpaste
Customer Favorites,1689117929000,1689710204000,8,0,0,0,Desesh
Dental,1689709641000,1704970709000,5,0,0,0,Desesh
Shower & Haircare,1689117775000,1689710146000,8,0,0,0,Desesh
Skincare,1689709766000,1689710150000,8,0,0,0,Desesh
Shave,1689709857000,1689710156000,4,0,0,0,Desesh
Kitchen,1689710015000,1689710161000,5,0,0,0,Desesh
Laundry,1689709931000,1690328496000,3,0,0,0,Desesh
Unbranded Cotton Bags,1689710105000,1689710164000,3,0,0,0,Desesh
Travel-Friendly Clean Essentials Kit,1715275529000,1715275735000,7,0,0,0,Bite
Plastic- Free Deodorant Kit,1712618956000,1715275530000,4,0,0,0,Bite
Best Sellers,1704405882000,1715275530000,3,0,0,0,Bite
Full size toothpaste collection,1699299243000,1715622820000,6,0,0,0,Davids Natural Toothpaste
Davids Oral Care tools,1699299084000,1701715648000,3,0,0,0,Davids Natural Toothpaste
Davids Travel Collection,1699299021000,1699299243000,4,0,0,0,Davids Natural Toothpaste
Holiday Gift Collection,1699298934000,1699299243000,3,0,0,0,Davids Natural Toothpaste
Davids Best Seller Collection,1699298838000,1715640808000,4,0,0,0,Davids Natural Toothpaste
