tokens,publish_at_values,created_at_values,titles,ratings,brand
br_ag5wjpepw2,1715367600000,1715181883000,We love Huppy!,5,Huppy
br_y47trzv5db,1714158000000,1713991496000,Always love Huppy! ,5,Huppy
br_qrnpwk9kc9,1713985200000,1713798990000,excellent😎,5,Huppy
br_xxy5ndrsmb,1713466800000,1713283814000,Love everything about this company!,5,Huppy
br_34jhmzw3t2,1713380400000,1713182018000,exceeded expectations,5,Huppy
br_zdmcstmhe5,1712084400000,1711709344000,We love Huppy! Great items for our refillery. We just added some more items on top of tooth tablets like the tongue scrapers and floss for a full dental display and it looks great!,5,Huppy
br_6dvyqdbk4k,1712084400000,1711674410000,Great toothpaste! It’s not chalky at all!,5,Huppy
br_sh95vu3an2,1711738800000,1711570980000,Great product and great to work with!,5,Huppy
br_wnej9gbr6a,1711652400000,1711438076000,We love Huppy!,5,Huppy
br_5h4r7mrm5q,1711566000000,1711385285000,Excellent customer service and products!,5,Huppy
br_a2w8vcxfe3,1711566000000,1711384030000,The Best all around!,5,Huppy
br_3bercvkjch,1711566000000,1711378673000,Great sellers for us people appreciate the quality!,5,Huppy
br_4ygfkaktus,1711479600000,1711074703000,Always perfect,5,Huppy
br_2v32bcb8a6,1710874800000,1710641241000,They are incredibly fast at responding to messages and shipping! I have ordered twice with them and will continue to order. Thanks guys!,5,Huppy
br_s645uy8r9f,1709668800000,1709479522000,Pleased and Impressed with the communication from the owner at time of order thanking me for our partnership!! ,5,Huppy
br_ng86usg7bj,1709668800000,1709309362000,Never any complaints when it comes to Huppy. Great customer service and amazing products.,5,Huppy
br_8u4qswb334,1707940800000,1707777612000,Love the new mints!,5,Huppy
br_8dmpsngh28,1707854400000,1707491198000,Superior products!,5,Huppy
br_m6rfdgxgar,1707508800000,1707288395000,Always a pleasant experience!,5,Huppy
br_hj8p3aybc5,1707336000000,1707093793000,Love these for patient take home bags! ,5,Huppy
br_uamgwp3am8,1706126400000,1705945131000,Great products requested by our customers!,5,Huppy
br_ssgxyv2bay,1704830400000,1704664212000,Never Go Back!,5,Huppy
br_uetxeyekkk,1704744000000,1704389553000,One of my best seller item,5,Huppy
br_kr8y8s84rk,1703016000000,1702745117000,Best Seller!,5,Huppy
br_s9maqpae7d,1702670400000,1702490387000,Absolutely love this product! ,5,Huppy
br_ugq93ymkx5,1702065600000,1701888922000,Love these products!,5,Huppy
br_wa5kw98qey,1701460800000,1701253586000,LOVE HUPPY,5,Huppy
