token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_2yqkpdu6pd,o_bhp7fcfrxt,p_ygnz2ggryn,bo_uwmexqmwet,Vegan Dental Floss | Mint | Refills | 2-Pack,default,900,450,450,5,2250,2250,0,#UWMEXQMWET,
oi_5enx8gmkbm,o_bhp7fcfrxt,p_2g4umsvpse,bo_uwmexqmwet,Fluoride-Free Toothpaste Tablets | Peppermint | Refill ,default,850,475,475,10,4750,4750,0,#UWMEXQMWET,
oi_hvn5kfyutm,o_bhp7fcfrxt,p_76yk5q6gqx,bo_uwmexqmwet,Fluoride-Free Toothpaste Tablets | Char. Mint | Refill,default,850,475,475,10,4750,4750,0,#UWMEXQMWET,
oi_u6nvgrbjx4,o_259zmw3qhx,p_ygnz2ggryn,bo_pw4nyrm5wq,Vegan Dental Floss | Mint | Refills | 2-Pack,default,900,450,450,15,6750,6750,0,#PW4NYRM5WQ,
oi_824hpfwb6p,o_259zmw3qhx,p_mmbzzpndcd,bo_pw4nyrm5wq,Mouthwash Tablets | Cool Mint Tablets | Vegan | Cruelty-Free,default,2000,1000,1000,10,10000,10000,0,#PW4NYRM5WQ,
oi_9q8ued4hey,o_259zmw3qhx,p_asuhqtnzfn,bo_pw4nyrm5wq,Fluoride-Free Toothpaste Tablets | Char. Mint | Retail,default,1200,650,650,10,6500,6500,0,#PW4NYRM5WQ,
oi_pwp5exehc4,o_ypxr9qq2uh,p_6fxswdbqkx,bo_mfvecq7ybr,Kid's Toothpaste Tablets | Watermelon Straw. | Refill,default,850,237,475,10,2375,4750,0,#MFVECQ7YBR,
oi_wrngrq5dcs,o_ypxr9qq2uh,p_2g4umsvpse,bo_mfvecq7ybr,Fluoride-Free Toothpaste Tablets | Peppermint | Refill ,default,850,475,475,20,9500,9500,0,#MFVECQ7YBR,
oi_buybrsm4au,o_tyv2hhvppc,p_x684n2quun,bo_n3zfnr4nyy,Fluoride-Free Toothpaste Tablets | 4-Pack Samplers,Peppermint,40,25,25,800,20000,20000,0,#N3ZFNR4NYY,
oi_ng4pab52dk,o_j6pbpr936k,p_76yk5q6gqx,bo_a6e4g2dcjc,Fluoride-Free Toothpaste Tablets | Char. Mint | Refill,default,850,475,475,30,12112,14250,15,#A6E4G2DCJC,
