tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_3ag5cf3yxb,Earth Week 2024 - Email #3,ONE_TIME,COMPLETED,1714060856000,1978,1529,433,13,14,5005.0,2,440.0
bmc_gk2j95zbry,Earth Week 2024 - Email #2,ONE_TIME,COMPLETED,1713801626000,1976,1531,472,19,30,10455.0,9,3930.0
bmc_eyde4q9mb2,Earth Week 2024 - Email #1,ONE_TIME,COMPLETED,1713542446000,1974,1473,559,16,41,14480.0,5,1147.5
bmc_sb3zpqqe4k,Mouthwash Tablets,ONE_TIME,COMPLETED,1711501200000,697,466,173,1,12,3840.0,0,0.0
bmc_66hh2cnmka,Zero Waste ,ONE_TIME,COMPLETED,1710982800000,1953,1552,364,11,12,4640.0,3,1017.5
bmc_c4vecd89k8,New Businesses,ONE_TIME,COMPLETED,1710464400000,1037,934,307,19,0,0.0,0,0.0
bmc_geef7bg8qx,Dentist Campaign 2024,ONE_TIME,COMPLETED,1710320400000,974,914,289,18,0,0.0,0,0.0
bmc_g9wrabbxyr,Not Ordered MouthWash - Mar 2024,ONE_TIME,COMPLETED,1710320400000,1548,1305,480,13,10,1975.0,0,0.0
bmc_gfegxw6arr, Great News for Bad Breath! ,ONE_TIME,COMPLETED,1709024400000,913,626,387,6,21,4989.0,2,342.5
bmc_879w7cetwu,Toothpaste Tablet Refills Campaign 15% OFF!,ONE_TIME,COMPLETED,1708419600000,562,388,205,8,11,3435.0,4,1305.0
bmc_bayaxx82qy,Valentine's Breath Mints 2024,ONE_TIME,COMPLETED,1707921911000,917,648,355,7,11,3262.5,0,0.0
bmc_5hhgg7sreb,Never Purchased: 15% OFF 07.02.24,ONE_TIME,COMPLETED,1707296400000,60,37,22,2,0,0.0,0,0.0
bmc_qmbkvu9ry8,Winter Market Email 4,ONE_TIME,COMPLETED,1706169600000,939,668,403,8,19,8532.5,2,885.0
bmc_vdzv5p8nkk,Winter Market Email 3,ONE_TIME,COMPLETED,1706120943000,939,604,301,1,22,11217.5,1,395.0
bmc_tft5fqk6cj,Faire Winter Market Email Day 2,ONE_TIME,COMPLETED,1706112221000,938,632,324,7,27,12505.0,3,502.5
bmc_78qjya7yw4,Winter Market Email: Launch 24,ONE_TIME,COMPLETED,1706018444000,933,611,320,7,38,13845.0,4,1295.0
bmc_79mtnrdmnd,Winter Market Email Pre-Launch 24,ONE_TIME,COMPLETED,1705395600000,906,658,378,17,58,28782.5,4,1390.0
bmc_2uttu22ekg,Unused Faire Credit 12.18.23,ONE_TIME,COMPLETED,1702926414000,19,11,4,0,0,0.0,0,0.0
bmc_rzt785hnru,Sale: Holiday Sale Last Chance,ONE_TIME,COMPLETED,1702908942000,899,657,352,16,35,11432.5,8,2850.0
bmc_w7ma9h9q4p,3rd Email - Q4 Holiday Sale,ONE_TIME,COMPLETED,1699203617000,889,658,397,24,24,6430.0,7,1845.0
bmc_bbtxsxngkr,2nd Email - Q4 Holiday Sale,ONE_TIME,COMPLETED,1698940802000,886,708,384,17,35,11970.0,5,1447.5
bmc_tz6fus7g46,1st Email - Q4 Holiday Sale,ONE_TIME,COMPLETED,1698344390000,883,704,327,20,51,16447.5,14,3455.0
bmc_3f9d4mu6zc,Glass Jars - Supply Chain Issues (October 2023),ONE_TIME,COMPLETED,1697225316000,833,671,415,23,33,12845.0,1,110.0
bmc_g2zads8wkk,August Reviews - Last 60 Days Ordered,ONE_TIME,COMPLETED,1692045689000,311,258,154,4,19,5435.0,1,137.5
bmc_h5pchz3dfu,Faire Summer Market 2023 Last Call,ONE_TIME,COMPLETED,1689867056000,817,606,336,17,28,8390.0,8,3287.5
bmc_rzrccj76ah,Faire Summer Market 2023 Kickoff,ONE_TIME,COMPLETED,1689617267000,810,579,319,19,59,21110.0,13,3305.0
bmc_4cd8gve8fj,Untitled campaign 1,ONE_TIME,COMPLETED,1689006003000,797,628,354,10,42,20467.5,0,0.0
bmc_8vmjn6r9k3,Faire Summer Market 2023 Preview,ONE_TIME,COMPLETED,1688739628000,795,629,385,3,34,11947.5,0,0.0
bmc_ugtt33zh68,Return of Toothpaste Tablet Boxes (with Tin),ONE_TIME,COMPLETED,1687374015000,783,649,364,25,37,12513.5,6,1262.5
bmc_r5xuep3edk,Untitled campaign (Copy 1),ONE_TIME,COMPLETED,1684084165000,752,612,349,39,21,6444.0,4,1032.5
bmc_8fp5ffmebz,Untitled campaign,ONE_TIME,COMPLETED,1683497303000,748,626,350,31,39,10429.5,10,3534.0
bmc_vwu4aa3upm,Last Day of Faire Winter Market 2023,ONE_TIME,COMPLETED,1674773027000,121,101,39,0,4,805.25,0,0.0
bmc_9csdrfkqj5,Faire Winter Market is Here!,ONE_TIME,COMPLETED,1674601200000,641,537,230,6,34,11202.75,4,1082.0
bmc_6ex3cx68c2,Faire Winter Market,ONE_TIME,COMPLETED,1674406800000,629,528,254,9,73,24396.25,4,1182.0
bmc_63x59h89zh,Faire Winter Market 2023,ONE_TIME,COMPLETED,1673996400000,625,528,249,7,59,17815.0,4,1589.5
bmc_ccgbfc9ud5,New Product Alert: Tongue Cleaners! ✨,ONE_TIME,COMPLETED,1671134949000,591,500,263,16,15,4407.5,1,110.0
bmc_g6z2wvumzw,Black Friday & Cyber Monday Sale Ends Soon! 💸,ONE_TIME,COMPLETED,1667329200000,549,466,253,9,27,12323.5,1,376.0
bmc_6nfau3t7mt,Reminder: Black Friday & Cyber Monday Sale 💸,ONE_TIME,COMPLETED,1666047600000,531,452,264,14,39,18241.0,3,1068.0
bmc_2s9zxx782h,Black Friday & Cyber Monday Sale Ends Today! 💸,ONE_TIME,COMPLETED,1667577600000,553,328,208,3,15,6425.5,0,0.0
bmc_afjmf8hvzg,Black Friday & Cyber Monday Sale 💸,ONE_TIME,COMPLETED,1665527445000,528,451,267,9,36,14303.0,2,1292.5
bmc_zxtwz9grgb,Exciting News! 🥳,ONE_TIME,COMPLETED,1664917607000,518,444,288,11,24,8509.5,1,340.0
bmc_2zsnafdf3f,New Arrivals: Watermelon Strawberry Samples 🍉🍓,ONE_TIME,COMPLETED,1663184744000,497,439,222,5,19,8043.0,0,0.0
bmc_ayfshhc8c6,Peppermint Boxes Back In Stock 🥳✨,ONE_TIME,COMPLETED,1661190672000,465,402,205,3,20,3534.0,2,156.0
bmc_nzaxkub9ga,Peppermint Boxes Supply Chain Issues ☹️,ONE_TIME,COMPLETED,1660076309000,420,362,212,0,17,2427.0,0,0.0
bmc_8rvjda6tnt,We'd Love to Know What You Think! ✨,ONE_TIME,COMPLETED,1661875200000,474,410,233,8,22,4931.5,1,110.0
bmc_jkvhq3x7g3,Back In Stock: Samples,ONE_TIME,COMPLETED,1658441450000,417,358,154,5,19,5655.5,2,147.5
bmc_t556gugj26,Update: Charcoal Mint boxes ✨,ONE_TIME,COMPLETED,1657920379000,402,346,204,9,42,22000.5,3,992.5
bmc_7v6g2e7y3n,Summer Market,ONE_TIME,COMPLETED,1657578379000,391,340,189,7,27,12812.0,1,312.0
bmc_hunfuymjxq,REFERRAL,ONE_TIME,COMPLETED,1655942664000,333,287,166,1,9,2914.5,0,0.0
bmc_n3nhsmnf2g,DELAYS - V1,ONE_TIME,COMPLETED,1654633270000,322,281,169,3,23,6541.0,1,184.0
bmc_xsamvy4zhd,DELAYS,ONE_TIME,COMPLETED,1654631085000,321,279,176,6,20,5649.0,1,472.5
bmc_fp9bb4sybn,Mouthwash Bulk,ONE_TIME,COMPLETED,1653433910000,304,263,171,9,21,5113.5,1,162.0
bmc_6v7c5fnfxt,MOUTHWASH,ONE_TIME,COMPLETED,1651092639000,276,237,160,27,23,5532.5,6,1462.5
bmc_vkbqdb9x9j,EARTHMONTH,ONE_TIME,COMPLETED,1649100817000,249,215,125,8,19,5199.0,2,506.5
