tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_94j23w3edk,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1719877543000,False,False,r_g7bgeq2ehb,32780,re_ grocery Mar Vista,http://www.regrocery.co/,Grocery or Liquor Store
bo_xapn5yyj9q,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1719876943000,True,True,r_qvkfkc4pey,56905,Cariño Botánica,https://carinobotanica.square.site/,Home Decor Store
bo_xrehh63mey,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1719869443000,False,False,r_7goqn6511c,108532,Simply Zero,http://www.simplyzero.co,General or Mercantile Store
bo_yycmgz54h9,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1719862543000,False,False,r_dpj0foo9,14233,Bona Fide LLC,http://www.bonafide.eco,
bo_duavnuswef,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1719859843000,False,False,r_hgqhfbjshz,13721,Brit Snipes,http://www.therealmrefillery.com/,
bo_s6xcegghrx,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1719844459000,False,False,r_5zy9zh4qey,33262,BYOC Co.,http://www.byocco.com,General or Mercantile Store
bo_rfq6keext3,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1719839059000,False,False,r_3yrjfjxfzd,11309,Fulfilled Goods,http://fulfilledgoods.com/,Grocery or Liquor Store
bo_9btpv3tkae,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1719706759000,False,False,r_c4pvo3olhn,25438,Spoken Creation LLC,http://www.spoken-creation.com,
bo_mb56w69kcc,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1719706159000,False,False,r_s7p6a74mfd,19937,Refill Vashon,,General or Mercantile Store
bo_exbg6zw48e,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1719688159000,False,False,r_v2zdhx5uu9,9138,Refill Goods,http://www.refillgoods.square.site,Cafe or Restaurant
