product_token,name,category,sales_count,order_count,visit_count,date
p_g8m7ykb3cz,Mint Toothpaste Tablets | Fluoride-Free | 62ct,Toothpaste,1432,97,370,2023-01-01 00:00:00
p_asuhqtnzfn,Charcoal & Mint Toothpaste Tablets | Fluoride-Free | 62ct,Toothpaste,216,24,50,2023-01-01 00:00:00
p_2g4umsvpse,Fluoride-Free Peppermint Toothpaste Tablets | 62ct Refill,Toothpaste,1280,63,139,2023-01-01 00:00:00
p_76yk5q6gqx,Toothpaste Tablets | Charcoal Mint Toothpaste Refill | 62ct,Toothpaste,485,32,46,2023-01-01 00:00:00
p_ngs2hrh239,Toothpaste Tablets | Charcoal & Mint Toothpaste Tabs | 2lb,Toothpaste,24,24,32,2023-01-01 00:00:00
p_ju8gx38fe2,Toothpaste Tablets - Charcoal Mint - 5LB Bulk,Toothpaste,18,14,21,2023-01-01 00:00:00
p_nth3pztsdm,Toothpaste Tablets | Peppermint Toothpaste | 5lb Bulk,Toothpaste,84,62,80,2023-01-01 00:00:00
p_q6z5zsr667,Toothpaste Tablets - Peppermint - 2LB Bulk,Toothpaste,58,58,124,2023-01-01 00:00:00
p_8pxd6cqe8h,Refillable Case - Blush - Toothpaste Tablets,Toothpaste,0,0,0,2023-01-01 00:00:00
p_6fxswdbqkx,Kid's Toothpaste Tablets - Watermelon Strawberry - Refill,Toothpaste,410,36,54,2023-01-01 00:00:00
p_phvac8aumy,Kid's Toothpaste Tablets - Watermelon Strawberry - Box,Toothpaste,344,35,70,2023-01-01 00:00:00
p_u8qsfrp3rk,Bamboo Toothbrush | Non-Plastic Toothbrush | Soft Bristles,Toothbrushes,380,27,87,2023-01-01 00:00:00
p_nj5jzum5ry,Vegan Dental Floss | Plastic-Free Floss | Mint | Compostable,Floss,390,35,102,2023-01-01 00:00:00
p_3ssm6d9qua,Kid's Toothpaste Tablets - Watermelon Strawberry - 5LB Bulk,Toothpaste,12,11,16,2023-01-01 00:00:00
p_he8nps89xs,Kid's Toothpaste Tablets - Watermelon Strawberry - 2LB Bulk,Toothpaste,19,19,25,2023-01-01 00:00:00
p_x684n2quun,Toothpaste Tablets | 4-Pack Samplers | TSA-Friendly | Vegan,Toothpaste,5190,38,171,2023-01-01 00:00:00
p_ygnz2ggryn,Vegan Dental Floss - Refills (2-Pack),Floss,270,22,37,2023-01-01 00:00:00
p_mmbzzpndcd,Mouthwash Tablets | Cool Mint Tablets | Vegan | Cruelty-Free,Mouthwash,608,54,155,2023-01-01 00:00:00
p_es5uz2ac7r,Mouthwash Tablets - Cool Mint - 5LB Bulk,Mouthwash,3,3,12,2023-01-01 00:00:00
p_2bq93zm8kf,Mouthwash Tablets - Cool Mint - 2LB Bulk,Mouthwash,15,14,36,2023-01-01 00:00:00
p_scvsttxqw7,Tongue Scraper | Stainless Steel Tongue Cleaner,Tongue Scraper,90,7,35,2023-01-01 00:00:00
p_vk4fztwp3v,Starter Bundle,Oral Care Set,0,0,0,2023-01-01 00:00:00
p_7w5ke3qyy8,Breath Mints - Box,Mints,0,0,0,2023-01-01 00:00:00
p_rcf5n3qppv,Breath Mints - 2LB Bulk,Mints,0,0,0,2023-01-01 00:00:00
p_x448a82aff,Breath Mints - 5LB Bulk,Mints,0,0,0,2023-01-01 00:00:00
