collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Easter Tea Towels,1708093123000,1708113112000,21,0,0,0,Indigo Tangerine
Spring Tea Towels,1679673821000,1708093124000,25,0,0,0,Indigo Tangerine
St. Patrick's Day Tea Towels,1704215866000,1708093124000,26,0,0,0,Indigo Tangerine
*NEW* Pot Holders,1698426152000,1708131796000,33,0,0,0,Indigo Tangerine
Best Selling Custom Designs ,1685547870000,1708093124000,72,0,0,0,Indigo Tangerine
Weddings,1684161119000,1708135189000,73,0,0,0,Indigo Tangerine
Customizable Area Code Set,1664468091000,1708093124000,3,0,0,0,Indigo Tangerine
Home State Collection,1664467791000,1708093124000,1,0,0,0,Indigo Tangerine
Best-sellers Collection! ,1688737722000,1709228688000,13,0,0,0,Paper Farm Press
Apple Tree Collection,1679601639000,1709228689000,10,0,0,0,Paper Farm Press
Peach Blossom Collection,1676051555000,1709228691000,10,0,0,0,Paper Farm Press
Blueberry Field Collection,1674430690000,1709228688000,7,0,0,0,Paper Farm Press
Strawberry Patch Collection,1672867535000,1709228691000,11,0,0,0,Paper Farm Press
Lemon Grove Collection,1674428914000,1709228691000,11,0,0,0,Paper Farm Press
Pear Tree Collection,1679085606000,1709228691000,12,0,0,0,Paper Farm Press
Orange Orchard Collection,1674428779000,1709228692000,15,0,0,0,Paper Farm Press
Pomegranate Collection,1665756097000,1709228690000,12,0,0,0,Paper Farm Press
Pumpkin Patch Collection,1664564365000,1709228692000,10,0,0,0,Paper Farm Press
Fall Harvest Collection,1687982973000,1709228692000,24,0,0,0,Paper Farm Press
Oh What Fun!,1698107224000,1698107225000,19,0,0,0,Design Imports
Under The Mistletoe,1695909895000,1698107225000,17,0,0,0,Design Imports
Seasonal Kitchen Sets,1694633261000,1698107225000,12,0,0,0,Design Imports
Swedish Dishcloth Displays,1694109246000,1698107225000,4,0,0,0,Design Imports
Holiday Heritage,1694016742000,1698107225000,15,0,0,0,Design Imports
Holiday Baking,1694016243000,1698107225000,5,0,0,0,Design Imports
Oh What Fun!,1694016145000,1698107225000,12,0,0,0,Design Imports
Under The Mistletoe,1693340257000,1698107225000,17,0,0,0,Design Imports
Pumpkin Spice,1690767512000,1698107225000,12,0,0,0,Design Imports
Autumn Afternoon,1690767357000,1698107225000,15,0,0,0,Design Imports
Fall Foliage,1690767164000,1698107225000,13,0,0,0,Design Imports
Haunted Hallows,1690766084000,1698107225000,11,0,0,0,Design Imports
Witchful Thinking,1690765950000,1698107225000,9,0,0,0,Design Imports
Jack O Lantern,1690765855000,1698107225000,17,0,0,0,Design Imports
Game Day,1690765698000,1698107225000,8,0,0,0,Design Imports
Seasonal Doormats,1690764868000,1698107225000,18,0,0,0,Design Imports
Tea Towels,1708711776000,1708711776000,13,0,0,0,Bon Artis
Cosmetic Bags,1698162074000,1708711776000,3,0,0,0,Bon Artis
Mother's Day 2024 Collection ,1707925670000,1708973121000,58,0,0,0,Driftless Studios
Easter and Spring!,1706799589000,1707925670000,78,0,0,0,Driftless Studios
6x6 Collection,1706538891000,1707925670000,80,0,0,0,Driftless Studios
Swedish Dishcloths,1704899396000,1707925670000,59,0,0,0,Driftless Studios
2024 Coaster Collection,1704468182000,1707925670000,84,0,0,0,Driftless Studios
Farmhouse Tin Soy Wax Candles,1704467708000,1707925670000,30,0,0,0,Driftless Studios
Valentines Day Best Sellers,1701709058000,1707925670000,60,0,0,0,Driftless Studios
Magnets For Point Of Purchase Displays,1704380949000,1707925670000,80,0,0,0,Driftless Studios
40 Oz. Handled Tumbler,1703776198000,1707925670000,28,0,0,0,Driftless Studios
Gnomes And Gnomes,1700837662000,1707925670000,54,0,0,0,Driftless Studios
Tea Towels,1692123618000,1706799590000,71,0,0,0,Driftless Studios
Driftless Soy Wax Candles,1689607480000,1706799590000,50,0,0,0,Driftless Studios
10 Oz. Clear Label Collection,1687289819000,1706799590000,12,0,0,0,Driftless Studios
12x18's,1686938043000,1706799590000,62,0,0,0,Driftless Studios
High Sell Through Items Under $10,1682352652000,1706799590000,50,0,0,0,Driftless Studios
Black Label Candle Collection,1674573842000,1706799590000,18,0,0,0,Driftless Studios
