token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_6k8zmx9978,o_28w5z997ar,p_7753bsunqm,bo_pzx2eu5fbz,Bon|Artis Bike Baskets Tea Towel,default,1990,995,995,8,7960,7960,0,#PZX2EU5FBZ,
oi_hhmbbp5q42,o_28w5z997ar,p_zwzh9dgcy7,bo_pzx2eu5fbz,Bon|Artis Bees Love These Tea Towel,default,1990,995,995,8,7960,7960,0,#PZX2EU5FBZ,
oi_9unqq895r6,o_28w5z997ar,p_3pyqfgnfp6,bo_pzx2eu5fbz,Bon|Artis Blue & Orange Bouquet Tea Towel,default,1990,995,995,8,7960,7960,0,#PZX2EU5FBZ,
oi_br9xjbx89v,o_yumgbh338w,p_7nt46c37ff,bo_ggnmd8t8za,Bon|Artis Painted Dog Tea Towel,default,1990,995,995,16,15920,15920,0,#GGNMD8T8ZA,
oi_f4tep99a5s,o_yumgbh338w,p_3d532gbm2v,bo_ggnmd8t8za,Bon|Artis Painted Dog Tote Bag,default,2500,1250,1250,6,7500,7500,0,#GGNMD8T8ZA,
oi_s5rtk6ebeg,o_6dhjvtx26s,p_3pyqfgnfp6,bo_8ph9bdgn56,Bon|Artis Blue & Orange Bouquet Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_vx823mnxpp,o_6dhjvtx26s,p_zwzh9dgcy7,bo_8ph9bdgn56,Bon|Artis Bees Love These Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_mqf3rrhrh7,o_6dhjvtx26s,p_v98nxkvsts,bo_8ph9bdgn56,Bon|Artis Oohlala House Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_p9zqr5bvzj,o_6dhjvtx26s,p_7nt46c37ff,bo_8ph9bdgn56,Bon|Artis Painted Dog Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_3jrkjvhqxe,o_6dhjvtx26s,p_ju8v5n88a9,bo_8ph9bdgn56,Bon|Artis Blue Cat Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_wrjwtyy2e4,o_6dhjvtx26s,p_29tukxtnzy,bo_8ph9bdgn56,Bon|Artis Red Dog Tea Towel,default,1990,995,995,4,3980,3980,0,#8PH9BDGN56,
oi_kkdbab9d8c,o_q6scz8fmc6,p_v98nxkvsts,bo_h7jyz863qj,Bon|Artis Oohlala House Tea Towel,default,1990,995,995,12,11940,11940,0,#H7JYZ863QJ,
oi_426dtp3j26,o_q6scz8fmc6,p_3pyqfgnfp6,bo_h7jyz863qj,Bon|Artis Blue & Orange Bouquet Tea Towel,default,1990,995,995,6,5970,5970,0,#H7JYZ863QJ,
oi_cvqmsvfsm3,o_q6scz8fmc6,p_7nt46c37ff,bo_h7jyz863qj,Bon|Artis Painted Dog Tea Towel,default,1990,995,995,6,5970,5970,0,#H7JYZ863QJ,
oi_jrx9us7nsp,o_q6scz8fmc6,p_beugb7a95u,bo_h7jyz863qj,Bon|Artis Ooh La La Cats Tea Towel,default,1990,995,995,6,5970,5970,0,#H7JYZ863QJ,
oi_v49c5scaje,o_q6scz8fmc6,p_rmfv5unqhc,bo_h7jyz863qj,Bon|Artis Ooh La La House Pajama Set,Small,15800,7900,7900,4,31600,31600,0,#H7JYZ863QJ,
oi_tk8kxhux4j,o_q6scz8fmc6,p_6wng4c655h,bo_h7jyz863qj,Bon|Artis Ooh La La Cats Pajama Long Shirt,Medium,11400,5700,5700,1,5700,5700,0,#H7JYZ863QJ,
oi_7veq9pbakm,o_q6scz8fmc6,p_rmfv5unqhc,bo_h7jyz863qj,Bon|Artis Ooh La La House Pajama Set,Large,15800,7900,7900,2,15800,15800,0,#H7JYZ863QJ,
oi_wq6vbxqa5k,o_q6scz8fmc6,p_rmfv5unqhc,bo_h7jyz863qj,Bon|Artis Ooh La La House Pajama Set,Medium,15800,7900,7900,4,31600,31600,0,#H7JYZ863QJ,
oi_pskfvn3m55,o_q6scz8fmc6,p_pdj8rur3c6,bo_h7jyz863qj,Bon|Artis Ooh La La Poodles Tea Towel,default,1990,995,995,12,11940,11940,0,#H7JYZ863QJ,
oi_52tc54wzqn,o_q6scz8fmc6,p_6wng4c655h,bo_h7jyz863qj,Bon|Artis Ooh La La Cats Pajama Long Shirt,Small,11400,5700,5700,1,5700,5700,0,#H7JYZ863QJ,
oi_x4x8gkdvmj,o_x866r2k7h7,p_v98nxkvsts,bo_m3n78cgjyq,Bon|Artis Oohlala House Tea Towel,default,1990,995,995,4,3980,3980,0,#M3N78CGJYQ,
oi_qnqb3yfzma,o_x866r2k7h7,p_ju8v5n88a9,bo_m3n78cgjyq,Bon|Artis Blue Cat Tea Towel,default,1990,995,995,4,3980,3980,0,#M3N78CGJYQ,
oi_uff2ve7zqp,o_x866r2k7h7,p_7753bsunqm,bo_m3n78cgjyq,Bon|Artis Bike Baskets Tea Towel,default,1990,995,995,4,3980,3980,0,#M3N78CGJYQ,
