tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_w8s7gfzebp,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709318007000,False,False,r_8ikqu25rwd,39214
bo_udchmyuybm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706945030000,True,True,r_e0dmym6s,44016
bo_z55nn3f9gn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706393673000,False,False,r_7p8ea4txxr,26394
bo_a567wp8zzs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706243073000,True,True,r_5ljq4snuht,42761
bo_9qrvxmsqu6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706236773000,False,False,r_6sfd7xnd,20168
bo_t7ayz8dv5y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706222073000,False,False,r_8y81s7x55r,17174
bo_fsjmek52y9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706203523000,True,True,r_kpfwatug5e,19038
bo_ggn9mfc7re,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706132423000,False,False,r_4jzdc95d7b,35732
bo_hg7294eazu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706062774000,True,True,r_brvuorgq,19411
bo_3zgfznjmyq,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1706058838000,True,True,r_8uwqegtq,21122
bo_7n53fqbbgg,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1705989482000,True,True,r_69hv5kk0,36439
bo_cd2t5ge3p8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1705013989000,False,False,r_6hixnh58,103871
bo_8f6sqbrt2g,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704994355000,True,True,r_8y81s7x55r,17481
bo_vdxqbwb7py,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704994055000,True,True,r_288mc06j,20964
bo_kgfwpkagjm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704239949000,False,False,r_2t6186m1xz,25356
bo_vtguxsv5av,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1704215411000,False,False,r_671htvly,35785
