product_token,name,category,sales_count,order_count,visit_count,date
p_zvv43brwrk,Bon|Artis Black Cottage Tea Towel,Tea Towel,0,0,2,2023-01-01
p_beugb7a95u,Bon|Artis Ooh La La Cats Tea Towel,Tea Towel,28,2,2,2023-01-01
p_29tukxtnzy,Bon|Artis Red Dog Tea Towel,Tea Towel,4,1,2,2023-01-01
p_3pyqfgnfp6,Bon|Artis Blue & Orange Bouquet Tea Towel,Tea Towel,4,1,8,2023-01-01
p_7753bsunqm,Bon|Artis Bike Baskets Tea Towel,Tea Towel,0,0,8,2023-01-01
p_zwzh9dgcy7,Bon|Artis Bees Love These Tea Towel,Tea Towel,4,1,8,2023-01-01
p_7nt46c37ff,Bon|Artis Painted Dog Tea Towel,Tea Towel,28,2,10,2023-01-01
p_ju8v5n88a9,Bon|Artis Blue Cat Tea Towel,Tea Towel,4,1,1,2023-01-01
p_v98nxkvsts,Bon|Artis Oohlala House Tea Towel,Tea Towel,48,2,4,2023-01-01
p_rvr7y67x3n,Bon|Artis Elephant Garden Tea Towel,Tea Towel,0,0,3,2023-01-01
p_4az7yk7mp6,Bon|Artis Llamas Tea Towel,Tea Towel,0,0,2,2023-01-01
p_h769hx52cx,Bon|Artis Ooh La La Cat’s Meow Tea Towel,Tea Towel,24,1,6,2023-01-01
p_pdj8rur3c6,Bon|Artis Ooh La La Poodles Tea Towel,Tea Towel,20,2,6,2023-01-01
p_atux9zvk77,Bon|Artis Bees Love These Apron,Apron,0,0,1,2023-01-01
p_swmea5w7b9,Bon|Artis Painted Dog Apron,Apron,0,0,2,2023-01-01
p_qydpvzv9dq,Bon|Artis Ooh La La House Apron,Apron,0,0,5,2023-01-01
p_b5bhk2gnqe,Bon|Artis Ooh La La Cats Apron,Apron,0,0,10,2023-01-01
p_3d532gbm2v,Bon|Artis Painted Dog Tote Bag,Tote Bag,0,0,0,2023-01-01
p_h34qa4rpxc,Bon|Artis Ooh La La House Tote Bag,Tote Bag,0,0,0,2023-01-01
p_zs9z9rbu3q,Bon|Artis Ooh La La Cats Tote Bag,Tote Bag,0,0,0,2023-01-01
p_s8cbx7xbxx,Bon|Artis Ooh La La Cats Meow Tote Bag,Tote Bag,0,0,0,2023-01-01
p_37f29ef524,Bon|Artis Ooh La La Poodles Tote Bag,Tote Bag,0,0,0,2023-01-01
p_us6qfhtjyq,Bon|Artis The Painted Dog Pajama Set,Sleepwear Sets,0,0,0,2023-01-01
p_rmfv5unqhc,Bon|Artis Ooh La La House Pajama Set,Sleepwear Sets,0,0,0,2023-01-01
p_4wwx2hgr9n,Bon|Artis Ooh La La Cats Pajama Set,Sleepwear Sets,0,0,0,2023-01-01
p_tnkewb7fqv,Bon|Artis Painted Dog Pajama Long Shirt,Nightshirts,0,0,0,2023-01-01
p_anxvuvu5wd,Bon|Artis Oo La La House Pajama Long Shirt,Sleepwear Sets,0,0,0,2023-01-01
p_6wng4c655h,Bon|Artis Ooh La La Cats Pajama Long Shirt,Nightshirts,0,0,0,2023-01-01
p_54kxruvpxe,Bon|Artis Ooh La La Cats Cosmetic Bags,Makeup Bag,0,0,0,2023-01-01
p_kk9dcpd88n,Bon|Artis Ooh La La House Cosmetic Bags,Makeup Bag,0,0,0,2023-01-01
p_3455x82jp3,Bon|Artis Painted Dog Cosmetic Bags,Makeup Bag,0,0,0,2023-01-01
p_zvv43brwrk,Bon|Artis Black Cottage Tea Towel,Tea Towel,4,1,1,2023-02-01
p_beugb7a95u,Bon|Artis Ooh La La Cats Tea Towel,Tea Towel,4,1,3,2023-02-01
p_29tukxtnzy,Bon|Artis Red Dog Tea Towel,Tea Towel,4,1,1,2023-02-01
p_3pyqfgnfp6,Bon|Artis Blue & Orange Bouquet Tea Towel,Tea Towel,4,1,8,2023-02-01
p_7753bsunqm,Bon|Artis Bike Baskets Tea Towel,Tea Towel,4,1,4,2023-02-01
p_zwzh9dgcy7,Bon|Artis Bees Love These Tea Towel,Tea Towel,0,0,9,2023-02-01
p_7nt46c37ff,Bon|Artis Painted Dog Tea Towel,Tea Towel,4,1,5,2023-02-01
p_ju8v5n88a9,Bon|Artis Blue Cat Tea Towel,Tea Towel,4,1,3,2023-02-01
p_v98nxkvsts,Bon|Artis Oohlala House Tea Towel,Tea Towel,4,1,5,2023-02-01
p_rvr7y67x3n,Bon|Artis Elephant Garden Tea Towel,Tea Towel,4,1,2,2023-02-01
p_4az7yk7mp6,Bon|Artis Llamas Tea Towel,Tea Towel,4,1,2,2023-02-01
p_h769hx52cx,Bon|Artis Ooh La La Cat’s Meow Tea Towel,Tea Towel,4,1,2,2023-02-01
p_pdj8rur3c6,Bon|Artis Ooh La La Poodles Tea Towel,Tea Towel,4,1,3,2023-02-01
p_atux9zvk77,Bon|Artis Bees Love These Apron,Apron,2,1,7,2023-02-01
p_swmea5w7b9,Bon|Artis Painted Dog Apron,Apron,2,1,6,2023-02-01
p_qydpvzv9dq,Bon|Artis Ooh La La House Apron,Apron,2,1,3,2023-02-01
p_b5bhk2gnqe,Bon|Artis Ooh La La Cats Apron,Apron,2,1,7,2023-02-01
p_3d532gbm2v,Bon|Artis Painted Dog Tote Bag,Tote Bag,0,0,0,2023-02-01
p_h34qa4rpxc,Bon|Artis Ooh La La House Tote Bag,Tote Bag,0,0,0,2023-02-01
p_zs9z9rbu3q,Bon|Artis Ooh La La Cats Tote Bag,Tote Bag,0,0,0,2023-02-01
p_s8cbx7xbxx,Bon|Artis Ooh La La Cats Meow Tote Bag,Tote Bag,0,0,0,2023-02-01
p_37f29ef524,Bon|Artis Ooh La La Poodles Tote Bag,Tote Bag,0,0,0,2023-02-01
p_us6qfhtjyq,Bon|Artis The Painted Dog Pajama Set,Sleepwear Sets,0,0,0,2023-02-01
p_rmfv5unqhc,Bon|Artis Ooh La La House Pajama Set,Sleepwear Sets,0,0,0,2023-02-01
p_4wwx2hgr9n,Bon|Artis Ooh La La Cats Pajama Set,Sleepwear Sets,0,0,0,2023-02-01
p_tnkewb7fqv,Bon|Artis Painted Dog Pajama Long Shirt,Nightshirts,0,0,0,2023-02-01
p_anxvuvu5wd,Bon|Artis Oo La La House Pajama Long Shirt,Sleepwear Sets,0,0,0,2023-02-01
p_6wng4c655h,Bon|Artis Ooh La La Cats Pajama Long Shirt,Nightshirts,0,0,0,2023-02-01
p_54kxruvpxe,Bon|Artis Ooh La La Cats Cosmetic Bags,Makeup Bag,0,0,0,2023-02-01
p_kk9dcpd88n,Bon|Artis Ooh La La House Cosmetic Bags,Makeup Bag,0,0,0,2023-02-01
p_3455x82jp3,Bon|Artis Painted Dog Cosmetic Bags,Makeup Bag,0,0,0,2023-02-01
p_zvv43brwrk,Bon|Artis Black Cottage Tea Towel,Tea Towel,0,0,3,2023-03-01
p_beugb7a95u,Bon|Artis Ooh La La Cats Tea Towel,Tea Towel,0,0,1,2023-03-01
p_29tukxtnzy,Bon|Artis Red Dog Tea Towel,Tea Towel,0,0,0,2023-03-01
p_3pyqfgnfp6,Bon|Artis Blue & Orange Bouquet Tea Towel,Tea Towel,0,0,2,2023-03-01
p_7753bsunqm,Bon|Artis Bike Baskets Tea Towel,Tea Towel,0,0,0,2023-03-01
p_zwzh9dgcy7,Bon|Artis Bees Love These Tea Towel,Tea Towel,0,0,2,2023-03-01
p_7nt46c37ff,Bon|Artis Painted Dog Tea Towel,Tea Towel,0,0,0,2023-03-01
p_ju8v5n88a9,Bon|Artis Blue Cat Tea Towel,Tea Towel,0,0,0,2023-03-01
p_v98nxkvsts,Bon|Artis Oohlala House Tea Towel,Tea Towel,0,0,1,2023-03-01
p_rvr7y67x3n,Bon|Artis Elephant Garden Tea Towel,Tea Towel,0,0,0,2023-03-01
p_4az7yk7mp6,Bon|Artis Llamas Tea Towel,Tea Towel,0,0,0,2023-03-01
p_h769hx52cx,Bon|Artis Ooh La La Cat’s Meow Tea Towel,Tea Towel,0,0,1,2023-03-01
p_pdj8rur3c6,Bon|Artis Ooh La La Poodles Tea Towel,Tea Towel,0,0,1,2023-03-01
p_atux9zvk77,Bon|Artis Bees Love These Apron,Apron,0,0,2,2023-03-01
p_swmea5w7b9,Bon|Artis Painted Dog Apron,Apron,0,0,1,2023-03-01
p_qydpvzv9dq,Bon|Artis Ooh La La House Apron,Apron,0,0,0,2023-03-01
p_b5bhk2gnqe,Bon|Artis Ooh La La Cats Apron,Apron,0,0,0,2023-03-01
p_3d532gbm2v,Bon|Artis Painted Dog Tote Bag,Tote Bag,0,0,3,2023-03-01
p_h34qa4rpxc,Bon|Artis Ooh La La House Tote Bag,Tote Bag,0,0,4,2023-03-01
p_zs9z9rbu3q,Bon|Artis Ooh La La Cats Tote Bag,Tote Bag,0,0,1,2023-03-01
p_s8cbx7xbxx,Bon|Artis Ooh La La Cats Meow Tote Bag,Tote Bag,0,0,3,2023-03-01
p_37f29ef524,Bon|Artis Ooh La La Poodles Tote Bag,Tote Bag,0,0,2,2023-03-01
p_us6qfhtjyq,Bon|Artis The Painted Dog Pajama Set,Sleepwear Sets,0,0,0,2023-03-01
p_rmfv5unqhc,Bon|Artis Ooh La La House Pajama Set,Sleepwear Sets,0,0,0,2023-03-01
p_4wwx2hgr9n,Bon|Artis Ooh La La Cats Pajama Set,Sleepwear Sets,0,0,0,2023-03-01
p_tnkewb7fqv,Bon|Artis Painted Dog Pajama Long Shirt,Nightshirts,0,0,0,2023-03-01
p_anxvuvu5wd,Bon|Artis Oo La La House Pajama Long Shirt,Sleepwear Sets,0,0,0,2023-03-01
p_6wng4c655h,Bon|Artis Ooh La La Cats Pajama Long Shirt,Nightshirts,0,0,0,2023-03-01
p_54kxruvpxe,Bon|Artis Ooh La La Cats Cosmetic Bags,Makeup Bag,0,0,0,2023-03-01
p_kk9dcpd88n,Bon|Artis Ooh La La House Cosmetic Bags,Makeup Bag,0,0,0,2023-03-01
p_3455x82jp3,Bon|Artis Painted Dog Cosmetic Bags,Makeup Bag,0,0,0,2023-03-01
p_zvv43brwrk,Bon|Artis Black Cottage Tea Towel,Tea Towel,12,1,4,2023-04-01
p_beugb7a95u,Bon|Artis Ooh La La Cats Tea Towel,Tea Towel,16,2,4,2023-04-01
p_29tukxtnzy,Bon|Artis Red Dog Tea Towel,Tea Towel,0,0,1,2023-04-01
p_3pyqfgnfp6,Bon|Artis Blue & Orange Bouquet Tea Towel,Tea Towel,12,2,5,2023-04-01
p_7753bsunqm,Bon|Artis Bike Baskets Tea Towel,Tea Towel,0,0,1,2023-04-01
p_zwzh9dgcy7,Bon|Artis Bees Love These Tea Towel,Tea Towel,16,3,7,2023-04-01
p_7nt46c37ff,Bon|Artis Painted Dog Tea Towel,Tea Towel,8,2,3,2023-04-01
p_ju8v5n88a9,Bon|Artis Blue Cat Tea Towel,Tea Towel,0,0,0,2023-04-01
p_v98nxkvsts,Bon|Artis Oohlala House Tea Towel,Tea Towel,28,3,4,2023-04-01
p_rvr7y67x3n,Bon|Artis Elephant Garden Tea Towel,Tea Towel,0,0,3,2023-04-01
p_4az7yk7mp6,Bon|Artis Llamas Tea Towel,Tea Towel,0,0,4,2023-04-01
p_h769hx52cx,Bon|Artis Ooh La La Cat’s Meow Tea Towel,Tea Towel,4,1,4,2023-04-01
p_pdj8rur3c6,Bon|Artis Ooh La La Poodles Tea Towel,Tea Towel,8,1,2,2023-04-01
p_atux9zvk77,Bon|Artis Bees Love These Apron,Apron,0,0,8,2023-04-01
p_swmea5w7b9,Bon|Artis Painted Dog Apron,Apron,0,0,6,2023-04-01
p_qydpvzv9dq,Bon|Artis Ooh La La House Apron,Apron,0,0,7,2023-04-01
p_b5bhk2gnqe,Bon|Artis Ooh La La Cats Apron,Apron,0,0,3,2023-04-01
p_3d532gbm2v,Bon|Artis Painted Dog Tote Bag,Tote Bag,3,1,3,2023-04-01
p_h34qa4rpxc,Bon|Artis Ooh La La House Tote Bag,Tote Bag,3,1,3,2023-04-01
p_zs9z9rbu3q,Bon|Artis Ooh La La Cats Tote Bag,Tote Bag,0,0,7,2023-04-01
p_s8cbx7xbxx,Bon|Artis Ooh La La Cats Meow Tote Bag,Tote Bag,0,0,2,2023-04-01
p_37f29ef524,Bon|Artis Ooh La La Poodles Tote Bag,Tote Bag,0,0,5,2023-04-01
p_us6qfhtjyq,Bon|Artis The Painted Dog Pajama Set,Sleepwear Sets,0,0,1,2023-04-01
p_rmfv5unqhc,Bon|Artis Ooh La La House Pajama Set,Sleepwear Sets,0,0,1,2023-04-01
p_4wwx2hgr9n,Bon|Artis Ooh La La Cats Pajama Set,Sleepwear Sets,0,0,3,2023-04-01
p_tnkewb7fqv,Bon|Artis Painted Dog Pajama Long Shirt,Nightshirts,0,0,0,2023-04-01
p_anxvuvu5wd,Bon|Artis Oo La La House Pajama Long Shirt,Sleepwear Sets,0,0,1,2023-04-01
p_6wng4c655h,Bon|Artis Ooh La La Cats Pajama Long Shirt,Nightshirts,0,0,1,2023-04-01
p_54kxruvpxe,Bon|Artis Ooh La La Cats Cosmetic Bags,Makeup Bag,0,0,0,2023-04-01
p_kk9dcpd88n,Bon|Artis Ooh La La House Cosmetic Bags,Makeup Bag,0,0,0,2023-04-01
p_3455x82jp3,Bon|Artis Painted Dog Cosmetic Bags,Makeup Bag,0,0,0,2023-04-01
p_zvv43brwrk,Bon|Artis Black Cottage Tea Towel,Tea Towel,0,0,4,2023-05-01
