collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
NEW Releases,1689185530000.0,1705692768000.0,12.0,0.0,0.0,0.0,Boredwalk
Best Sellers,1689185389000.0,1705692849000.0,46.0,0.0,0.0,0.0,Boredwalk
Gifts + Accessories,1689355305000.0,1705692892000.0,48.0,0.0,0.0,0.0,Boredwalk
Book Lovers,1689194436000.0,1689625627000.0,24.0,0.0,0.0,0.0,Boredwalk
Seasonal Must-Haves,1689281747000.0,1689625627000.0,42.0,0.0,0.0,0.0,Boredwalk
Nature & Plants,1689196680000.0,1689625627000.0,65.0,0.0,0.0,0.0,Boredwalk
Science,1689624836000.0,1689625640000.0,74.0,0.0,0.0,0.0,Boredwalk
Food & Drink,1689282371000.0,1702937308000.0,73.0,0.0,0.0,0.0,Boredwalk
Feminist,1689353104000.0,1689624836000.0,65.0,0.0,0.0,0.0,Boredwalk
Mental Health,1689273748000.0,1689624836000.0,65.0,0.0,0.0,0.0,Boredwalk
Hometown Pride,1689265672000.0,1689624836000.0,52.0,0.0,0.0,0.0,Boredwalk
Easter Graphic Tees,1707683577000.0,1707683577000.0,4.0,0.0,0.0,0.0,Willow Poppy
Swiftie Collection,1700452098000.0,1704498666000.0,12.0,0.0,0.0,0.0,Willow Poppy
Hot Girl Summer,1709165918000.0,1709165918000.0,11.0,0.0,0.0,0.0,Hart and Hollow
Easter,1707352027000.0,1709165918000.0,18.0,0.0,0.0,0.0,Hart and Hollow
Girly Era <3,1706979834000.0,1709345874000.0,20.0,0.0,0.0,0.0,Hart and Hollow
Baseball,1706979310000.0,1709165918000.0,19.0,0.0,0.0,0.0,Hart and Hollow
Western ,1702659631000.0,1709165918000.0,26.0,0.0,0.0,0.0,Hart and Hollow
Swiftie Era,1702659518000.0,1709165918000.0,9.0,0.0,0.0,0.0,Hart and Hollow
The Truck Stop,1688588997000.0,1707352027000.0,12.0,0.0,0.0,0.0,Hart and Hollow
SAME DAY SHIPPING ,1680619743000.0,1709165710000.0,19.0,0.0,0.0,0.0,Hart and Hollow
CAR COASTERS,1677620001000.0,1707352027000.0,11.0,0.0,0.0,0.0,Hart and Hollow
Easter Collection,1708214978000.0,1708220039000.0,21.0,0.0,0.0,0.0,DUCK Creations
VIBRANT COLLECTION,1707179712000.0,1709179728000.0,51.0,0.0,0.0,0.0,DUCK Creations
Spring Collection,1705348712000.0,1708220089000.0,47.0,0.0,0.0,0.0,DUCK Creations
St. Patrick’s Day Collection,1705348344000.0,1708214979000.0,23.0,0.0,0.0,0.0,DUCK Creations
Top Sellers ,1702007893000.0,1708215104000.0,80.0,0.0,0.0,0.0,DUCK Creations
The Valentines Collection,1698616690000.0,1708214979000.0,44.0,0.0,0.0,0.0,DUCK Creations
Accessories ,1698616027000.0,1708214979000.0,7.0,0.0,0.0,0.0,DUCK Creations
