Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,brand
Screen Printed T-Shirts,Men's Here Comes Kitty T-Shirt,False,p_6401ftiu,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Have the Day You Deserve T-Shirt,False,p_rht5xwmcdu,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Ban the Fascists Save the Books V-Neck T-Shirt,False,p_hhed6svzwc,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's the Vibe Was Off T-Shirt,False,p_fucekd3mta,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Floral Skull T-Shirt,False,p_atah7sd1,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Catnip Freakout T-Shirt,False,p_ztu9jbg96u,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's William Shakespeare Bard To the Bone T-Shirt,False,p_vujt2kb3nz,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Sisters Before Misters T-Shirt,False,p_4qjw6ddm,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Shirley Temple On the Rocks T-Shirt,False,p_3e2mgy6f42,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Here Comes Kitty T-Shirt,False,p_e46lxr4l,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Vintage Michigan State T-Shirt,False,p_ez055zcz,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Catnip Freakout T-Shirt,False,p_uf9zvghu6h,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Elect More Scientists T-Shirt,False,p_8skkmu4vce,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Frankenstein's Monstera T-Shirt,False,p_6kypye9hdq,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Sasquatch Pines Resort T-Shirt,False,p_q5ezk7mgzf,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Floral Skull T-Shirt,False,p_t5y9vmf6m6,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Later Haters T-Shirt,False,p_wq39k86453,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Le Grand Coq T-Shirt,False,p_83bne9w645,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's I Enjoy Romantic Walks To the Taco Truck T-Shirt,False,p_bw849q3g,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's A Woman's Place Is in A Coven T-Shirt,False,p_zw3n589554,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Per My Previous Email T-Shirt,False,p_qr6s3ce9mz,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Spoiler Alert Unisex Tank Top,False,p_jpmfa5p26j,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Support Your Local Ghoul Gang V-Neck T-Shirt,False,p_zaauuav7y6,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Men's Carpe Librum T-Shirt,False,p_uc77wwbzp2,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Psychedelic Travel Bureau T-Shirt,False,p_b6yndsgtf7,FOR_SALE,32.0,16.0,0,Boredwalk
Screen Printed T-Shirts,Women's Le Grand Coq T-Shirt,False,p_97mz759z53,FOR_SALE,32.0,16.0,0,Boredwalk
