tokens,publish_at_values,created_at_values,titles,ratings,brand
br_sq66s9kck9,1705003200000,1704841814000,I have reordered so many times!,5,Boredwalk
br_9dz2rfwehk,1691780400000,1691576490000,Nice merchandise ,5,Boredwalk
br_76yfcveanu,1684177200000,1683837885000,"so excited to carry these products in my bookstore!!! Great Products, packaging and presentation!!!",5,Boredwalk
br_372euam7tg,1675195200000,1674922239000,These are great-I'm almost out of the notebooks already and the tea towels were selling before I had them on the floor,5,Boredwalk
br_fzsmjcpytv,1674763200000,1674588619000,LOVE LOVE LOVE ,5,Boredwalk
br_x53r5pk7jt,1665514800000,1665025104000,Love! ,5,Boredwalk
br_ng3ymkf2mf,1664391600000,1664211750000,great product and customer service. fast shipping ,5,Boredwalk
br_mgqdrd3y3t,1663700400000,1663437792000,good product,5,Boredwalk
br_t82uynzq6e,1662577200000,1662308486000,Best Sellers,5,Boredwalk
br_gskz526w4z,1661799600000,1661441644000,Great order and quality was is terrific,5,Boredwalk
br_hecjt4mbtq,1657566000000,1657154648000,The t-ahirts are of excellent quality. ,5,Boredwalk
br_ewazhb2n8r,1657566000000,1657154618000,The t-shirts are if excellent quality. ,5,Boredwalk
br_aqqudd3a2d,1646769600000,1646485125000,My customers love these,5,Boredwalk
br_9r5vhtbhtx,1644264000000,1643903629000,Fantastic Product!!!,5,Boredwalk
br_xm4pwwsszj,1642622400000,1642428219000,Love the quality and these are so sassy and funny!,5,Boredwalk
br_kkwzavcubb,1641326400000,1640925623000,Thrilled,5,Boredwalk
br_bmrbyuy8yf,1638561600000,1638322323000,We can’t get enough of this company!  ,5,Boredwalk
br_64v6bskqs4,1633719600000,1633528757000,Love the book,5,Boredwalk
br_m9fbpzkgwj,1631732400000,1631564917000,"Quick shipping, good quality",5,Boredwalk
br_7vy3rtr9um,1631559600000,1631217875000,Grievance Journals are morbidly hilarious!,5,Boredwalk
br_bqkjw4ts5r,1630436400000,1630174700000,Great quality ,5,Boredwalk
br_jp6xgug9zs,1630090800000,1629862257000,Love this brand,5,Boredwalk
br_x2p9mfrwsq,1629226800000,1628966466000,"Super quirky, sells quickly ",5,Boredwalk
br_wkapk4e9fn,1625252400000,1625089975000,Everything looks great!,5,Boredwalk
br_3ge8bfg6qp,1618858800000,1618512650000,Great seller,5,Boredwalk
br_8e24teo2ll,1614024000000,1613675361000,Wish they were available in larger sizes!,4,Boredwalk
br_bkjca6j7ww,1588014000000,1587658360000,Fun!,5,Boredwalk
br_5g96qy4jyq,1581451200000,1581036109000,Always a hit,5,Boredwalk
br_br9189tckw,1577476800000,1577216537000,Customer favorite,5,Boredwalk
br_9cgbepp0n4,1576180800000,1575994608000,Really fun!,5,Boredwalk
br_2ryr79afcn,1563994800000,1561993615000,,5,Boredwalk
br_23eel0faj0,1563994800000,1555341015000,,5,Boredwalk
br_jfaee7za3p,1708545600000,1708100438000,Always do,5,Willow Poppy
br_2y33m5q56b,1707940800000,1707696371000,Outstanding 🤠,5,Willow Poppy
br_e3uyvp7cjp,1706904000000,1706733769000,Customers love,5,Willow Poppy
br_qkrjbe9qjm,1706558400000,1706180599000,Great service ,5,Willow Poppy
br_3dpfq77cjg,1706040000000,1705853171000,VERY PLEASED WITH WILLOW POPPY IN BOTH THEIR PRODUCTS AND THE QUICK RESPONSE TO MY QUESTIONS.,5,Willow Poppy
br_uefx55a254,1706040000000,1705759956000,Great product and fast shipping!,5,Willow Poppy
br_ja5y3drjkt,1705694400000,1705451995000,This was my first time ordering and I was super impressed with the quality! ,5,Willow Poppy
br_ugf75nrdg7,1705521600000,1705244690000,love these tees ,5,Willow Poppy
br_j39jg2evtx,1705089600000,1704904946000,Amazing customer service and products!,5,Willow Poppy
br_ggg64rr4jf,1704225600000,1703722279000,I have ordered multiple times and they always fulfill my order correctly and fast! Great products! ,5,Willow Poppy
br_crqapu6jg2,1703188800000,1703010888000,These items arrived exactly how they are pictured and better than I imagined! ,5,Willow Poppy
br_238tbrbavn,1703016000000,1702683947000,Great quality T-shirts. Customers live how soft they are! ,5,Willow Poppy
br_fr35aw4ddp,1703016000000,1702683906000,Great quality t-shirts. Customers love how soft they are! ,5,Willow Poppy
br_q6q5dt5hj4,1702670400000,1702484013000,Love this company.  Quick turnaround time and awesome customer service ,5,Willow Poppy
br_hpbrw2msvp,1702065600000,1701881318000,Great ,5,Willow Poppy
br_35anys5xps,1701806400000,1701619873000,We will definitely order again!! ,5,Willow Poppy
br_qq7watbs4g,1701806400000,1701544766000,Wonderful to work with!,5,Willow Poppy
br_wbba34zfe5,1701201600000,1701035773000,These have done great in our shop and the quality is always so good! ,5,Willow Poppy
br_h4r34d85ec,1701201600000,1700866854000,Excellent,5,Willow Poppy
br_4rgxd2y767,1701115200000,1700695310000,"Great quality, shipped quickly. ",5,Willow Poppy
br_abtzmmyhyf,1698778800000,1698522982000,Awesome sweat shirts! ,5,Willow Poppy
br_fxqzj7hsfv,1695927600000,1695744874000,Awesome,5,Willow Poppy
br_yx4tjrsumm,1695754800000,1695495610000,love this product,5,Willow Poppy
br_xctkn9ebsa,1695754800000,1695495551000,love so much sold out and had to reorder.,5,Willow Poppy
br_7wfrptxbh9,1695322800000,1695148678000,"Good quality, great price!",5,Willow Poppy
br_mp9w8dert3,1692730800000,1692559234000,my order came exactly as shown in description. Thanks,5,Willow Poppy
br_tjvfe8hh7m,1692730800000,1692371545000,This is our 3rd order and these flew w our customers! Fast shipping too!,5,Willow Poppy
br_phztup3pm5,1689102000000,1688729587000,Super cute tees,5,Willow Poppy
br_tjsvz3z3h5,1687287600000,1686942771000,I loved our new shirts.,5,Willow Poppy
br_bffyv9edvb,1686078000000,1685880637000,Great Product,5,Willow Poppy
br_e492cpewpq,1677268800000,1677085777000,Great turn around time/shipping speed,5,Willow Poppy
br_5sqm6y5c9f,1707768000000,1707417860000,Great product - waited forever and still didn’t get my entire order ,3,Hart and Hollow
br_rmwq943ry2,1707768000000,1707358959000,"Super cute products, slow shipping and response time.",3,Hart and Hollow
br_gme5ku7wsm,1698865200000,1698693157000,Love these sweatshirts! ,5,Hart and Hollow
br_fbce39pyum,1695063600000,1694720499000,Hart & Hallow are the best,5,Hart and Hollow
br_kp6knhu7au,1694804400000,1694639211000,Great Seller!,5,Hart and Hollow
br_3gy3dpdepx,1691694000000,1691528755000,Great Vendor!,5,Hart and Hollow
br_ucwxkkw9nf,1680721200000,1680535466000,Love!,5,Hart and Hollow
br_t6qjurpt7w,1680721200000,1680493169000,Not the best quality or customer service,1,Hart and Hollow
br_jmguh8qhtk,1679511600000,1679326224000,Cuuute items ✨,4,Hart and Hollow
