tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_92aehbdzkf,Untitled campaign 1,ONE_TIME,DRAFT,,,,,,,,,
bmc_mszg6xgygx,New Customers First Order -- Promo Code,ONE_TIME,RUNNING,,,,,,,,,
bmc_66rv4qrwpe,Untitled campaign,ONE_TIME,DRAFT,,,,,,,,,
bmc_z5qa54b9r3,Faire Winter Market 2024 Starts NOW,ONE_TIME,COMPLETED,1706019789000.0,1939.0,1422.0,479.0,15.0,2.0,1064.0,0.0,0.0
bmc_qw8afqc3ga,Faire Winter Market 2024,ONE_TIME,COMPLETED,1704815152000.0,2051.0,1760.0,638.0,19.0,0.0,0.0,0.0,0.0
bmc_9a2um7ntbv,End of Year -- Restock (Returning) ,ONE_TIME,COMPLETED,1703599336000.0,255.0,217.0,99.0,2.0,1.0,1158.0,0.0,0.0
bmc_4anv8d8k6e,Delve Deck Expansion Packs,ONE_TIME,COMPLETED,1701446216000.0,2042.0,1779.0,641.0,9.0,1.0,326.0,0.0,0.0
bmc_ukztakhxdc,New Tees for November,ONE_TIME,COMPLETED,1699030838000.0,990.0,809.0,355.0,7.0,0.0,0.0,0.0,0.0
bmc_5ae8x75zcm,October Email,ONE_TIME,COMPLETED,1697644839000.0,2378.0,2178.0,704.0,8.0,2.0,258.0,0.0,0.0
bmc_gg76x9rh3j,New Arrivals for September (Copy 1),ONE_TIME,COMPLETED,1695829459000.0,1164.0,1014.0,355.0,2.0,1.0,384.0,0.0,0.0
bmc_s99tahazaw,New Arrivals for September,ONE_TIME,COMPLETED,1694536994000.0,1161.0,1064.0,389.0,3.0,2.0,448.0,0.0,0.0
bmc_g5pu2fxweq,Best-Sellers,ONE_TIME,COMPLETED,1692796958000.0,2369.0,2218.0,711.0,8.0,0.0,0.0,0.0,0.0
bmc_8aug67ru5f,New Arrivals,ONE_TIME,COMPLETED,1691586008000.0,1147.0,1060.0,408.0,6.0,2.0,463.0,0.0,0.0
bmc_8kbd8u9k7h,Faire July Market 2023 - 24Hr Reminder,ONE_TIME,COMPLETED,1689823957000.0,1142.0,507.0,169.0,2.0,2.0,4800.0,0.0,0.0
bmc_yhcvwsvfmj,Faire July Market 2023 - 2 Wk Reminder ,ONE_TIME,COMPLETED,1688389397000.0,2329.0,1980.0,549.0,4.0,0.0,0.0,0.0,0.0
bmc_ktjabsaayy,New Tees,ONE_TIME,COMPLETED,1687352017000.0,2257.0,2160.0,722.0,14.0,1.0,272.0,0.0,0.0
bmc_gddvhtyrsb,Customer Reviews Email,ONE_TIME,COMPLETED,1686146749000.0,2226.0,2145.0,680.0,9.0,0.0,0.0,0.0,0.0
bmc_c6w2rvccem,90s Activity Book Announcement,ONE_TIME,COMPLETED,1683907408000.0,2200.0,2154.0,780.0,13.0,1.0,298.0,0.0,0.0
bmc_e86fhbxyks,Mix & Match Towel Bundles,ONE_TIME,COMPLETED,1684930557000.0,2226.0,2147.0,756.0,17.0,1.0,212.0,0.0,0.0
