tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_jzyfwqyjyb,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709748397000,True,True,r_ay2sjnaj6e,30880,Crow and Arrow,http://instagram.com/crowandarrowny,
bo_4duphz7uks,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709500976000,False,False,r_9f70pbae13,17421,2nd To None Thrift Shop,https://2nd-to-none-thrift-shop.business.site/?utm_source=gmb&utm_medium=referral,Clothing Boutique
bo_v8kd8rvvzy,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1709447576000,False,False,r_1lq8dvi6b2,25232,Service Menswear,http://servicemenswear.com/,Clothing Boutique
bo_2t7jvh7nyg,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1709325776000,True,True,r_rjwu9rnwsq,10369,Lost Soul Found,http://www.lostsoulfound.com/,Clothing Boutique
bo_jsmbrxxwaq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708696655000,True,True,r_bxspns0s,38402,"SCOUT of Marion, 725 11th st, Marion, IA 52302",http://www.scoutofmarion.com/,General or Mercantile Store
bo_8585smpmmj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708370306000,True,True,r_5pcd9ek3jb,16000,Bards & Cards,http://www.bardsandcards.com/,
bo_wcez3nr42u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708201706000,False,False,r_ha8btcr8tu,22901,Sulfur Books,http://www.sulfurbooks.com/,Bookstore
bo_5nvd3rzmc7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708141106000,True,True,r_498bini4da,11126,tulips little pop up shop,https://maps.google.com/?cid=16287623285115625495,Clothing Boutique
bo_hmeqd7zxg8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708127906000,True,True,r_ddrvf2r4,9435,PPMC Gift Shop,,Gift Store
bo_bndxw7bqrs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708024369000,True,True,r_84c7aba3nn,45207,Mesa Developmental Service dba Strive,https://strivecolorado.org/,Gift Store
bo_tbasyjsvkb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707940372000,True,True,r_2ghqy8p9jr,21929,Prometheus Esoterica,https://www.prometheusesoterica.com/,
bo_qbzuh7pcsq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706712007000,True,True,r_2a5692kbbj,39444,eüphoria,"https://maps.google.com/?q=2809+W+Broadway,+Vancouver,+BC+V6K+2G6,+Canada&ftid=0x548673ac5d5567bf:0xdaeb5c8cfd5761dd",
bo_9qk5xekj4v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706382273000,True,True,r_c0rfsfpn,22277,Lot 59,http://www.lot59tx.com/,
bo_ddex9gwphp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706246373000,False,False,r_75targl66q,50195,The Ugly Mug Ceramics,https://the-ugly-mug-ceramics.business.site/?utm_source=gmb&utm_medium=referral,Gift Store
