collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
"40% OFF - Out With The Old, Make Way For The New ",1708924348000,1708924496000,41,0,0,0,Properly Improper
Best Seller,1694454894000,1705382221000,18,0,0,0,Properly Improper
Canvas Pouches ,1664473840000,1709700667000,52,0,0,0,Properly Improper
Opening Assortment - Kindness is Magic,1668613807000,1669775823000,9,0,0,0,Kindness is Magic
Best Sellers | Shop Favorites,1679074728000,1707935968000,21,0,0,0,Tiny Gift Society
Bags | Purses | Wallets | Pouches,1678174250000,1693506417000,4,0,0,0,Tiny Gift Society
Thank You Gifts | Customer Appreciation | Table Fillers,1678174000000,1707935898000,26,0,0,0,Tiny Gift Society
Boho Macrame Keychain | Handmade | Purse Charm,1678173315000,1679075491000,5,0,0,0,Tiny Gift Society
Keychains | Wristlets | Bangle Keychain,1678173088000,1698907729000,15,0,0,0,Tiny Gift Society
Woven Styles,1701616444000,1701616444000,4,0,0,0,Handmade By Uruba
Daisy Florals,1701616249000,1701616444000,5,0,0,0,Handmade By Uruba
Disco Ball Collection,1701616145000,1701616444000,6,0,0,0,Handmade By Uruba
Rainbow Collection,1697226842000,1701616444000,4,0,0,0,Handmade By Uruba
Notepads & Cards,1707337798000,1707929897000,18,0,0,0,Born To Rally
Pickleball Jewelry and Accessories,1692132503000,1707337799000,78,0,0,0,Born To Rally
Tennis Jewelry,1686615380000,1708608370000,35,0,0,0,Born To Rally
Pickleball and Tennis Drinkware,1697720092000,1708469500000,21,0,0,0,Born To Rally
Pickleball Towels,1695161176000,1707337799000,24,0,0,0,Born To Rally
Tennis Accessories,1705600078000,1708608403000,41,0,0,0,Born To Rally
Pickleball Socks,1685668183000,1707337799000,6,0,0,0,Born To Rally
Pickleball Bags,1685668261000,1708608419000,11,0,0,0,Born To Rally
Pickleball Hair Accessories,1681741932000,1707337799000,5,0,0,0,Born To Rally
Keychains,1677118070000,1707422723000,56,0,0,0,Born To Rally
Pickleball Charm,1677613092000,1707337799000,1,0,0,0,Born To Rally
Pickleball Earrings,1677119464000,1707337799000,24,0,0,0,Born To Rally
Pickleball Bracelets,1677119045000,1707337799000,39,0,0,0,Born To Rally
Pickleball Holiday,1697719869000,1707337799000,9,0,0,0,Born To Rally
Pickleball Necklaces,1674154190000,1707337799000,26,0,0,0,Born To Rally
