tokens,publish_at_values,created_at_values,titles,ratings,brand
br_jmc2eqryzm,1709755200000,1709568401000,Speedy Quality,5,Properly Improper
br_8mjh329pmc,1709323200000,1709094447000,"Thank you so much , such quick shipping !!! I loved the personal note and my gifts 🥰",5,Properly Improper
br_w6dtsrhats,1709150400000,1708968877000,Amazing Products and Great customer service,5,Properly Improper
br_aq9kgb3a76,1708027200000,1707848788000,Absolutely a shop staple,5,Properly Improper
br_hu99u53q3w,1708027200000,1707837256000,Very satisfied with my purchases!,5,Properly Improper
br_yffk6ufbkv,1708027200000,1707802175000,Adorable & fun ,4,Properly Improper
br_n9kzufney8,1707940800000,1707778358000,Very cute  good quality ,5,Properly Improper
br_dc58axt2ra,1707249600000,1706984019000,Raving Review of Properly Improper,5,Properly Improper
br_ksspjrnz22,1706644800000,1706479321000,"Great products, amazing customer service!",5,Properly Improper
br_gufg3p9xzv,1706644800000,1706458873000,Great Products!! ,5,Properly Improper
br_eab9sckewp,1706299200000,1706060624000,We love our stuff from Properly Improper!! ,5,Properly Improper
br_ght8wmgq43,1705694400000,1705522134000,Really fun-quality products!,5,Properly Improper
br_fxb2p5cqkv,1705608000000,1705424717000,Awesome,5,Properly Improper
br_ckr8vta65z,1705608000000,1705420054000,Great products and quick fulfillment ,5,Properly Improper
br_689tctrt28,1705521600000,1705165405000,Awesome ,5,Properly Improper
br_8bg5fdhdhp,1704484800000,1704325264000,Great product/ customer service,5,Properly Improper
br_bv4trz9683,1704398400000,1704212322000,Everything is very fun and cool and the quality is amazing!,5,Properly Improper
br_6ewp6ydqet,1703275200000,1703092413000,Products that fit my spa!,5,Properly Improper
br_xszs5btqtb,1703016000000,1702661399000,Wonderful,5,Properly Improper
br_9yydakaw7d,1702497600000,1702338975000,love everything,5,Properly Improper
br_mzw4226hk3,1702411200000,1702166767000,Super cute,5,Properly Improper
br_8z84wr9bcg,1701720000000,1701378330000,Very Happy!,5,Properly Improper
br_uqk4q7nxxd,1701115200000,1700780300000,the best,5,Properly Improper
br_5y3j7kzb8r,1698346800000,1698174235000,"I love everything! It came fast, was packaged with great care, and looks like just it does in the photos",5,Properly Improper
br_x4sc4jynmq,1697569200000,1697169805000,My favorite brand on Faire to shop!,5,Properly Improper
br_5tq6xr7vah,1697482800000,1697152561000,"Best customer service yet! Great company and fantastic, unique products!",5,Properly Improper
br_9nvry45byv,1697050800000,1696613683000,Awesome!,5,Properly Improper
br_mkgsux3prw,1696359600000,1695954340000,In love with everything!,5,Properly Improper
br_4c8bg9zehw,1695927600000,1695772366000,Gorgeous product,5,Properly Improper
br_dnj6y79zpy,1695754800000,1695393605000,Great as always!,5,Properly Improper
br_cmfdeu4che,1695668400000,1695273234000,The best selling socks!,5,Properly Improper
br_bs6efsmb96,1695236400000,1695048488000,OBSESSED,5,Properly Improper
br_vgyppng9t2,1695063600000,1694697215000,sweet,5,Properly Improper
br_w23nbtajbz,1693594800000,1693367281000,All so great!,5,Properly Improper
br_suh6fza2dw,1693335600000,1693063498000,Super cute products,5,Properly Improper
br_jxbgwrbv82,1693335600000,1693049998000,Amazing!,5,Properly Improper
br_dxr4bcfkqc,1693249200000,1692909004000,Always Great,5,Properly Improper
br_bvunah284j,1691694000000,1691530867000,So happy with my purchase!,5,Properly Improper
br_rzpx2v8eq8,1691521200000,1691347596000,Awesome ,5,Properly Improper
br_q9ehvj9t2a,1691175600000,1690951338000,The funnest items ever!,5,Properly Improper
br_6yd4qnncw8,1689879600000,1689712677000,Awesome!!,5,Properly Improper
br_n79ukjmawe,1689706800000,1689528386000,Obsessed,5,Properly Improper
br_aqznbpaaxe,1689706800000,1689397910000,🍄Adorable tea cups!🍄,5,Properly Improper
br_qyu38f8x4m,1689015600000,1688658821000,Ordered 3x already,5,Properly Improper
br_463jktb9uj,1689015600000,1688654297000,Speedy,5,Properly Improper
br_z9u6qrag3w,1688670000000,1688403482000,"Great products, amazing seller!",5,Properly Improper
br_2nxhbb9q24,1688583600000,1688340972000,I needed to order more!,5,Properly Improper
br_jj8ukpyn77,1686942000000,1686742260000,Hilariously adorable merchandise!!,5,Properly Improper
br_cpfftwrbeg,1686164400000,1685967572000,Ideal site,5,Properly Improper
br_atz5bmgv5x,1685041200000,1684867081000,"Perfect fit, Great quality",5,Properly Improper
br_xmdkrxkemk,1684954800000,1684769960000,Cute!,5,Properly Improper
br_8t3fm3qp5t,1684868400000,1684683091000,Great service,5,Properly Improper
br_hqa6dxbhbr,1684868400000,1684682711000,Great products,5,Properly Improper
br_h3gtn6g5qb,1684436400000,1684263191000,Love it!,5,Properly Improper
br_4p5ewggkyn,1684263600000,1684083155000,Great Quality,5,Properly Improper
br_x3tcgy8ubu,1684177200000,1683843752000,Amazing!,5,Properly Improper
br_u6fgufbkc3,1684177200000,1683792289000,interesting product,4,Properly Improper
br_hny9f8quyv,1683658800000,1683386044000,Restocking some customer favorites,5,Properly Improper
br_zf6jwa6z5q,1683054000000,1682891652000,Oh yeah!,5,Properly Improper
br_qndn294x7t,1683054000000,1682727495000,Amazing products!!,5,Properly Improper
br_baexmgyqe6,1682967600000,1682626714000,Great Fun,5,Properly Improper
br_27d3cxna7n,1682967600000,1682616733000,Always great!,5,Properly Improper
br_yz3nkmyqnj,1682362800000,1682001525000,Love all of it,5,Properly Improper
br_ssy57hg38a,1682103600000,1681927954000,LOVE working with Properly Improper,5,Properly Improper
br_ftutunda5x,1682017200000,1681849830000,Lovely a nice edition to our store ,5,Properly Improper
br_2gy3dwrj79,1681239600000,1681011032000,Absolutely love! Can’t wait to share these with everyone! ,5,Properly Improper
br_pkkj72seam,1681239600000,1680975870000,Good!!,5,Properly Improper
br_zge7w6sxa8,1680894000000,1680710899000,SO Cute!,5,Properly Improper
br_6pcfnkqfe6,1678392000000,1678205981000,"nice, fun, cheap pocket emptyer",4,Properly Improper
br_7df3d346sr,1677787200000,1677611687000,Very pleased with everything!,5,Properly Improper
br_d7nzcuejr8,1677528000000,1677113563000,Big fan of Properly Improper,5,Properly Improper
br_3brx5kukwq,1676664000000,1676426425000,"I just love them. Also got a beautiful note from the owner with my order, such a nice touch. ",5,Properly Improper
br_u4ckercgpb,1675713600000,1675371571000,Fun Line With Great Design,5,Properly Improper
br_pkndfbrjus,1675195200000,1674857326000,Awesome!,5,Properly Improper
br_sfnc2bccxc,1675108800000,1674740192000,.,5,Properly Improper
br_3bfktser8a,1671048000000,1670867310000,Love their Stuff!,5,Properly Improper
br_zqpnj7k72z,1669752000000,1669407998000,Customers love these,5,Properly Improper
br_usa7hn7ffs,1667851200000,1667517473000,Great service all around so far!,5,Properly Improper
br_brp8dquk79,1667329200000,1666981427000,My type of brand & products!,5,Properly Improper
br_rx5gq5cwxc,1660158000000,1659968768000,Amazing! ,5,Properly Improper
br_7xj72wmuce,1706040000000,1705857688000,Such fun cute stuff for tweens ,5,Kindness is Magic
br_4vmpa9xgcu,1703275200000,1703048860000,"Loved the motel keychains and the quality was beyond my expectations.  Shawna was very helpful and while the product card for the keychains were out of stock, she added a stickers and their Kindness is Magic postcards so that I could pass them out as people purchased the keychains.  My custoners were impressed and happy they received those items in addition to the beautiful keychains!",5,Kindness is Magic
br_x8j9wdumtn,1701806400000,1701547406000,Amazing products. ,5,Kindness is Magic
br_gybfkv6a2t,1694804400000,1694635697000,The packaging is ADORABLE and perfect for the vibe of my store! ,5,Kindness is Magic
br_kr8zqrddhp,1694804400000,1694626748000,The cutest patches ever!!,5,Kindness is Magic
br_mfg6sad9rg,1694026800000,1693686205000,Such great Quality !!!,5,Kindness is Magic
br_dcba8yjc6h,1693335600000,1693065779000,Great quality!,5,Kindness is Magic
br_7gvfketna8,1690311600000,1690075217000,awesome!,5,Kindness is Magic
br_k4f87f4txp,1689793200000,1689627411000,Super cute! ,5,Kindness is Magic
br_xftes6agqw,1686596400000,1686239392000,Super cute styles & great packaging.,5,Kindness is Magic
br_qh2jfpf4bf,1683140400000,1682954251000,Love everything from here ,5,Kindness is Magic
br_922cdjdc9y,1682449200000,1682282715000,Incredible customer service,5,Kindness is Magic
br_kgbm9abjj4,1682362800000,1681998814000,"Reasonable, small gifts for everyone you know!",5,Kindness is Magic
br_jp6rzbekke,1680807600000,1680620332000,Everything is so beautiful! ,5,Kindness is Magic
br_zuekj9956u,1679684400000,1679444483000,We love it all and so do our customers ,5,Kindness is Magic
br_q52gyhaep7,1679598000000,1679357669000,OMGoodness,5,Kindness is Magic
br_zecd9edz8z,1679425200000,1679123254000,I have lost track of how many times we have ordered.  Love all the products ,5,Kindness is Magic
br_v9wbxtdvba,1675454400000,1675254341000,Love so much!,5,Kindness is Magic
br_pj4e68jyxm,1675195200000,1674868043000,Incredible experience and speed!,5,Kindness is Magic
br_j3nawarbf6,1674072000000,1673665249000,Amazing as always. ,5,Kindness is Magic
br_7dmsjsvpfd,1673985600000,1673486391000,So happy!,5,Kindness is Magic
br_78edrd7vbr,1671652800000,1671432570000,Amazing ,5,Kindness is Magic
br_44tbby3duk,1709582400000,1709167917000,Love everything! So will my customers.  Fast shipping.  ,5,Tiny Gift Society
br_4qu8uvqh4j,1709064000000,1708707508000,Just perfect! Really fast shipping and great quality.,5,Tiny Gift Society
br_qh3rwfs2f9,1707508800000,1707271889000,Love Tiny Gift products ,5,Tiny Gift Society
br_tusny964qn,1707508800000,1707271679000,Love Tiny Gifts products and great customer service. ,5,Tiny Gift Society
br_bgt8vyfe3a,1707249600000,1706986398000,Return order,5,Tiny Gift Society
br_568duvzye9,1706817600000,1706575124000,Super Cute Products,5,Tiny Gift Society
br_u2z2nm6sfv,1706644800000,1706459046000,LOVE! Everyone loves the socks and are raving about them! ,5,Tiny Gift Society
br_3jn29ewjhf,1706212800000,1706020545000,Love all of the stuff I bought! So will my customers. Great quality. Fast shipping.,5,Tiny Gift Society
br_xb5zrwkbbr,1706212800000,1705978257000,Great accessories to sell and thank you items to gift,5,Tiny Gift Society
br_rq3c8zknwm,1706040000000,1705782645000,Very nice products!,5,Tiny Gift Society
br_cz7w2p52s8,1705953600000,1705600174000,Such fun gift items! ,5,Tiny Gift Society
br_2h9tksat58,1703793600000,1703633591000,Perfect customer gift options ,5,Tiny Gift Society
br_94xz595jzj,1703707200000,1703448200000,"Fun, easy sell goodies for my shop",5,Tiny Gift Society
