token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_59585vdmzh,o_v36cdne57a,p_yp242ya4f8,bo_2keew29u26,Pickleball Paddle Gift Bag,default,299,149,149,10,1490,1490,0,#2KEEW29U26,
oi_x5pmt7cetj,o_v36cdne57a,p_ng6xsp2mga,bo_2keew29u26,Pickleball Pickle Gift Bag,default,299,149,149,10,1490,1490,0,#2KEEW29U26,
oi_arnazvdhtb,o_v36cdne57a,p_ajw3txfps7,bo_2keew29u26,Pickleball Love Ankle Socks,default,999,499,499,5,2495,2495,0,#2KEEW29U26,
oi_vs4xzwhj2g,o_v36cdne57a,p_h8k288v9n3,bo_2keew29u26,Pickleball Lucky Socks,default,999,499,499,5,2495,2495,0,#2KEEW29U26,
oi_adsk95sq43,o_v36cdne57a,p_x5a57xqcv2,bo_2keew29u26,Pickleball Wine Tumblers,Dink Responsibly- Blue,2200,1100,1100,4,4400,4400,0,#2KEEW29U26,
oi_rfram3rcqa,o_v36cdne57a,p_x5a57xqcv2,bo_2keew29u26,Pickleball Wine Tumblers,Dink Responsibly- Pink,2200,1100,1100,4,4400,4400,0,#2KEEW29U26,
oi_akskngdnns,o_v36cdne57a,p_4j8h2s4me5,bo_2keew29u26,Pickleball Bracelet | Gold Open Paddle Adjustable Bracelet,default,3999,1999,1999,3,5997,5997,0,#2KEEW29U26,
oi_m22ns9w3qk,o_v36cdne57a,p_qfzj3crnf6,bo_2keew29u26,Pickleball Ankle Socks,Turquoise,999,499,499,3,1497,1497,0,#2KEEW29U26,
oi_dbkkuwjmjc,o_v36cdne57a,p_qfzj3crnf6,bo_2keew29u26,Pickleball Ankle Socks,Pink,999,499,499,3,1497,1497,0,#2KEEW29U26,
oi_s3m5cpzd64,o_v36cdne57a,p_qfzj3crnf6,bo_2keew29u26,Pickleball Ankle Socks,Navy,999,499,499,3,1497,1497,0,#2KEEW29U26,
oi_47s5jhpd29,o_v36cdne57a,p_3ujr55ja85,bo_2keew29u26,Pickleball Fathers Day Card,default,299,149,149,5,745,745,0,#2KEEW29U26,
oi_qc5328s95p,o_v36cdne57a,p_9uc447y4m9,bo_2keew29u26,Pickleball Love Hair Ties,default,799,399,399,5,1995,1995,0,#2KEEW29U26,
oi_3dfwtpksag,o_v36cdne57a,p_vux73n8wvs,bo_2keew29u26,Pickleball Mother's Day Card,default,299,149,149,8,1192,1192,0,#2KEEW29U26,
oi_uv6rrn99ys,o_v36cdne57a,p_t3z59jakcm,bo_2keew29u26,Pickleball Beaded Stretch Bracelet - Gold,default,3999,1999,1999,3,5997,5997,0,#2KEEW29U26,
oi_m7qys49bt5,o_v36cdne57a,p_5fsh5h3gmb,bo_2keew29u26,Pickleball Beaded Stretch Bracelet - Silver,default,3999,1999,1999,3,5997,5997,0,#2KEEW29U26,
oi_n9wfbyyhs5,o_v36cdne57a,p_dxvrkyvqud,bo_2keew29u26,Gold Pickleball Connector Rhinestone Necklace,default,3999,1999,1999,4,7996,7996,0,#2KEEW29U26,
oi_jq8hupn5qm,o_v36cdne57a,p_wpq83yfbb3,bo_2keew29u26,Gold CZ Pickleball Paddle Stud Earrings,default,2499,1249,1249,4,4996,4996,0,#2KEEW29U26,
oi_628z7rp5y5,o_s2ggmp3359,p_whu3wj3376,bo_7e3m7wgq3j,Pickleball Notepad - To Do After Pickleball,Blue,1200,600,600,3,1800,1800,0,#7E3M7WGQ3J,
oi_k8mz6jzbd9,o_s2ggmp3359,p_whu3wj3376,bo_7e3m7wgq3j,Pickleball Notepad - To Do After Pickleball,Pink,1200,600,600,3,1800,1800,0,#7E3M7WGQ3J,
oi_npnupx4tvk,o_s2ggmp3359,p_x5a57xqcv2,bo_7e3m7wgq3j,Pickleball Wine Tumblers,Dink Responsibly- Blue,2200,1100,1100,2,2200,2200,0,#7E3M7WGQ3J,
oi_dfy6jyg8g8,o_s2ggmp3359,p_x5a57xqcv2,bo_7e3m7wgq3j,Pickleball Wine Tumblers,Dink Responsibly- Pink,2200,1100,1100,2,2200,2200,0,#7E3M7WGQ3J,
oi_p2mgwqhq4m,o_s2ggmp3359,p_qw4m56pgdj,bo_7e3m7wgq3j,Bamboo Pickleball Socks- Navy,default,1299,649,649,3,1947,1947,0,#7E3M7WGQ3J,
oi_5qss698ubz,o_s2ggmp3359,p_k6x2qyqzyt,bo_7e3m7wgq3j,Pickleball Bag - Turquoise,default,5999,2999,2999,1,2999,2999,0,#7E3M7WGQ3J,
oi_dumwxkr5wv,o_s2ggmp3359,p_dkgczjzzhg,bo_7e3m7wgq3j,Pickleball Bag - Coral,default,5999,2999,2999,1,2999,2999,0,#7E3M7WGQ3J,
oi_8tj8n77774,o_s2ggmp3359,p_5fsh5h3gmb,bo_7e3m7wgq3j,Pickleball Beaded Stretch Bracelet - Silver,default,3999,1999,1999,2,3998,3998,0,#7E3M7WGQ3J,
oi_zavw3wy2rs,o_s2ggmp3359,p_tnfvh949wa,bo_7e3m7wgq3j,Pickleball Necklace - Silver,default,3999,1999,1999,2,3998,3998,0,#7E3M7WGQ3J,
oi_qmkvqhbkjx,o_s2ggmp3359,p_x5a57xqcv2,bo_7e3m7wgq3j,Pickleball Wine Tumblers,Over Served,2200,1100,1100,2,2200,2200,0,#7E3M7WGQ3J,
oi_d6ah3s6bgf,o_4p9cdgjabw,p_mge9ehvpyn,bo_46gke8mqb5,Pickleball Bag - Navy,default,5999,2999,2999,1,2999,2999,0,#46GKE8MQB5,
oi_ccsguq8dr9,o_4p9cdgjabw,p_k6x2qyqzyt,bo_46gke8mqb5,Pickleball Bag - Turquoise,default,5999,2999,2999,1,2999,2999,0,#46GKE8MQB5,
oi_6zqscbh7w4,o_4p9cdgjabw,p_km9kd93zuj,bo_46gke8mqb5,Pink Pickleball Cosmetic Bag,default,1999,999,999,3,2997,2997,0,#46GKE8MQB5,
oi_weatmvhnh6,o_4p9cdgjabw,p_ajw3txfps7,bo_46gke8mqb5,Pickleball Love Ankle Socks,default,999,499,499,6,2994,2994,0,#46GKE8MQB5,
oi_curuz9mgsj,o_4p9cdgjabw,p_g34khu4myy,bo_46gke8mqb5,Tennis Hair Ties- Multicolored,default,899,449,449,6,2694,2694,0,#46GKE8MQB5,
oi_e7jgdba8an,o_4p9cdgjabw,p_rv3wxzxhgy,bo_46gke8mqb5,Rally Tennis Hair Ties,default,899,449,449,6,2694,2694,0,#46GKE8MQB5,
oi_fnxdq8394h,o_4p9cdgjabw,p_dkgczjzzhg,bo_46gke8mqb5,Pickleball Bag - Coral,default,5999,2999,2999,1,2999,2999,0,#46GKE8MQB5,
oi_7bnrhqup2b,o_3cvsnpgprx,p_dkgczjzzhg,bo_usguvj5cw6,Pickleball Bag - Coral,default,5999,2999,2999,1,2999,2999,0,#USGUVJ5CW6,
oi_xk2ppc9cq4,o_3cvsnpgprx,p_mge9ehvpyn,bo_usguvj5cw6,Pickleball Bag - Navy,default,5999,2999,2999,2,5998,5998,0,#USGUVJ5CW6,
oi_z2jm7n9qjm,o_3cvsnpgprx,p_k6x2qyqzyt,bo_usguvj5cw6,Pickleball Bag - Turquoise,default,5999,2999,2999,2,5998,5998,0,#USGUVJ5CW6,
oi_6756gy8y5f,o_3cvsnpgprx,p_j79dku9w42,bo_usguvj5cw6,Pickleball Birthday Card - Serving Up Some Love,default,299,149,149,2,298,298,0,#USGUVJ5CW6,
oi_abktwz24hw,o_hmyaf8gdjy,p_6vukrrvkpn,bo_ga873k5d2b,Silver CZ Pickleball Paddle Stud Earrings,default,2499,1249,1249,2,2498,2498,0,#GA873K5D2B,
oi_aepkt2kb6w,o_hmyaf8gdjy,p_f3aebd3pw5,bo_ga873k5d2b,Pickleball Paddle Adjustable Rope Bracelet - Pick Color,Black,1999,999,999,3,2997,2997,0,#GA873K5D2B,
oi_syxgwdqc8t,o_hmyaf8gdjy,p_f3aebd3pw5,bo_ga873k5d2b,Pickleball Paddle Adjustable Rope Bracelet - Pick Color,Navy,1999,999,999,3,2997,2997,0,#GA873K5D2B,
oi_yqps76425e,o_hmyaf8gdjy,p_mge9ehvpyn,bo_ga873k5d2b,Pickleball Bag - Navy,default,5999,2999,2999,1,2999,2999,0,#GA873K5D2B,
oi_ddzxgyycbm,o_hmyaf8gdjy,p_dkgczjzzhg,bo_ga873k5d2b,Pickleball Bag - Coral,default,5999,2999,2999,1,2999,2999,0,#GA873K5D2B,
oi_ef2q7ydb7c,o_hmyaf8gdjy,p_qfzj3crnf6,bo_ga873k5d2b,Pickleball Ankle Socks,Navy,999,499,499,1,499,499,0,#GA873K5D2B,
oi_byjj7se3mu,o_hmyaf8gdjy,p_h8k288v9n3,bo_ga873k5d2b,Pickleball Lucky Socks,default,999,499,499,1,499,499,0,#GA873K5D2B,
oi_8ah2g6c8as,o_spkggjtuzd,p_a2srenwk4b,bo_9rk3s7eakn,Tennis Racket Adjustable Bracelet,default,2999,1499,1499,6,8994,8994,0,#9RK3S7EAKN,
oi_aby283ea5a,o_spkggjtuzd,p_g34khu4myy,bo_9rk3s7eakn,Tennis Hair Ties- Multicolored,default,899,449,449,10,4490,4490,0,#9RK3S7EAKN,
oi_89auu2z8wv,o_spkggjtuzd,p_9qdbh8exw9,bo_9rk3s7eakn,Tennis Love Cosmetic Bag,default,1499,749,749,6,4494,4494,0,#9RK3S7EAKN,
oi_k6w948p5ec,o_hubbshdum8,p_ch7be8atpe,bo_zhw8cy8kh7,Tennis Captain Cosmetic Bag,default,1499,749,749,2,1498,1498,0,#ZHW8CY8KH7,
oi_eknhhu5426,o_hubbshdum8,p_q42dp8v3fk,bo_zhw8cy8kh7,Tennis Ankle Socks - Pick Color,Pink,999,499,499,2,998,998,0,#ZHW8CY8KH7,
oi_xetnztxkes,o_hubbshdum8,p_dyu9vpvaex,bo_zhw8cy8kh7,Pickleball Scrunchies,default,999,499,499,3,1497,1497,0,#ZHW8CY8KH7,
oi_an6kwjzmee,o_hubbshdum8,p_hsm7mgdmp9,bo_zhw8cy8kh7,Tennis Scrunchie,default,599,299,299,6,1794,1794,0,#ZHW8CY8KH7,
oi_x4ny29gknf,o_hubbshdum8,p_3n4zku4qvx,bo_zhw8cy8kh7,Over Served Microfiber Tennis Towel,default,2200,1100,1100,2,2200,2200,0,#ZHW8CY8KH7,
oi_j9rnfavvmb,o_hubbshdum8,p_ap7erapbkn,bo_zhw8cy8kh7,Tennis Water Bottle Pouch,default,1399,699,699,2,1398,1398,0,#ZHW8CY8KH7,
oi_cvsgy2vdg5,o_hubbshdum8,p_h7muku4k99,bo_zhw8cy8kh7,Pickleball Stud Earrings,Silver,1599,799,799,2,1598,1598,0,#ZHW8CY8KH7,
oi_rvxs23q6u4,o_hubbshdum8,p_q42dp8v3fk,bo_zhw8cy8kh7,Tennis Ankle Socks - Pick Color,Turquoise,999,499,499,2,998,998,0,#ZHW8CY8KH7,
oi_37sf8a6ecp,o_hubbshdum8,p_q42dp8v3fk,bo_zhw8cy8kh7,Tennis Ankle Socks - Pick Color,Navy,999,499,499,2,998,998,0,#ZHW8CY8KH7,
oi_q5svn2fdux,o_v9mka2vxjw,p_g66szx4wqa,bo_9cmvmb7xv3,Things to Do After Pickleball Notepad,default,1200,600,600,8,4800,4800,0,#9CMVMB7XV3,
oi_w8zfejb4mx,o_v9mka2vxjw,p_3wuhaf47ad,bo_9cmvmb7xv3,Pickleball Notepad,default,1200,600,600,8,4800,4800,0,#9CMVMB7XV3,
oi_3nvkes74jq,o_v9mka2vxjw,p_mmx3nmjxva,bo_9cmvmb7xv3,Pickleball Notepad - Pickleball Girl,default,1200,600,600,8,4800,4800,0,#9CMVMB7XV3,
oi_v7mqnp4zm9,o_v9mka2vxjw,p_vux73n8wvs,bo_9cmvmb7xv3,Pickleball Mother's Day Card,default,299,149,149,6,894,894,0,#9CMVMB7XV3,
oi_dj3njgpd84,o_v9mka2vxjw,p_6ha9fth2d8,bo_9cmvmb7xv3,Pickleball Birthday Card - Dinking Of You (Blue),default,299,149,149,6,894,894,0,#9CMVMB7XV3,
oi_gwuqzr4c3b,o_v9mka2vxjw,p_57vx8w5mqq,bo_9cmvmb7xv3,Pickleball Birthday Card - Dinking Of You (Pink),default,299,149,149,6,894,894,0,#9CMVMB7XV3,
oi_ybh9yfcp6g,o_98a3uyreu8,p_km9kd93zuj,bo_wmmwjfbqf8,Pink Pickleball Cosmetic Bag,default,1999,999,999,2,1998,1998,0,#WMMWJFBQF8,
oi_5kshqqhw7c,o_98a3uyreu8,p_56cmws3t6w,bo_wmmwjfbqf8,Pickleball Earrings,default,2499,1249,1249,2,2498,2498,0,#WMMWJFBQF8,
oi_p6ttharzrs,o_98a3uyreu8,p_5b6t7a69ne,bo_wmmwjfbqf8,Paddle + Stars Pickleball Microfiber/Cotton Athletic Towel,default,2200,1100,1100,2,2200,2200,0,#WMMWJFBQF8,
