tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_sszvwbytxg,Towels | 3.29.24,ONE_TIME,COMPLETED,1711771258000.0,305.0,215.0,131.0,2.0,0.0,0.0,0.0,0.0
bmc_s6yv3jw9ba,Gifts for Her (Mom) | 3.26.24,ONE_TIME,COMPLETED,1711461600000.0,244.0,166.0,89.0,6.0,0.0,0.0,0.0,0.0
bmc_a349s28gzf,New Lead Outreach | 3.20.24,ONE_TIME,DRAFT,,,,,,,,,
bmc_tv8metn2x7,Keychains | 3.22.24,ONE_TIME,COMPLETED,1711116000000.0,38.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0
bmc_bkp7fzbza6,NEW Best Sellers Collection | 3.19.24,ONE_TIME,COMPLETED,1710943200000.0,187.0,125.0,67.0,1.0,1.0,404.74,0.0,0.0
bmc_kef735sgy4,Notepads & Cards,ONE_TIME,COMPLETED,1707400800000.0,127.0,92.0,49.0,0.0,0.0,0.0,0.0,0.0
bmc_d2wdphpgep,Untitled campaign,ONE_TIME,DRAFT,,,,,,,,,
bmc_3hhtdd2bgt,New Products- 10/19,ONE_TIME,COMPLETED,1697727805000.0,79.0,63.0,29.0,3.0,1.0,152.64,1.0,152.64
bmc_7qaz44regk,Pickleball Jewelry and Accessories,ONE_TIME,DRAFT,,,,,,,,,
bmc_ud9e7j6hw3,Pickleball,ONE_TIME,DRAFT,,,,,,,,,
