tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_xgpr4yqj3m,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1712019208000,True,True,r_9brs4wtfyb,14862,Classic Crafters & Co.,http://www.classicraftersco.com/,Home Decor Store
bo_xm22syskax,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1711993955000,True,True,r_f1nrjg01,20435,Dapple Grey Co. Boutique,http://dapplegreycoboutique.com/,
bo_nr6mdky4nt,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1711819696000,True,True,r_b8urkryrfx,16559,Pickle on Penn,https://www.pickleonpenn.com/,
bo_yfysajtrju,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1711578674000,True,True,r_vtmd5gt2wr,14956,Debra Kwast,http://imagescorcoran.com,Gift Store
bo_qxqkkwvvej,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711554792000,True,True,r_9l1cx10kna,13178,Butterfly Beach,http://www.butterflybeachclothing.com/,Clothing Boutique
bo_tstnjfmcnu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1711310781000,False,False,r_2f42fadv4y,34752,stephania denton,,Gift Store
bo_sucnmf3wy5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710960158000,False,False,r_6uz8pzs3bz,11801,Only Pickleball,http://onlypickleball.com/,
bo_rgm5taxw34,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710908728000,True,True,r_2zsgrm24w8,20761,The Teal Tail,http://shoptealtail.commentsold.com,Clothing Boutique
bo_hm4uh3umeh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710895528000,False,False,r_2e2sjt8i,23199,Holiday Brand,,
bo_echdgx9s63,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1710875728000,True,True,r_4epkor19kl,17679,Cruz By Design,,Clothing Boutique
