product_token,name,category,sales_count,order_count,visit_count,date
p_xqqd26b72c,Silver Pickleball Heart Paddle Necklace & Earring Set,Pendant & Charm Necklace,0,0,0,2023-01-01
p_6rzd6tx9p3,Subscription Men's Tee - 1 Month Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_qbrk5grex7,Pickleball Tees + More - 1 Month Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_x2zpfcttcj,Subscription Women's Tee - 1 Month Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_ubpbu53bsg,Pickleball Tees + More - 12 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_9rrs5bwfcq,Pickleball Tees + More - 3 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_ek5qjsj5zf,Subscription Men's Tee - 12 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_8eg3t8fnj8,Subscription Men's Tee - 3 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_pwapbutsqf,Subscription Women's Tee - 12 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_95f286vgmh,Subscription Women's Tee - 3 Months Plan,Screen Printed T-Shirts,0,0,0,2023-01-01
p_6vz4khykrz,Pink Dink Responsibly Gift Bundle,Wine Glass,0,0,0,2023-01-01
p_9shqd3fdhm,Pickleball Wine Tote & Glasses Gift Set,Wine Glass,0,0,0,2023-01-01
p_ewyxm4j9vf,Tennis Love Gift Set,Drinking Glasses & Cups,0,0,0,2023-01-01
p_939u6r4maz,Pickleball Bag & Towel,Sports Bags,0,0,0,2023-01-01
p_3f7dte4aa5,Pickleball Paddle Charm Bracelet - Pick Style,Charm & Dangle Bracelets,0,0,0,2023-01-01
p_uh3qevnh34,Birthday Balloon Gift Bag,Gift Bag,0,0,0,2023-01-01
p_fea74ezc7v,Black Star Gift Bag,Gift Bag,0,0,0,2023-01-01
p_anhsw6g24f,Valentine's Day Gift Bag,Gift Bag,0,0,0,2023-01-01
p_9zttz7pzjm,Women's Personalized Tennis Player Keychain,Keychains,0,0,0,2023-01-01
p_nqc9fvy7k9,Personalized Pickleball Keychain,Keychains,0,0,0,2023-01-01
p_rh88spu6bg,Personalized Pickleball Keychain with Two Paddles,Keychains,0,0,0,2023-01-01
p_u9qsr4guse,Personalized Pickleball Keychain - Queen of the Pickleball Court,Keychains,0,0,0,2023-01-01
p_7qq8qgzfcv,Beaded Tennis Racket Bracelet - Gold,Beaded Bracelets,0,0,0,2023-01-01
