collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Everyday Napkins,1709074461000,1709074461000,21,0,0,0,Caravan
Daisy Placemats,1704394088000,1709074461000,6,0,0,0,Caravan
Marseille Line,1704393923000,1709074461000,8,0,0,0,Caravan
Normandy Linen,1704393880000,1709074461000,8,0,0,0,Caravan
Brittany Linen ,1704393854000,1709074461000,12,0,0,0,Caravan
Alsace,1704393808000,1709074461000,12,0,0,0,Caravan
Paris Linen,1704393758000,1709074461000,4,0,0,0,Caravan
Circolo Placemats,1704393669000,1709074461000,6,0,0,0,Caravan
loopy placemats,1704393548000,1709074461000,7,0,0,0,Caravan
Laundered Linen Collection,1686252836000,1709074461000,17,0,0,0,Caravan
Marble Collection,1683876092000,1709074461000,9,0,0,0,Caravan
Trendy on a Budget,1690473892000,1690477177000,1,0,0,0,Fennco Styles
Mother's Day 2024 Collection ,1707925670000,1708973121000,58,0,0,0,Driftless Studios
Easter and Spring!,1706799589000,1707925670000,78,0,0,0,Driftless Studios
6x6 Collection,1706538891000,1707925670000,80,0,0,0,Driftless Studios
Swedish Dishcloths,1704899396000,1707925670000,59,0,0,0,Driftless Studios
2024 Coaster Collection,1704468182000,1707925670000,84,0,0,0,Driftless Studios
Farmhouse Tin Soy Wax Candles,1704467708000,1707925670000,30,0,0,0,Driftless Studios
Valentines Day Best Sellers,1701709058000,1707925670000,60,0,0,0,Driftless Studios
Magnets For Point Of Purchase Displays,1704380949000,1707925670000,80,0,0,0,Driftless Studios
40 Oz. Handled Tumbler,1703776198000,1707925670000,28,0,0,0,Driftless Studios
Gnomes And Gnomes,1700837662000,1707925670000,54,0,0,0,Driftless Studios
Tea Towels,1692123618000,1706799590000,71,0,0,0,Driftless Studios
Driftless Soy Wax Candles,1689607480000,1706799590000,50,0,0,0,Driftless Studios
10 Oz. Clear Label Collection,1687289819000,1706799590000,12,0,0,0,Driftless Studios
12x18's,1686938043000,1706799590000,62,0,0,0,Driftless Studios
High Sell Through Items Under $10,1682352652000,1706799590000,50,0,0,0,Driftless Studios
Black Label Candle Collection,1674573842000,1706799590000,18,0,0,0,Driftless Studios
Seersucker,1704024843000,1704024843000,6,0,0,0,Dot and Army
Spring 🌷 Collection,1664472699000,1708891380000,11,0,0,0,Cheeks Ahoy
Cloth Wipes,1689560204000,1705941804000,7,0,0,0,Cheeks Ahoy
Self Care,1689560043000,1706289507000,13,0,0,0,Cheeks Ahoy
Reusable Non•Paper Towels,1689559098000,1705941804000,8,0,0,0,Cheeks Ahoy
Cheeks Ahoy Organics,1664472665000,1705941804000,10,0,0,0,Cheeks Ahoy
