Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,brand
Dinner & Cloth Napkins,Gingham Cognac/Blue Napkins 20x20 - Set of 4,False,p_xcyv7gnpn8,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,Gingham Orange/Aqua Napkins 20x20 - Set of 4,False,p_y4puc37mff,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,Gingham Blue/Cognac Napkins 20x20 - Set of 4,False,p_ykdq4h7d7n,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,Gingham Aqua/Orange Napkins 20x20 - Set of 4,False,p_mwa9qxh64d,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,Picnic Napkin 20x20 - Walnut - Set of 4,False,p_3gk4kmtnwg,FOR_SALE,110.0,51.0,Caravan
Dinner & Cloth Napkins,Gingham Natural/Aqua Napkins 20x20 - Set of 4,False,p_gyvn3jnfym,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,"Daisy Jute Natural Placemat 15"" Round - Set of 4",False,p_5zswn43xe6,FOR_SALE,110.0,44.0,Caravan
Dinner & Cloth Napkins,Two-Tone Gingham Lime/Aqua Napkins 20x20 - Set of 4,False,p_zjmtzxcnng,FOR_SALE,110.0,44.0,Caravan
Dinner & Cloth Napkins,Vintage Linen Ivory/Navy Napkins 20x20 - Set of 4,False,p_nxwkjr8fte,FOR_SALE,100.0,40.0,Caravan
Dinner & Cloth Napkins,Two-Tone Gingham Dijon/Grey Napkins 20x20 - Set of 4,False,p_8sxf7k82zq,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,Bahamas Napkin 20x20 - Multi - Set of 4,False,p_csmqtqw8c7,FOR_SALE,110.0,55.0,Caravan
Dinner & Cloth Napkins,August Linen Stitch Multi Napkins - Set of 4,False,p_abw3jkrhz0,FOR_SALE,100.0,40.0,Caravan
Dinner & Cloth Napkins,Normandy Natural - Mustard/Natural/Blue Stripe Napkins 20x20,False,p_5bsksr583y,FOR_SALE,81.0,36.0,Caravan
Dinner & Cloth Napkins,Gingham Grey/Dijon Napkins 20x20 - Set of 4,False,p_5uhdp9yppy,FOR_SALE,120.0,48.0,Caravan
Dinner & Cloth Napkins,"Daisy Jute Navy Placemat 15"" Round - Set of 4",False,p_xkkfjkf3uk,FOR_SALE,110.0,44.0,Caravan
Dinner & Cloth Napkins,Brittany White & Blue Napkins 20x20 - Set of 4,False,p_3yz3cqzdaq,FOR_SALE,81.0,36.0,Caravan
Dinner & Cloth Napkins,Chunky Linen Forest Green Napkins 20x20 - Set of 4,False,p_729nz6ahqk,FOR_SALE,117.5,47.0,Caravan
Dinner & Cloth Napkins,Ticking Stripe Napkin 20x20 - Walnut - Set of 4,False,p_d9ynf4hpfs,FOR_SALE,110.0,51.0,Caravan
Dinner & Cloth Napkins,Alsace Natural & Mustard Napkins 20x20 - Set of 4,False,p_9sprpfcvhh,FOR_SALE,81.0,36.0,Caravan
Dinner & Cloth Napkins,Alsace Natural & Blue Napkins 20x20 - Set of 4,False,p_tcxmndhgmx,FOR_SALE,81.0,36.0,Caravan
Dinner & Cloth Napkins,Everyday Napkins Kiwi 21x21 - Set of 4,False,p_752wpba2ua,FOR_SALE,110.0,51.0,Caravan
Dinner & Cloth Napkins,Normandy Natural - Red/Natural/Blue Stripes Napkins 20x20,False,p_k7yup3yhue,FOR_SALE,81.0,36.0,Caravan
Dinner & Cloth Napkins,Laundered Linen Lime Aqua Napkins 20x20 - Set of 4,False,p_ws6wpm9ndz,FOR_SALE,80.0,32.0,Caravan
