tokens,publish_at_values,created_at_values,titles,ratings,brand
br_qchqsay82q,1708545600000,1708305338000,"Love these beautiful linen dish towels! These are a repeat item for us. The look, feel, and colors!",5,Caravan
br_dnb856v8ww,1695668400000,1695327262000,Great products ,5,Caravan
br_mnje2t879p,1695409200000,1695206904000,great product - ships quickly,5,Caravan
br_4fgmpq6zcv,1685646000000,1685447150000,Beautiful marble pieces,5,Caravan
br_zdmkgnfrmt,1676404800000,1676047578000,Great! ,5,Caravan
br_56kq88g4vg,1675454400000,1675274196000,Perfect. ,5,Caravan
br_jykrhaxfku,1674072000000,1673629877000,Always a pleasure to receive a shipment from Caravan. ,5,Caravan
br_r2m6hzk7t4,1672948800000,1672726188000,Love everything. Excited to have this beautiful line in the shop. ,5,Caravan
br_zf3bw7mxre,1666119600000,1665838398000,Will definitely be reordering ,5,Caravan
br_sj4bgtukyb,1665601200000,1665326900000,Love these kitchen linens!,5,Caravan
br_xky8avyfr6,1665082800000,1664910142000,THE BEST NAPKINS EVER,5,Caravan
br_dw3ntvg3e3,1663095600000,1662917621000,THE BEST NAPKINS EVER,5,Caravan
br_vy7hjjar46,1661886000000,1661711631000,Nice quality,5,Caravan
br_t9dr7w6wzh,1659034800000,1658874018000,Sent wrong items,1,Caravan
br_ed348nxhn6,1657652400000,1657293111000,Great response time and products,5,Caravan
br_6b24nfv82z,1656010800000,1655851613000,Beautiful quality linens ,5,Caravan
br_e2pshdfae8,1654628400000,1654219252000,Beautiful quality tea towels!,5,Caravan
br_yhetw84yj6,1652295600000,1652061703000,Great service and love the products ,5,Caravan
br_kykmhwnh4w,1651172400000,1650989288000,Fabulous Linens! ,5,Caravan
br_75jkq9tx3e,1650654000000,1650493616000,Thank you!,5,Caravan
br_a72h4jm2km,1650308400000,1649974485000,Beautiful quality and colors,5,Caravan
br_sccjvzzc8c,1650308400000,1649970636000,Will be ordering more!,5,Caravan
br_r4p5kmk4tg,1648753200000,1648573404000,Great items! Better than photos ,5,Caravan
br_9rtvqq8y9u,1648148400000,1647963511000,Outstanding product!,5,Caravan
br_bk4f956bz8,1647889200000,1647555953000,Beautiful products ,5,Caravan
br_hfxmyt4fvf,1647370800000,1647044685000,Excellent service and top quality merchandise ,5,Caravan
br_5fvbqx8hys,1647370800000,1647011702000,Beautiful products!,5,Caravan
br_8kh36xscm8,1645560000000,1645116826000,Gorgeous product ,5,Caravan
br_33ja5vy6cw,1644868800000,1644527124000,Even better in person,5,Caravan
br_jxc2qhp3zz,1643313600000,1643147171000,Great product,5,Caravan
br_zzyv46rcfu,1643140800000,1642965928000,Love these and so do our clients,5,Caravan
br_gbsjvsqttt,1639080000000,1638891221000,Beautiful Linens! ,5,Caravan
br_ta9txjyk35,1635879600000,1635520503000,Perfect color for any table any season,5,Caravan
br_h7vxg2y628,1634238000000,1634076400000,Fabulous napkins.,5,Caravan
br_feqbkwad7j,1634238000000,1634076235000,beautiful napkins.  Thank you.,5,Caravan
br_ag3qqapyp5,1634065200000,1633585948000,always. beautiful quality! ,5,Caravan
br_2mqwcd8mzw,1632250800000,1631892694000,love the products!,5,Caravan
br_zka8rzjfz2,1630609200000,1630438822000,beautiful product!,5,Caravan
br_52bs5w7wck,1629486000000,1629250812000,The glasses I ordered are stunning!,5,Caravan
br_n92zk336a7,1628276400000,1628120408000,"Gorgeous, high quality products and awesome shipping time",5,Caravan
br_35hrqym6mt,1627585200000,1627425671000,This is a great line for our shop.,5,Caravan
br_b2vr7n9m2v,1627066800000,1626881040000,Lovely products,5,Caravan
br_vc5uxdackd,1625684400000,1625522159000,love em,5,Caravan
br_ww65qb3p3h,1623438000000,1623242813000,Beautiful kitchen linens!,5,Caravan
br_3z1rxx1bkn,1619809200000,1619617152000,Love,5,Caravan
br_a5nyaq1ti7,1617217200000,1616988595000,Awesome as usual,5,Caravan
br_exbchkp2qj,1617130800000,1616817947000,It's good,4,Caravan
br_ec73qs4r90,1614283200000,1614110733000,elegant,5,Caravan
br_ccob7vls4j,1614110400000,1613925989000,Marble bar boards,3,Caravan
br_31etfkso6v,1612296000000,1612049246000,Love the marble trays.  Beautiful for display and styling a kitchen or bathroom.  Thank you.,5,Caravan
br_afmsqjh0wm,1611172800000,1610941012000,Stunning marble pieces,5,Caravan
br_f4acxjojny,1606248000000,1606066946000,Lovely Marble Pieces!,5,Caravan
br_7stigt13ok,1599159600000,1598980591000,These are absolutely Beautiful. ,5,Caravan
br_49hdnmuxdh,1596740400000,1596562112000,Bowl great quality but very small,4,Caravan
br_531ppopgzn,1595271600000,1594870391000,GORGEOUS!,5,Caravan
br_bt04mvt6qb,1594321200000,1594151638000,Pepe board,5,Caravan
br_zhb6mp6rvv,1593802800000,1593633932000,Not sure,3,Caravan
br_94lwov7h1d,1591124400000,1590945900000,beautiful products!,5,Caravan
