token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_yaekfc4kw8,o_5w67nuauru,p_q934ackyg4,bo_bttg4tcpas,"Loopy Abaca Natural 15"" Round - Set of 4",default,10800,4800,4800,4,19200,19200,0,#BTTG4TCPAS,
oi_84yvpmvhgu,o_m6vbseb8hn,p_9mgwcztp8t,bo_fq6sf9twda,Paris White - Blue/Mustard Napkins 20x20  - Set of 4,default,8100,3600,3600,4,14400,14400,0,#FQ6SF9TWDA,
oi_v95cykg3ct,o_m6vbseb8hn,p_u9re3qkzp3,bo_fq6sf9twda,Summer Glass White & Turquoise Small 9oz - Set of 4,White/Turquoise / Small,8500,3400,3400,3,10200,10200,0,#FQ6SF9TWDA,
oi_rxv7t4kjcq,o_m6vbseb8hn,p_ajhh6vrkjg,bo_fq6sf9twda,Marseille - Red & Natural Napkins 20x20 - Set of 4,default,9000,4000,4000,4,16000,16000,0,#FQ6SF9TWDA,
oi_dv3ak364rg,o_m6vbseb8hn,p_ccxrk3a2gp,bo_fq6sf9twda,Trio Stripe Napkins - Natural Olive 20x20 - Set of 4,default,10200,5100,5100,4,20400,20400,0,#FQ6SF9TWDA,
oi_4sv8yczm8a,o_m6vbseb8hn,p_7dwh6wyjtg,bo_fq6sf9twda,Summer Glass Turquoise & White Small 9oz - Set of 4,Turquoise/White / Small,8500,3400,3400,3,10200,10200,0,#FQ6SF9TWDA,
oi_e84rddbpm8,o_m6vbseb8hn,p_5gwu3d47ba,bo_fq6sf9twda,Trio Stripe Napkins - Natural Blue 20x20 - Set of 4,default,11000,5100,5100,4,20400,20400,0,#FQ6SF9TWDA,
oi_hbmyv6uftk,o_m6vbseb8hn,p_gyvn3jnfym,bo_fq6sf9twda,Two-Tone Gingham Natural/Aqua Napkins 20x20 - Set of 4,Natural/Aqua,12000,4800,4800,4,19200,19200,0,#FQ6SF9TWDA,
oi_d9qhz9ha8x,o_m6vbseb8hn,p_mwa9qxh64d,bo_fq6sf9twda,Two-Tone Gingham Aqua/Orange Napkins 20x20 - Set of 4,Aqua/Orange,12000,4800,4800,4,19200,19200,0,#FQ6SF9TWDA,
oi_9r4ceh98yj,o_ehfsabqta7,p_naccq6dvyn,bo_eu5f6qn53d,Chunky Linen Orange Towels 20x30 - Set of 2,Orange,7500,3000,3000,2,6000,6000,0,#EU5F6QN53D,
oi_6awurfrp6d,o_ehfsabqta7,p_vdyfwu9can,bo_eu5f6qn53d,Picnic Napkin 20x20 - Clementine - Set of 4,default,11000,5100,5100,2,10200,10200,0,#EU5F6QN53D,
oi_fx7vnahc26,o_ehfsabqta7,p_yjmj62h47j,bo_eu5f6qn53d,Everyday Napkins Peony 21x21 - Set of 4,default,11000,5100,5100,2,10200,10200,0,#EU5F6QN53D,
oi_sn52pgprvr,o_ehfsabqta7,p_59w2twst76,bo_eu5f6qn53d,Chunky Linen Lime Towels 20x30 - Set of 2,Lime,7500,3000,3000,2,6000,6000,0,#EU5F6QN53D,
oi_r278c3yazy,o_ehfsabqta7,p_ue3qcxktrw,bo_eu5f6qn53d,Windowpane - Napkins Blue & Natural 20x20 - Set of 4,default,6000,3100,3100,5,15500,15500,0,#EU5F6QN53D,
oi_jfqkzd7ues,o_ehfsabqta7,p_dspgyvzrn8,bo_eu5f6qn53d,Two-Tone Gingham Aqua/Orange Towels 20x30 - Set of 2,Aqua/Orange,7500,3000,3000,3,9000,9000,0,#EU5F6QN53D,
oi_b4ae8df6cf,o_ehfsabqta7,p_brk5phry4v,bo_eu5f6qn53d,Chunky Linen Forest Green Towels 20x30 - Set of 2,Forest Green,7500,3000,3000,2,6000,6000,0,#EU5F6QN53D,
oi_7d432ejwu3,o_ehfsabqta7,p_rw9qhvhchq,bo_eu5f6qn53d,Two-Tone Gingham Natural/Dijon Towels 20x30 - Set of 2,Natural/Dijon,6000,3000,3000,2,6000,6000,0,#EU5F6QN53D,
oi_fbp5zx6ad3,o_ehfsabqta7,p_pg2y7n3h8f,bo_eu5f6qn53d,Two-Tone Gingham Natural/Aqua Towels - Set of 2,Natural/Aqua,7500,3000,3000,2,6000,6000,0,#EU5F6QN53D,
oi_8xw4mcswkc,o_gshjs4a77n,p_7dwh6wyjtg,bo_gu8jesgr9c,Summer Glass Turquoise & White Small 9oz - Set of 4,Turquoise/White / Small,8500,3400,3400,3,10200,10200,0,#GU8JESGR9C,
oi_x6ds2s7g4r,o_gshjs4a77n,p_u9re3qkzp3,bo_gu8jesgr9c,Summer Glass White & Turquoise Small 9oz - Set of 4,White/Turquoise / Small,8500,3400,3400,3,10200,10200,0,#GU8JESGR9C,
oi_pujtsupvqe,o_9q9c7xvbhf,p_5zswn43xe6,bo_wdc85g64tf,"Daisy Jute Natural Placemat 15"" Round - Set of 4",Natural,11000,4400,4400,2,8800,8800,0,#WDC85G64TF,
oi_q45gzsyrnb,o_9q9c7xvbhf,p_fehv5ksw5t,bo_wdc85g64tf,"Circolo Abaca Navy 15"" Round - Set of 4",default,10800,4800,4800,2,9600,9600,0,#WDC85G64TF,
oi_dvuyhc67pf,o_vbc983wgy2,p_dspgyvzrn8,bo_mmz6bg7rsn,Two-Tone Gingham Aqua/Orange Towels 20x30 - Set of 2,Aqua/Orange,7500,3000,3000,2,6000,6000,0,#MMZ6BG7RSN,
oi_e8sbvje77g,o_vbc983wgy2,p_ayqr7w9kzr,bo_mmz6bg7rsn,Picnic Napkin 20x20 - Basil - Set of 4,default,11000,5100,5100,2,10200,10200,0,#MMZ6BG7RSN,
oi_n7f5ng7ydy,o_vbc983wgy2,p_dc3xv5njfw,bo_mmz6bg7rsn,Petite Fleur Multi Napkins 19x19 - Set of 6,default,9375,3750,3750,2,7500,7500,0,#MMZ6BG7RSN,
oi_dp7jkba8n2,o_vbc983wgy2,p_m6t2trn3cj,bo_mmz6bg7rsn,Picnic Napkin 20x20 - Blueberry - Set of 4,default,11000,5100,5100,2,10200,10200,0,#MMZ6BG7RSN,
oi_hnmkmut7nr,o_vbc983wgy2,p_wubphwtcd5,bo_mmz6bg7rsn,Ticking Stripe Napkin 20x20 - Mustard - Set of 4,default,11000,5100,5100,2,10200,10200,0,#MMZ6BG7RSN,
oi_a9yk3yqzh9,o_vbc983wgy2,p_hwdepetxrw,bo_mmz6bg7rsn,Ticking Stripe Napkin 20x20 - Tomato - Set of 4,default,11000,5100,5100,2,10200,10200,0,#MMZ6BG7RSN,
oi_p96gyahu3z,o_xrc5a7mqan,p_h80ygem2og,bo_uxudqzvdue,Marble Grande Round Tray,Grande,9250,3700,3700,6,22200,22200,0,#UXUDQZVDUE,
oi_akq36a6c4b,o_xrc5a7mqan,p_5m32z9rffj,bo_uxudqzvdue,Summer Glass Orange & Turquoise Large 15oz - Set of 4,Orange/Turquoise / Large,9250,3700,3700,8,29600,29600,0,#UXUDQZVDUE,
oi_5z3hcjry9v,o_xrc5a7mqan,p_r4jcasnu22,bo_uxudqzvdue,Summer Glass Turquoise & White Large 15oz - Set of 4,Turquoise/White / Large,9250,3700,3700,8,29600,29600,0,#UXUDQZVDUE,
oi_rjgnpfy6db,o_xrc5a7mqan,p_qxfrfc3mye,bo_uxudqzvdue,Laundered Linen Indigo/White Towels 20x30 - Set of 2,Indigo/White,5750,2300,2300,4,9200,9200,0,#UXUDQZVDUE,
oi_ysbgawpsyx,o_dwbtvzn4rk,p_u9re3qkzp3,bo_mn2ue2tfk6,Summer Glass White & Turquoise Small 9oz - Set of 4,White/Turquoise / Small,8500,3400,3400,2,6800,6800,0,#MN2UE2TFK6,
oi_x3j8undq6p,o_dwbtvzn4rk,p_7dwh6wyjtg,bo_mn2ue2tfk6,Summer Glass Turquoise & White Small 9oz - Set of 4,Turquoise/White / Small,8500,3400,3400,2,6800,6800,0,#MN2UE2TFK6,
oi_6mfpgfv6fx,o_dwbtvzn4rk,p_ukmseyqawz,bo_mn2ue2tfk6,Bold Stripe Linen Turquoise Orange Napkins 20x20 - Set of 4,Turquoise/Orange,9750,3900,3900,2,7800,7800,0,#MN2UE2TFK6,
oi_vejjne4nry,o_ss8unybjmq,p_bkxxjwuprg,bo_t25r8698ug,Laundered Linen Orange/Natural Napkins 20x20 - Set of 4,Orange/Natural,8000,3200,3200,2,6400,6400,0,#T25R8698UG,
oi_erawqdw7db,o_ss8unybjmq,p_6auczr4qkx,bo_t25r8698ug,Laundered Linen Orange/Natural Towels 20x30 - Set of 2,Orange/Natural,5000,2000,2000,2,4000,4000,0,#T25R8698UG,
oi_9b68pc7u3b,o_ss8unybjmq,p_2qakyse8qy,bo_t25r8698ug,Laundered Linen Pink/Lime Napkins 20x20 - Set of 4,Pink/Lime,8000,3200,3200,2,6400,6400,0,#T25R8698UG,
oi_pbhdxav4rt,o_ss8unybjmq,p_5ajscssabf,bo_t25r8698ug,Chunky Linen Mustard Towels 20x30 - Set of 2,Mustard,6000,3000,3000,2,6000,6000,0,#T25R8698UG,
oi_qmh9jds95b,o_ss8unybjmq,p_naccq6dvyn,bo_t25r8698ug,Chunky Linen Orange Towels 20x30 - Set of 2,Orange,7500,3000,3000,2,6000,6000,0,#T25R8698UG,
oi_kkvpa3td84,o_ss8unybjmq,p_f44u3r7fk9,bo_t25r8698ug,Chunky Linen Red Towels 20x30 - Set of 2,Red,7500,3000,3000,2,6000,6000,0,#T25R8698UG,
oi_n8q3wyppxw,o_ss8unybjmq,p_59w2twst76,bo_t25r8698ug,Chunky Linen Lime Towels 20x30 - Set of 2,Lime,7500,3000,3000,2,6000,6000,0,#T25R8698UG,
oi_smytp2w4q4,o_ss8unybjmq,p_d7gqffkdpp,bo_t25r8698ug,Laundered Linen Aqua/Lime Towels 20x30 - Set of 2,Aqua/Lime,5750,2300,2300,2,4600,4600,0,#T25R8698UG,
oi_7knj6bvchh,o_ss8unybjmq,p_dspgyvzrn8,bo_t25r8698ug,Two-Tone Gingham Aqua/Orange Towels 20x30 - Set of 2,Aqua/Orange,7500,3000,3000,2,6000,6000,0,#T25R8698UG,
oi_ma9jpdhwps,o_ss8unybjmq,p_5m32z9rffj,bo_t25r8698ug,Summer Glass Orange & Turquoise Large 15oz - Set of 4,Orange/Turquoise / Large,9250,3700,3700,6,22200,22200,0,#T25R8698UG,
oi_8w5gfswpss,o_ss8unybjmq,p_bta5jdcprb,bo_t25r8698ug,Everyday Natural Napkin Ring - Set of 4,default,4000,1600,1600,2,3200,3200,0,#T25R8698UG,
oi_qjptrwparn,o_ss8unybjmq,p_9ghfsrqqwy,bo_t25r8698ug,Everyday White Wash Napkin Ring - Set of 4,default,4000,1600,1600,4,6400,6400,0,#T25R8698UG,
oi_n82mr3uh9r,o_ss8unybjmq,p_8hbuah6djc,bo_t25r8698ug,Picnic Napkin 20x20 - Tomato - Set of 4,default,11000,5100,5100,2,10200,10200,0,#T25R8698UG,
oi_b2dkqgxmtj,o_ss8unybjmq,p_vdyfwu9can,bo_t25r8698ug,Picnic Napkin 20x20 - Clementine - Set of 4,default,11000,5100,5100,2,10200,10200,0,#T25R8698UG,
oi_susjztpgq2,o_ss8unybjmq,p_w895auxngu,bo_t25r8698ug,Picnic Napkin 20x20 - Mustard - Set of 4,default,11000,5100,5100,2,10200,10200,0,#T25R8698UG,
oi_teydaywbkq,o_ss8unybjmq,p_ayqr7w9kzr,bo_t25r8698ug,Picnic Napkin 20x20 - Basil - Set of 4,default,11000,5100,5100,2,10200,10200,0,#T25R8698UG,
