tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_4ym3xer5c8,Everyday napkins,ONE_TIME,COMPLETED,1709139600000.0,5923.0,3225.0,1334.0,15.0,0.0,0.0,0.0,0.0
bmc_ktnk4uc5v9,embrodery collection ,ONE_TIME,COMPLETED,1709053200000.0,5923.0,3144.0,1389.0,21.0,0.0,0.0,0.0,0.0
bmc_m2zu55yur7,windowpane and bistro,ONE_TIME,COMPLETED,1708794000000.0,5923.0,3297.0,1490.0,24.0,4.0,1259.0,1.0,350.0
bmc_dc3xwu8yk7, 📢Last day to get 10% OFF📢 Jan 24,ONE_TIME,SENDING,1706202000000.0,5914.0,1572.0,685.0,10.0,0.0,0.0,0.0,0.0
bmc_fnmdjdakef,HURRY!! 10% OFF Ends SOON ✨ jan24,ONE_TIME,COMPLETED,1706115600000.0,5914.0,2818.0,1260.0,17.0,6.0,2269.0,1.0,261.0
bmc_6umsf9azj2,🔊FAIRE WINTER SALE STARTS NOW !! Jan 24,ONE_TIME,SENDING,1706029200000.0,5912.0,669.0,286.0,5.0,1.0,261.0,1.0,261.0
bmc_yxbkzc5vm4,📢ARE YOU READY FOR 10% OFF WINTER SALE 2024???😃😃 JAN24,ONE_TIME,COMPLETED,1705683600000.0,5910.0,3194.0,1507.0,28.0,12.0,7575.0,1.0,261.0
bmc_9tg4cjuhht,HURRY!!! 📢EARLY ACCESS 10% OFF for INSIDER TODAY  24,ONE_TIME,COMPLETED,1705942800000.0,5911.0,3063.0,1420.0,26.0,5.0,2962.0,0.0,0.0
bmc_e5v68r5gxe,Our New Daisy Jute Placemats,ONE_TIME,COMPLETED,1700240400000.0,5902.0,3330.0,1493.0,14.0,6.0,2499.0,0.0,0.0
bmc_a9hpkh2wjr,Introducing Alsace Linen: Pre-Order Now!✨,ONE_TIME,COMPLETED,1700067600000.0,5902.0,3236.0,1484.0,25.0,3.0,1490.0,0.0,0.0
bmc_3k7pgjhmef,holiday napkins,ONE_TIME,COMPLETED,1698508800000.0,5896.0,3991.0,1611.0,22.0,4.0,838.0,0.0,0.0
bmc_8j28gvrj4a,Make This Holiday Season Special with Marble Stone,ONE_TIME,COMPLETED,1697299200000.0,5894.0,4006.0,1417.0,19.0,6.0,5507.0,1.0,286.0
bmc_zkfu4nknzz,Christmas Bestseller  Napkin Linen,ONE_TIME,COMPLETED,1696694400000.0,5893.0,4093.0,1624.0,21.0,7.0,5124.0,2.0,773.0
bmc_g3mmmnmb27,✨Our Best Natural Color in Vintage Linen✨,ONE_TIME,COMPLETED,1696089600000.0,5893.0,3911.0,1571.0,15.0,6.0,4464.0,1.0,208.0
bmc_buhp22qqc8,✨Shop Our Two-Tone Gingham Fall Colors Collection🍂,ONE_TIME,COMPLETED,1695484800000.0,5893.0,4087.0,1669.0,22.0,6.0,5405.0,0.0,0.0
bmc_nhehrn5fh9,🧡Fall for Fall Colors Napkins 🍂💛,ONE_TIME,COMPLETED,1695139200000.0,5890.0,3930.0,1573.0,20.0,2.0,862.0,0.0,0.0
bmc_9utkg5urxe,Fall 2023 Catalog,ONE_TIME,COMPLETED,1694880000000.0,5889.0,4172.0,1767.0,20.0,7.0,4303.0,1.0,1060.0
bmc_n29bb2zbre,Unveiling Our Newest Creation: Blossom Round Natural Placemats 🌸,ONE_TIME,COMPLETED,1693670400000.0,5885.0,4026.0,1706.0,21.0,3.0,1684.0,0.0,0.0
bmc_vsfyn4da5h,📢HURRY!! Two-Tone Gingham Collection is Back In Stock 😍 2024,ONE_TIME,COMPLETED,1692460800000.0,5882.0,4095.0,1754.0,19.0,4.0,1573.0,0.0,0.0
