tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_jek8u6dv4a,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1709232249000,True,True,r_ry9zkgpwa7,15820
bo_vuauzepcrs,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709147928000,True,True,r_al5zb4ij,200941
bo_wy6bfwb7ke,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709095704000,False,False,r_a2fa4f73,25928
bo_xbe2c45j4v,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1709055900000,False,False,r_31r9pevqxy,35690
bo_ynhxuht5p4,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1708963980000,False,False,r_ecki7omyhl,29250
bo_symu6em3jn,NEW_ORDER,PROCESSING,UNFULFILLED,ELEVATE,1708824780000,True,True,r_cby3x948yx,34130
bo_5wwz6dk4v6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708640555000,False,False,r_1by5ilrt2g,22064
bo_u2tpckcjdm,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708601566000,False,False,r_e0dmym6s,50818
bo_xu42fyve8a,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708382306000,True,True,r_2gi5ygx3,24259
bo_t6z53a6hmy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708198706000,False,False,r_9fabh4jr,26754
bo_tm69cnancq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708128206000,False,False,r_q5h95fwzk4,19620
bo_gkxwnbaeeg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708119506000,False,False,r_9qumd0ybuh,24446
bo_g2a98qrxzy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707944272000,False,False,r_2iu74ptwyv,26894
bo_mqau5t4tw5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707860277000,False,False,r_5m2zcp7mm7,21794
bo_jxzf2eahr7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707796678000,True,True,r_48c3kjccqy,24294
bo_twcd9eaage,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707764578000,True,True,r_2zp5ppmxj8,24520
