tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_8pcbhdhtf5,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1717439840000,False,False,r_eztf4og0,22794,Found 203 Studio,http://www.found203studio.com/,
bo_f4c3sdhu97,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1717417940000,False,False,r_asr1ttrqdl,23442,dovecote,http://www.dovecotehome.com,Home Decor Store
bo_ked87bebb3,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1717291940000,True,True,r_7v0ylyah,18280,Home By The Seashore,http://www.homebytheseashore.com/,
bo_pshgd4zse2,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1717198040000,False,False,r_edtrupwn0c,22794,Maison,http://maisonthecollective.com,Home Decor Store
bo_nkf5jr9b8h,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1717186640000,True,True,r_s38jw43n9t,51295,Ventana Home,http://www.ventanahome.com,Home Decor Store
bo_xp2vx699ta,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1717169813000,True,True,r_q3764yhyyd,42783,Tu Tu' Tun Lodge,http://tututun.com/,
bo_wz4btmrd9k,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716954013000,True,True,r_9q1el39p4o,44922,DIANI Living,http://dianiboutique.com/,Home Decor Store
bo_hzuyj3y35j,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1716743613000,False,False,r_516g52z4,23466,Lula's Pantry,http://www.lulaspantry.com/,
bo_k25q7wccdn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716603213000,False,False,r_jprkap50,24380,J5 Coffee,http://www.j5coffee.com/,
bo_dy2w53djvm,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1716574150000,False,False,r_1oxewhxc,66715,Take Heart,https://maps.google.com/?cid=1956225487500736265,
bo_wuqb6qhu5c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716571450000,False,False,r_7eztp5nyut,23633,South Street Market,,Grocery or Liquor Store
bo_r8dtuuvgcj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716504941000,True,True,r_swtk5u38tv,122305,Duq's Supplies & Lifestyle,http://www.duqs.ca/,
bo_a22j39ub8z,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716495641000,False,False,r_ecki7omyhl,60188,Blanche & Mimi,http://www.blancheandmimi.com/,
