product_token,name,category,sales_count,order_count,visit_count,date
p_a8dpz8rhet,Marble & Wood Cheese Board,Cheese Board,16,5,15,2023-01-01
p_carncmitw9,Marble Small Paddle,Cutting Board,6,2,8,2023-01-01
p_c9xwftlltl,Bistro Glass - Set of 6,Drinking Glasses & Cups,40,7,44,2023-01-01
p_h80ygem2og,Marble Grande Round Tray,Serving Tray,0,0,19,2023-01-01
p_aj2h90xqrv,Marble Key Bowl,Decorative Plate & Dish & Bowl,0,0,3,2023-01-01
p_f1cw6daugq,Large White Marble Pot,Outdoor Plant Pots,2,1,13,2023-01-01
p_6nwpg1ehfn,Small Marble Flower Pot,Outdoor Plant Pots,7,2,14,2023-01-01
p_cli83ipljq,Salt & Pepper Shakers,Salt & Pepper Shaker Set,6,1,7,2023-01-01
p_xt04rmyzyw,Large Marble Round Cheeseboard,Cheese Board,22,5,17,2023-01-01
p_abw3jkrhz0,August Linen Stitch Multi Napkins - Set of 4,Dinner & Cloth Napkins,12,1,10,2023-01-01
p_clqsqkwcdq,Marble Hexagon Coasters - Set of 4,Coasters,10,1,6,2023-01-01
p_2pkxp4z9gp,Marble Grande Canister,Outdoor Plant Pots,4,2,14,2023-01-01
p_4r8179r6z1,Natural Market Tote,Grocery & Shopping Bag,12,3,20,2023-01-01
p_sxkra2u736,"Seagrass Natural Placemats, Set of 4",Placemat,3,1,22,2023-01-01
p_2mwaduk2y5,Boat Stripe Linen Indigo & White Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_ttw555png9,Boat Stripe Linen Natural & White Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,3,1,4,2023-01-01
p_p2swqk4dsq,Boat Stripe Linen White & Blue Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,3,1,14,2023-01-01
p_c9swqhnm8u,Boat Stripe Linen Indigo & White Towels 20x30 - Set of 2,Dishcloth,0,0,1,2023-01-01
p_g4gjadacp3,Boat Stripe Linen Natural & Blue Towels 20x30 - Set of 2,Dishcloth,0,0,0,2023-01-01
p_rwuqeyxm5y,Boat Stripe Linen Natural & White Towels 20x30 - Set of 2,Tea Towel,0,0,1,2023-01-01
p_vcqxhefua5,Boat Stripe Linen White & Blue Towels 20x30 - Set of 2,Dishcloth,3,1,10,2023-01-01
p_sz4r4y8t32,Bold Stripe Linen Grey & Dijon Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_ukmseyqawz,Bold Stripe Linen Turquoise Orange Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_vprraxs2z2,Bold Stripe Linen Grey/Dijon Towels 20x30 - Set of 2,Tea Towel,3,1,5,2023-01-01
p_4hz4e77sux,Chunky Linen Lime Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,10,2023-01-01
p_a46ejavvbw,Chunky Linen Mustard Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_bktegtqnkn,Chunky Linen Orange Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,3,1,7,2023-01-01
p_htn2ra2jdm,Chunky Linen Red Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,0,2023-01-01
p_729nz6ahqk,Chunky Linen Forest Green Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,2,2023-01-01
p_brk5phry4v,Chunky Linen Forest Green Towels 20x30 - Set of 2,Bath Towels & Washcloths,0,0,2,2023-01-01
p_59w2twst76,Chunky Linen Lime Towels 20x30 - Set of 2,Bath Towels & Washcloths,12,3,14,2023-01-01
p_5ajscssabf,Chunky Linen Mustard Towels 20x30 - Set of 2,Bath Towels & Washcloths,6,1,10,2023-01-01
p_naccq6dvyn,Chunky Linen Orange Towels 20x30 - Set of 2,Bath Towels & Washcloths,8,2,13,2023-01-01
p_f44u3r7fk9,Chunky Linen Red Towels 20x30 - Set of 2,Towel Set,8,2,7,2023-01-01
p_kzhauxts4a,Color Block Green & Red Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_44dmpr9qk8,Color Block Red & Green Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,3,2023-01-01
p_3r4u2jxuq6,Hemstitch Orange Napkins 22x22 - Set of 6,Dinner & Cloth Napkins,0,0,2,2023-01-01
p_6zkveznawe,Laundered Linen Aqua/Charcoal Towels 20x30 - Set of 2,Tea Towel,2,1,11,2023-01-01
p_d7gqffkdpp,Laundered Linen Aqua/Lime Towels 20x30 - Set of 2,Tea Towel,4,2,7,2023-01-01
p_gq555rkj3k,Laundered Linen Charcoal/Aqua Towels 20x30 - Set of 2,Tea Towel,9,3,5,2023-01-01
p_78e5aur8fv,Laundered Linen Grey/Lime Towels 20x30 - Set of 2,Dishcloth,3,1,12,2023-01-01
p_qxfrfc3mye,Laundered Linen Indigo/White Towels 20x30 - Set of 2,Tea Towel,3,1,7,2023-01-01
p_zyfr8ntqmh,Laundered Linen Lime/Aqua Towels 20x30 - Set of 2,Tea Towel,4,2,8,2023-01-01
p_mzd3fehakj,Laundered Linen Lime/Grey Towels 20x30 - Set of 2,Tea Towel,11,5,6,2023-01-01
p_3xrfjqwkck,Laundered Linen Mustard/Grey Towels 20x30 - Set of 2,Dishcloth,9,4,5,2023-01-01
p_5extt9ajuy,Laundered Linen Natural/Grey Towels 20x30 - Set of 2,Tea Towel,0,0,5,2023-01-01
p_d58bv75w2v,Laundered Linen Natural/White Towels 20x30 - Set of 2,Tea Towel,16,6,25,2023-01-01
p_6auczr4qkx,Laundered Linen Orange/Natural Towels 20x30 - Set of 2,Tea Towel,16,7,3,2023-01-01
p_68wmsycqqq,Laundered Linen White/Natural Towels 20x30 - Set of 2,Dishcloth,7,2,2,2023-01-01
p_748njm2ev4,Laundered Linen Aqua/Charcoal Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,10,3,21,2023-01-01
p_6j6zn2kdzw,Laundered Linen Aqua/Lime Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,2,1,11,2023-01-01
p_9h8mzmgw96,Laundered Linen Charcoal / Aqua Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,6,2023-01-01
p_jcsrphnutx,Laundered Linen Grey/Lime Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,5,2023-01-01
p_hnjzxqqn4g,Laundered Linen Grey/Natural Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,3,2023-01-01
p_7cq7ydfpna,Laundered Linen Indigo/White Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_ws6wpm9ndz,Laundered Linen Lime Aqua Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,28,4,16,2023-01-01
p_knwx3efmay,Laundered Linen Mustard/Grey Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,7,2023-01-01
p_am74sg6r2u,Laundered Linen Natural/Grey Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,10,1,4,2023-01-01
p_g7zrxsjta8,Laundered Linen Natural/White Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,2,1,14,2023-01-01
p_bkxxjwuprg,Laundered Linen Orange/Natural Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,8,2,1,2023-01-01
p_2qakyse8qy,Laundered Linen Pink/Lime Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,8,2,10,2023-01-01
p_swkkk2h8fv,Laundered Linen White/Natural Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_b43grm4c25,Linen Stitch Chambray Denim Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,4,1,6,2023-01-01
p_cpcbhbe6an,Linen Stitch Chambray Stripe Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,10,2023-01-01
p_9m3j86hmbt,"Multi Stripes ""Black"" Napkins 20x20 - Set of 4",Dinner & Cloth Napkins,2,1,10,2023-01-01
p_hx45pgqbtj,"Multi Stripes ""Stem"" Napkins 20x20 - Set of 4",Dinner & Cloth Napkins,2,1,6,2023-01-01
p_xfbn7jrd8m,Palma Handwoven Cornflower Blue Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,2,1,17,2023-01-01
p_fqd4xjyj9y,Palma Handwoven Citronelle Green Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,2,1,11,2023-01-01
p_nz82c2gtjm,Palma Handwoven Cherry Red Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,1,2023-01-01
p_qmxrst4ts6,Palma Handwoven Nude Peach Napkins 20x20 - Set of 4,Dinner & Cloth Napkins,0,0,5,2023-01-01
