tokens,publish_at_values,created_at_values,titles,ratings,brand
br_d3vcz44spc,1718737200000,1718403793000,THE BEST! ,5,Cheese Brothers
br_8ydd3qhqgk,1718650800000,1718247829000,Great products! Sell wonderfully at our tasting room.,5,Cheese Brothers
br_hwdckzm27m,1718305200000,1718138967000,Thank you!!!! Awesome shop!!!,5,Cheese Brothers
br_ckwfsrdura,1718218800000,1718046881000,"Quality products, excellent service ",5,Cheese Brothers
br_e6jbpu57bh,1718218800000,1718029978000,FIrst time order but we'll order again!,5,Cheese Brothers
br_z9rc2bgrj8,1718132400000,1717942250000,This is a staple in our store now! We love the products. ,5,Cheese Brothers
br_fk95nnws7v,1717700400000,1717517292000,Quality Products,5,Cheese Brothers
br_re9uxy6byf,1717614000000,1717443300000,Wonderful cheese company,5,Cheese Brothers
br_g6t34k5yrt,1717527600000,1717173998000,Love this company! Great Products!,5,Cheese Brothers
br_sdccskdzpb,1717095600000,1716919487000,We love the Cheese Brothers!,5,Cheese Brothers
br_xp757p3ydr,1717095600000,1716919137000,Fabulous cheeses!,5,Cheese Brothers
br_jgfpxzesmx,1717009200000,1716852904000,Excellent products and customer service!,5,Cheese Brothers
br_z8gdytbcn7,1717009200000,1716651856000,Great cheese and great customer service!,5,Cheese Brothers
br_99rqcqvs3e,1717009200000,1716594663000,These are the best tasting cheeses! My customers love them!,5,Cheese Brothers
br_8gvcyzkgcd,1717009200000,1716592928000,Extremely reliable and great products!  ,5,Cheese Brothers
br_msjsqpe5zu,1716922800000,1716477859000,This cheese always arrives so quick after ordered and is packed really well to handle warmer weather! Flavors are great and our customers enjoy them with our ciders!,5,Cheese Brothers
br_sugrwmhpse,1716490800000,1716315760000,"Always a great experience with the cheese we order; good seller, great flavors & quality.",5,Cheese Brothers
br_cb2jdjy5fx,1716404400000,1716228166000,The best!,5,Cheese Brothers
br_e5y6gyjne8,1716318000000,1716044954000,These are very flavorful and our customers love them all!!!,5,Cheese Brothers
br_e5cx3jg2sa,1715799600000,1715602808000,Delicious will be ordering more ,5,Cheese Brothers
br_7pa7c9xw5p,1715194800000,1715012772000,Delicious!!,5,Cheese Brothers
br_92tfyvv4yc,1715022000000,1714616495000,"Fast shipping, great product!",5,Cheese Brothers
br_2hpqe97jhv,1714503600000,1714314113000,has been a hit since the day we opened!  customers as for them by name and is a top performer.,5,Cheese Brothers
br_sdvczeqxpa,1714503600000,1714184495000,Buy this chese,5,Cheese Brothers
br_mv2c55je9n,1714503600000,1714171112000,Cheesy yummmm,5,Cheese Brothers
br_tsbmb8bryy,1714417200000,1714050168000,Quality cheese,5,Cheese Brothers
br_5v8ykfkkr5,1714158000000,1713974693000,Very good!,5,Cheese Brothers
br_w96a6pcm4y,1713985200000,1713787887000,"Love this company the proud quality, price and responsiveness. The cheese is delicious.",5,Cheese Brothers
br_v8bnjq5vsn,1713898800000,1713583741000,"Sooooooo good, will be placing another order!",5,Cheese Brothers
br_vjwjaca974,1713898800000,1713556351000,Great service!,5,Cheese Brothers
br_pmjnfsjrm3,1713898800000,1713540923000,The cheese is delicious and is always delivered quickly from when the order is placed. They communicate well regarding when it is sent out and anticipated arrival so I can be sure to not have it sit out.,5,Cheese Brothers
br_djxbcfwv83,1713553200000,1713370284000,So delicious,5,Cheese Brothers
br_dmd3s9zzn7,1713294000000,1713057391000,Only cheese to buy,5,Cheese Brothers
br_7j6xxdckjh,1713294000000,1713037324000,Cheesy!  People love it in Oregon!,5,Cheese Brothers
br_jy98mfwru6,1713294000000,1712942935000,Our very favorite ,5,Cheese Brothers
br_c4rckqbhb7,1712862000000,1712698531000,Great Product. Delightful Team,5,Cheese Brothers
br_ghz77t48dp,1712689200000,1712512225000,Fantastic product! Fast shipping,5,Cheese Brothers
br_he87yq4cvs,1712689200000,1712349819000,Always a quick sell-through!,5,Cheese Brothers
