token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_cmreb4cxz9,o_hwu358zpps,p_ywpernhyr5,bo_wb9sh2sxxh,Smoked Gouda,default,795,397,397,12,4764,4764,0,#WB9SH2SXXH,
oi_sujww6hgwd,o_hwu358zpps,p_p7zxtkyj3s,bo_wb9sh2sxxh,Gourmet Cheese Snack Sticks - 30-Pack,default,5995,2997,2997,1,2997,2997,0,#WB9SH2SXXH,
oi_2cuxs8ta5t,o_xct5rt6566,p_mf8hjegbt9,bo_9gxju6jush,Bourbon Gouda,default,795,397,397,8,3176,3176,0,#9GXJU6JUSH,
oi_gbnsta3s6c,o_xct5rt6566,p_ywpernhyr5,bo_9gxju6jush,Smoked Gouda,default,795,397,397,7,2779,2779,0,#9GXJU6JUSH,
oi_kqjete8rfa,o_xct5rt6566,p_yzs7ar6769,bo_9gxju6jush,Smoked Provolone,default,795,397,397,3,1191,1191,0,#9GXJU6JUSH,
oi_xzxa5snuzm,o_6us23365mx,p_xqszjwacgv,bo_q6r2q3d8kq,Onion and Chive Cheese Spread,default,894,447,447,10,4470,4470,0,#Q6R2Q3D8KQ,
oi_tzkfyw7sqp,o_6us23365mx,p_5qp3kg73hq,bo_q6r2q3d8kq,Beer Cheddar Cheese Spread,default,894,447,447,4,1788,1788,0,#Q6R2Q3D8KQ,
oi_xyysfpr9h4,o_6us23365mx,p_egze4cp3bh,bo_q6r2q3d8kq,Port Wine Cheese Spread,default,894,447,447,14,6258,6258,0,#Q6R2Q3D8KQ,
oi_7pvh9ff8yn,o_6us23365mx,p_rg56g9gudy,bo_q6r2q3d8kq,Honey Sriracha Gouda,default,795,397,397,4,1588,1588,0,#Q6R2Q3D8KQ,
oi_jcxghaqh8t,o_6us23365mx,p_sud6d9spct,bo_q6r2q3d8kq,Smoked Mozzarella,default,795,397,397,6,2382,2382,0,#Q6R2Q3D8KQ,
oi_w8fckckxed,o_6us23365mx,p_9z988ffwmw,bo_q6r2q3d8kq,Northwoods Parmesan,default,894,447,447,8,3576,3576,0,#Q6R2Q3D8KQ,
oi_vght2j3yk2,o_pwsc8brnwf,p_6amrrwtbgj,bo_53p5mnyxee,El Diablo - Scorpion Pepper Gouda,default,795,397,397,3,1191,1191,0,#53P5MNYXEE,
oi_rtdcqdses3,o_pwsc8brnwf,p_yzs7ar6769,bo_53p5mnyxee,Smoked Provolone,default,795,397,397,3,1191,1191,0,#53P5MNYXEE,
oi_mqv7szuu58,o_pwsc8brnwf,p_9qe222x9f6,bo_53p5mnyxee,"""Cinderblock"" Smoked Cheddar",default,795,397,397,6,2382,2382,0,#53P5MNYXEE,
oi_v647tyqjb9,o_pwsc8brnwf,p_f4mn32bd5a,bo_53p5mnyxee,8-Year-Aged Cheddar,default,1195,597,597,6,3582,3582,0,#53P5MNYXEE,
oi_a52885gdfm,o_pwsc8brnwf,p_8khxgmnnmu,bo_53p5mnyxee,Mango Habanero Gouda,default,795,397,397,7,2779,2779,0,#53P5MNYXEE,
oi_cmsr8wakgb,o_rvvjvaj5us,p_f4mn32bd5a,bo_etqst2e9kg,8-Year-Aged Cheddar,default,1195,597,597,6,3582,3582,0,#ETQST2E9KG,
