tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_6f9nqgtp74,Free Bacon Baked Bliss (Copy 1),ONE_TIME,COMPLETED,1718720640000.0,1561.0,1227.0,185.0,6.0,4.0,460.94,2.0,311.87
bmc_ekkazvtgwp,Untitled campaign 11,ONE_TIME,DRAFT,,,,,,,,,
bmc_fx37m2xxc3,Untitled campaign 10,ONE_TIME,DRAFT,,,,,,,,,
bmc_egdxdr87ex,Free Bacon Baked Bliss,ONE_TIME,COMPLETED,1716300000000.0,1463.0,1154.0,379.0,18.0,42.0,6788.35,9.0,997.75
bmc_28rn8btsay,Bacon Baked Bliss Launch,ONE_TIME,COMPLETED,1715868000000.0,1458.0,1158.0,438.0,10.0,36.0,5343.41,3.0,284.94
bmc_s8ccvmshrb,Mother's Day Shipping,ONE_TIME,COMPLETED,1715110112000.0,1432.0,1126.0,430.0,6.0,43.0,7306.91,3.0,832.32
bmc_dj87qcck4h,Untitled campaign 9,ONE_TIME,DRAFT,,,,,,,,,
bmc_rsyrzvx75c,Free Baked Bliss,ONE_TIME,COMPLETED,1714665232000.0,983.0,769.0,278.0,11.0,16.0,2073.66,4.0,421.25
bmc_aq4mdrcqkn,Untitled campaign 8,ONE_TIME,DRAFT,,,,,,,,,
bmc_3u8mahymx9,Curd Crazy Sale (Copy 1) (Copy 1),ONE_TIME,COMPLETED,1709823600000.0,1231.0,992.0,454.0,12.0,37.0,6132.81,3.0,253.8
bmc_n3c7dhumc2,Untitled campaign 7,ONE_TIME,DRAFT,,,,,,,,,
bmc_mc2g5xnshv,Curd Crazy Sale (Copy 1),ONE_TIME,COMPLETED,1706109337000.0,1076.0,832.0,362.0,17.0,30.0,4802.34,5.0,878.68
bmc_5s28ygmh3z,Untitled campaign 6,ONE_TIME,DRAFT,,,,,,,,,
bmc_epr44y86xv,Curd Crazy Sale,ONE_TIME,COMPLETED,1705341097000.0,1024.0,832.0,287.0,7.0,27.0,4191.79,2.0,346.01
bmc_z2xh8rqf4b,Cheese Curd Launch (Copy 1) (Copy 1),ONE_TIME,COMPLETED,1702393200000.0,945.0,769.0,333.0,11.0,31.0,4301.48,3.0,422.33
bmc_rby33x8tgs,Cheese Curd Launch (Copy 1),ONE_TIME,COMPLETED,1701270000000.0,889.0,737.0,273.0,18.0,28.0,5232.07,4.0,750.37
bmc_jqxzatmszs,Adelheid Promo,ONE_TIME,COMPLETED,1697637952000.0,736.0,657.0,261.0,9.0,26.0,5653.63,0.0,0.0
bmc_87muvuy8rq,Cheese Curd Launch,ONE_TIME,COMPLETED,1695913526000.0,656.0,578.0,275.0,9.0,29.0,4673.81,2.0,170.71
bmc_xvyhfem39e,Untitled campaign 5,ONE_TIME,DRAFT,,,,,,,,,
bmc_9jzxnvxabs,Faire Market,ONE_TIME,COMPLETED,1689695663000.0,415.0,339.0,125.0,3.0,22.0,2799.8,1.0,139.01
bmc_scpsqvgm4c,Untitled campaign 4,ONE_TIME,DRAFT,,,,,,,,,
bmc_mfmnf9chtk,"Sample Campaign - Jul 10, 2023, 6:10 PM",ONE_TIME,DRAFT,,,,,,,,,
bmc_v93z96bqr6,Untitled campaign 3 (Copy 1),ONE_TIME,COMPLETED,1688652000000.0,383.0,344.0,147.0,5.0,13.0,1583.07,3.0,257.61
bmc_ffxhpaamt7,Untitled campaign 3,ONE_TIME,COMPLETED,1687528800000.0,347.0,314.0,145.0,6.0,10.0,2260.76,2.0,244.82
bmc_sjmx64xzsz,Untitled campaign 2 (Copy 2),ONE_TIME,COMPLETED,1682431200000.0,194.0,176.0,76.0,2.0,11.0,1209.55,1.0,149.07
bmc_326ywzd4p9,Untitled campaign 2 (Copy 1),ONE_TIME,DRAFT,,,,,,,,,
bmc_uphcrhnf2f,Untitled campaign 2,ONE_TIME,COMPLETED,1680876000000.0,159.0,147.0,78.0,7.0,12.0,1782.42,2.0,300.95
bmc_5ae6skdtuy,Untitled campaign 1,ONE_TIME,COMPLETED,1678131372000.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
bmc_97226bvg5g,Untitled campaign,ONE_TIME,DRAFT,,,,,,,,,
bmc_8js6jvx76b,New Customer Check-in,ONE_TIME,DRAFT,,,,,,,,,
bmc_7yqgre6u2y,New customer welcome,ONE_TIME,COMPLETED,1677009417000.0,11.0,11.0,6.0,0.0,1.0,95.28,0.0,0.0
