tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_wb9sh2sxxh,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718728262000,False,False,r_3013ce46uv,6381,WiscoBoxes,http://wiscoboxes.com/,Gift Store
bo_9gxju6jush,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718725262000,False,False,r_3k1qtu01oy,5872,Heights Meat Market,https://www.heightsmeatmarket.com/,
bo_q6r2q3d8kq,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718724962000,False,False,r_v55msbaktb,16542,The Main Course Market,http://maincourse-ma.com/,Grocery or Liquor Store
bo_53p5mnyxee,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718724362000,False,False,r_8p4dcen4,9159,Bon! Gourmet,http://www.bon-gourmet.com/,
bo_etqst2e9kg,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1718723762000,False,False,r_a1hki7jvlt,22065,West-O Bottle Shop,http://www.westobottleshop.com/,
bo_tnkuqyuuph,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718719662000,False,False,r_7566opo6fi,6856,Cheese Shop 831,http://www.cheeseshop831.com/,
bo_vnvjmrzw6s,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718678862000,False,False,r_n4fh9fa5sf,6201,Karma Vista Vineyards & Winery,http://www.karmavista.com/,
bo_twawyrc8sf,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718677662000,False,False,r_cnwwc3tu2l,15968,Hidden Springs Java,https://www.facebook.com/HiddenSpringsJava/,Cafe or Restaurant
bo_m3bx9y3phm,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718667162000,False,False,r_jb8bzdwpvu,25455,Bassett's Station,http://bassettsstation.com/,General or Mercantile Store
bo_rkubp2fp7j,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718666262000,False,False,r_4ouvl5vi7i,10644,FarmBox Delivery,http://farmboxdelivery.com/,General or Mercantile Store
bo_vpqqk3a39r,NEW_ORDER,BRAND_CONTACTED,NEW,ELEVATE,1718665962000,False,False,r_jswxxkgd62,10177,The Seafood shop Gourmet & Charcuterie,http://theseafoodshop.org/,
bo_gwp7bbmav8,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718665662000,False,False,r_13lf164cib,6463,Plimoth General Store,http://www.plimothgeneralstore.com/,Gift Store
bo_ypshqyyrta,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718661462000,True,True,r_27kmh2qsaf,5944,GLM Enterprises LLC,http://pinballpro.com/,General or Mercantile Store
bo_g7pcqa9k8h,NEW_ORDER,BRAND_CONTACTED,NEW,MARKETPLACE,1718657262000,False,False,r_ew8hqm150t,18008,The Tides Seafood Market and Provisions,https://www.thetidesmarket.com/,Grocery or Liquor Store
bo_2jtpntknfx,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1718652762000,True,True,r_5pqpr4uwpj,7744,Turkovich Family Wines,https://turkovichwines.com/wineryvisits/,
