product_token,name,category,sales_count,order_count,visit_count,date
p_6uap3ggysd,"""12 Days of Cheesemas"" Advent Calendar *Ships Week of Dec 3*",Cheese,0,0,0,2023-01-01
p_b8es23umbf,"""Cheers to the Happy Couple"" Wedding Gift Basket",Cheese,0,0,0,2023-01-01
p_dwj28y9qmg,"""Cheese Sisters"" Mystery Gift Box",Cheese,0,0,0,2023-01-01
p_2b8uqzu9va,Smoked 3 Amigos Spicy Gouda,Cheese,0,0,0,2023-01-01
p_459335dfkp,3 Amigos - Spicy Gouda,Cheese,0,0,0,2023-01-01
p_48aurrtakh,Havarti,Cheese,0,0,0,2023-01-01
p_4gm8fmtwqw,Jalapeño Pepper Cheese Spread,Cheese,0,0,0,2023-01-01
p_4tgnctj5uh,Garlic and Dill Cheese Curds *Ships Fresh Daily*,Cheese,0,0,0,2023-01-01
p_4uv4x446fd,Jamaican Jerk Cheese Curds,Cheese,0,0,0,2023-01-01
p_4vzwmf8eyh,The Brotherhood Cheese Assortment Pack (8 Cheeses),Cheese,0,0,0,2023-01-01
p_4z3h7sanp4,Parmesan Cheese Sticks (30-Pack),Cheese,0,0,0,2023-01-01
p_5qp3kg73hq,Beer Cheddar Cheese Spread,Cheese,0,0,0,2023-01-01
p_6amrrwtbgj,El Diablo - Scorpion Pepper Gouda,Cheese,0,0,0,2023-01-01
p_6x4b494xdt,Fratello - Italian Style Cheese,Cheese,0,0,0,2023-01-01
p_7egadtyh28,Cranberry Walnut Cheese Spread,Cheese,0,0,0,2023-01-01
p_7eum6vcw5y,8-Year Aged Cheddar Snack Sticks (30-Pack),Cheese,0,0,0,2023-01-01
p_7qkwkzjdem,Wisconsin Cheese Sampler (4-Pack),Cheese,0,0,0,2023-01-01
p_8khxgmnnmu,Mango Habanero Gouda,Cheese,0,0,0,2023-01-01
p_9qe222x9f6,"""Cinderblock"" Smoked Cheddar",Cheese,0,0,0,2023-01-01
p_9sn5mfcueh,Wisconsin Charcuterie Gift Basket,Food Gift Baskets,0,0,0,2023-01-01
p_9z4dn4pwk7,Wisconsin Gruyere,Cheese,0,0,0,2023-01-01
p_9z988ffwmw,Northwoods Parmesan,Cheese,0,0,0,2023-01-01
p_a27vux9muz,Artisan Cheese Spread Sampler (6-Pack),Cheese,0,0,0,2023-01-01
p_akt8c3fkmy,Gourmet Cheese Snack Sticks - 15 Pack Sampler,Cheese,0,0,0,2023-01-01
p_bsbbqezzmt,Italian Golden Baked Bliss Cheese *New Release*,Cheese,0,0,0,2023-01-01
