tokens,publish_at_values,created_at_values,titles,ratings,brand
br_r6xtw9evux,1706299200000,1706124684000,"Quick ship, beautiful products!!",5,Couleur Nature
br_v9kd2m2wjg,1703016000000,1702659236000,Beautiful quality ,5,Couleur Nature
br_8eaxv6jzpu,1702411200000,1702152345000,Beautiful Christmas Linens,5,Couleur Nature
br_eh9qzpsqpy,1701892800000,1701697620000,"beautiful, high quality product.",5,Couleur Nature
br_nmab7pt5dp,1701720000000,1701365910000,Missibg invoice,4,Couleur Nature
br_2s9euz93mf,1700596800000,1700179556000,Easy,5,Couleur Nature
br_xknd7gjfnt,1698951600000,1698754668000,Received order within 2 to 3 days!. Very good quality and love the colors.  💗,5,Couleur Nature
br_hce2embhv7,1698692400000,1698279438000,Another wonderful order :),5,Couleur Nature
br_xapcfdbvv5,1696446000000,1696278474000,Made my life easier ,5,Couleur Nature
br_5mdtfnzc4n,1696273200000,1695943776000,Extraordinary! Absolutely beautiful tablecloths!,5,Couleur Nature
br_pfnyq64cb2,1695150000000,1694968934000,Beautiful prints,5,Couleur Nature
br_8v8nvht4eq,1694458800000,1694082270000,Beautiful linens,5,Couleur Nature
br_6zpwexp6ne,1694199600000,1694018362000,Have been a customer for 20 plus. Love this product. ,5,Couleur Nature
br_6z45a7dsf5,1693594800000,1693434189000,Import Duties,3,Couleur Nature
br_xq75bz35fp,1692039600000,1691701568000,LOVE!,5,Couleur Nature
br_nqvbkjcpgq,1690225200000,1689828269000,Love this company and their linens!,5,Couleur Nature
br_huq6ge9k3n,1687460400000,1687243776000,Beautiful ,5,Couleur Nature
br_qftwhdsc43,1685041200000,1684855728000,BEAUTIFUL LINENS AND QUICK FULFILLMENT,5,Couleur Nature
br_yzk9ta56gx,1682708400000,1682546266000,Beautiful,5,Couleur Nature
br_9gnm4j5kbu,1682017200000,1681850874000,"Beautiful products, and fast shipping!",5,Couleur Nature
br_6bppay26yb,1681844400000,1681599897000,Stunning colors and patterns!,5,Couleur Nature
br_5rgc8ecjdc,1678392000000,1678206194000,Gorgeous!,5,Couleur Nature
br_mc3hze7tj2,1678219200000,1677955646000,We absolutely love the linens we get from Couleur Nature!,5,Couleur Nature
br_866ajngjnq,1675800000000,1675528153000,Stunning,5,Couleur Nature
br_eqq3udp986,1674504000000,1674138512000,Always a pleasure to open a box from CN. ,5,Couleur Nature
br_9e8r3umx8w,1674158400000,1673961785000,Great!,5,Couleur Nature
br_ezmbtzeukn,1673294400000,1672951414000,Everything I’ve ordered has been gorgeous. ,5,Couleur Nature
br_p5y8daf3ff,1673035200000,1672796028000,Gorgeous napkins. Can't wait to order some tablecloths!,5,Couleur Nature
br_ffjrtnrzse,1672171200000,1672002058000,Lovely. Just what I had hoped for. Thank you! ,5,Couleur Nature
br_wqrnk8zga6,1671566400000,1671159078000,Lovely prints ,5,Couleur Nature
br_k5fhj8gqsv,1669838400000,1669655349000,Excellent experience,5,Couleur Nature
br_dq6vemm34w,1669147200000,1668885207000,Very nice linens. We’ve carried them for years!,5,Couleur Nature
br_hmy8p7mdeh,1668024000000,1667787769000,Everything complete,5,Couleur Nature
br_3au82uvsb3,1668024000000,1667787675000,everything ordered came quickly and well packaged,5,Couleur Nature
br_zgfvtzk4hf,1667588400000,1667400610000,always beautiful,5,Couleur Nature
br_zsppsajjsn,1666638000000,1666281120000,Always beautiful! 🥰,5,Couleur Nature
br_4676gmrwzb,1666033200000,1665675283000,Beautiful Product,4,Couleur Nature
br_35us9zmge2,1665601200000,1665427941000,Lovely products,5,Couleur Nature
br_9yjppa67gn,1664910000000,1664674723000,Beautiful Table Linen!,5,Couleur Nature
br_ymdju7f9f7,1664910000000,1664578405000,very happy,5,Couleur Nature
br_6cf4w7cz7w,1664218800000,1663867898000,FABULOUS!,5,Couleur Nature
br_mczf3n7nbw,1663873200000,1663709223000,Updated review from 1 star to 5,5,Couleur Nature
br_wbkuthtgk4,1662577200000,1662219380000,Great quality & fast shipping,5,Couleur Nature
br_n4p9eyuuuu,1661367600000,1661153921000,Got there in the end! ,4,Couleur Nature
br_9svavqf5b3,1660935600000,1660768481000,Great,5,Couleur Nature
br_m8bg3wpjgq,1659726000000,1659517976000,Beautiful Products,4,Couleur Nature
br_f74v62v99h,1657652400000,1657244018000,Classic French look ,5,Couleur Nature
br_qzw3tc59ga,1657134000000,1656819193000,made in India ,3,Couleur Nature
br_3dg3x52bw6,1656529200000,1656341577000,love it!,5,Couleur Nature
br_yytptjd723,1655233200000,1654894240000,Love the products,5,Couleur Nature
br_h52nfjbqbx,1653418800000,1653058084000,Beautiful items!,5,Couleur Nature
br_99gsrw5apw,1652814000000,1652634238000,"Super fast delivery, everything is great!",5,Couleur Nature
br_3nhmexb7xh,1650049200000,1649880655000,Beautiful Table Linen,5,Couleur Nature
br_ajwenj3hqt,1649962800000,1649775426000,"Beautiful Linens, FAST Shipping!",5,Couleur Nature
br_h8ypbpm8u3,1649790000000,1649521554000,A few of the beautiful tea towels have pen marks.,3,Couleur Nature
br_ytagtd286u,1649444400000,1649208086000,Beautiful table linens! These tablecloths are incredibly pretty and we are excited to offer them to our customers!,5,Couleur Nature
br_8q6wgkdujr,1649185200000,1648926056000,Been selling them for years-very popular.,5,Couleur Nature
br_39b7exuv4w,1647370800000,1647022030000,"A few of the tea towels had slight spots on them and since this was the first time that I have sold them, I did not notice until after the timeframe to report the product issues.",3,Couleur Nature
br_9y8c6p9chw,1643918400000,1643749943000,Beautiful table linen,5,Couleur Nature
br_gyse3qdhza,1643140800000,1642865097000,Excellent Quality!,5,Couleur Nature
br_ayptng5qp3,1638561600000,1638342160000,Amazing products,5,Couleur Nature
br_p27gdq2caa,1637697600000,1637389844000,Beautiful linens,5,Couleur Nature
br_q6huuq8cr7,1635879600000,1635722224000,Beautiful textiles,5,Couleur Nature
br_r2x6w474s2,1635879600000,1635697505000,Excellent quality and design,5,Couleur Nature
br_qct5fvqbrt,1634583600000,1634186217000,These are beautiful,5,Couleur Nature
br_pqcsuhwfcy,1632855600000,1632677813000,Love the product!,5,Couleur Nature
br_mgy2ua3trx,1632250800000,1631878911000,Stunning designs and colors!,5,Couleur Nature
br_vpemwam622,1631818800000,1631615964000,"Beautiful, quality apron!",5,Couleur Nature
br_m7r8jrrw3g,1631646000000,1631457018000,Quality ,5,Couleur Nature
br_69z8apmpza,1630522800000,1630347183000,Great quality!!  My customers love this line!!,5,Couleur Nature
br_w2b7ut8xrj,1629226800000,1628869732000,Lovely linens,5,Couleur Nature
br_10lu9w4v9e,1618945200000,1618682253000,So far so good!!!,5,Couleur Nature
br_92pip9sq9w,1617390000000,1617234884000,"I believe the vendor may be selling their ""seconds"" through Faire.",3,Couleur Nature
br_8dr8ctgp8j,1617217200000,1617030543000,Beautiful pieces!!!,5,Couleur Nature
br_eagxo322fs,1614283200000,1614100471000,Great product and great service,5,Couleur Nature
br_drcsufftgd,1610481600000,1610130253000,"Beautiful quality, great service",5,Couleur Nature
br_cbz078j5fh,1608062400000,1607724415000,Always Beautiful!,5,Couleur Nature
br_clj6wkixew,1606248000000,1605984491000,"Couleur Nature Great Product, Great Service",5,Couleur Nature
br_adz48n9zmu,1598986800000,1598761938000,Old Friends,5,Couleur Nature
