token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_2bwgeju3ms,o_qjdkyrcewy,p_d5au59zzqd,bo_b4rx5wrtm7,Jardin Red/Grey Tablecloths,"59"" x 59""",9250,3700,3700,2,7400,7400,0,#B4RX5WRTM7,
oi_efnqw74j5b,o_qjdkyrcewy,p_7te2vwnrc8,bo_b4rx5wrtm7,Jardin Blue & Vert Tablecloth,"59"" x 59""",9250,3700,3700,2,7400,7400,0,#B4RX5WRTM7,
oi_x9q5zw67aj,o_qjdkyrcewy,p_e9ioolmieo,bo_b4rx5wrtm7,Fleurs des Indes Tablecloths,"59"" x 59""",9250,3700,3700,2,7400,7400,0,#B4RX5WRTM7,
oi_8kuzmq7zp2,o_qjdkyrcewy,p_75wwlmwmnu,bo_b4rx5wrtm7,Olive Tree Khaki/Blue Runners,"16"" x 72""",5750,2300,2300,2,4600,4600,0,#B4RX5WRTM7,
oi_e4xsavj72s,o_qjdkyrcewy,p_9o6gwfghl2,bo_b4rx5wrtm7,Wisteria Blue/Green Runners,"16"" x 72""",5750,2300,2300,2,4600,4600,0,#B4RX5WRTM7,
oi_jefq5fmzvn,o_md68wb837n,p_shvtkzff7a,bo_vec27r3zau,Avignon Apron Pistache,default,6000,2400,2400,2,4800,4800,0,#VEC27R3ZAU,
oi_yd5rwc7pfy,o_md68wb837n,p_ha4xz88p2b,bo_vec27r3zau,Granada Cornflower Blue Apron,default,6000,2400,2400,4,9600,9600,0,#VEC27R3ZAU,
oi_sjdm3qrzf5,o_md68wb837n,p_d80j7vkmld,bo_vec27r3zau,Strawberry Blue Tea Towels - Set of 3,default,5625,2250,2250,3,6750,6750,0,#VEC27R3ZAU,
oi_5qtsnbhgjy,o_ykvwvswnaf,p_aidfoub1lz,bo_wstxsdz48c,Lavender Purple Tablecloths,"59"" x 59""",9250,3700,3700,10,37000,37000,0,#WSTXSDZ48C,
oi_9m22cu3y28,o_ykvwvswnaf,p_atnbbbkmkf,bo_wstxsdz48c,Meadows Dijon Apron 32x36,default,6000,2400,2400,4,9600,9600,0,#WSTXSDZ48C,
oi_j8ymthhpmc,o_ykvwvswnaf,p_ha4xz88p2b,bo_wstxsdz48c,Granada Cornflower Blue Apron,default,6000,2400,2400,4,9600,9600,0,#WSTXSDZ48C,
oi_5m2n5hqwzy,o_ve4p2vshk7,p_mpz5f25qt6,bo_7z7m4egm95,Grenadine Orange & Green Tablecloth,"59"" x 59""",9250,3700,3700,2,7400,7400,0,#7Z7M4EGM95,
oi_bsjrxhnzd8,o_ve4p2vshk7,p_22d2gec5ad,bo_7z7m4egm95,Granada Cornflower Blue Tablecloths,"90"" Round",23000,9200,9200,2,18400,18400,0,#7Z7M4EGM95,
oi_9njzbeh2uy,o_ve4p2vshk7,p_d5au59zzqd,bo_7z7m4egm95,Jardin Red/Grey Tablecloths,"90"" Round",23000,9200,9200,2,18400,18400,0,#7Z7M4EGM95,
