tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_6663hbhrdv,"60Day, Abandon Cart, Credit | Tea Towels | 6.14.24",ONE_TIME,RUNNING,,,,,,,,,
bmc_bpeyjd9nkw,Not on Faire | About | 6.3.24,ONE_TIME,COMPLETED,1717475202000.0,5652.0,3426.0,953.0,20.0,0.0,0.0,0.0,0.0
bmc_kpuywa6zb5,"60Day, Abandon Cart, Credit | Marseille Cushion Covers | 6.3.24",ONE_TIME,DRAFT,,,,,,,,,
bmc_fccg3a94jp,All | Tablecloths | 5.28.24,ONE_TIME,COMPLETED,1716949802000.0,7564.0,4499.0,1945.0,31.0,4.0,989.5,0.0,0.0
bmc_vaeeq9mqu4,60 Day Eng | Whites | 5.21.24,ONE_TIME,COMPLETED,1716325807000.0,252.0,170.0,103.0,8.0,0.0,0.0,0.0,0.0
bmc_v5zaummact,Spring Entertaining Best Sellers | 5.17.24,ONE_TIME,COMPLETED,1715976040000.0,7363.0,3973.0,1685.0,36.0,6.0,3991.0,0.0,0.0
bmc_r246ynjkj8,60 Day Eng + Unused Credit + Ab Cart | Pansy Collection | 5.14.24,ONE_TIME,COMPLETED,1715724603000.0,575.0,326.0,187.0,2.0,3.0,712.0,0.0,0.0
bmc_f9aa22p2wq,Review Request | 5.13.24,ONE_TIME,COMPLETED,1715634018000.0,564.0,331.0,184.0,0.0,0.0,0.0,0.0,0.0
bmc_dnvy4ph58g,Meadows Blue/Green Launch RESEND | 5.8.24,ONE_TIME,COMPLETED,1715222511000.0,2318.0,2189.0,327.0,18.0,0.0,0.0,0.0,0.0
bmc_sk3myr7g86,Cold Lead Outreach Template,ONE_TIME,DRAFT,,,,,,,,,
bmc_z6d8xgjnub,Meadows Blue/Green Launch,ONE_TIME,COMPLETED,1715049026000.0,7210.0,4300.0,1967.0,61.0,3.0,1144.0,0.0,0.0
bmc_bz2unafd2s,Gifts for Her | 5.6.24,ONE_TIME,DRAFT,,,,,,,,,
bmc_zn5ua5bhzh,Restaurant Segment | Aprons | 4.26.24,ONE_TIME,COMPLETED,1714158065000.0,76.0,71.0,34.0,0.0,0.0,0.0,0.0,0.0
bmc_b986b3wr4w,60 Day Eng + Unused Credit + Abandon Cart | Wisteria Collection | 4.23.24,ONE_TIME,COMPLETED,1713924045000.0,278.0,211.0,128.0,5.0,1.0,356.0,0.0,0.0
bmc_j3r6dzjf4m,Abandon Cart | 4.19.24,ONE_TIME,COMPLETED,1713559857000.0,32.0,23.0,14.0,0.0,2.0,910.0,0.0,0.0
bmc_bcwe4gg2pa,Table Runners | 4.14.24,ONE_TIME,COMPLETED,1713155448000.0,787.0,538.0,307.0,7.0,6.0,1544.0,0.0,0.0
bmc_4gq67kphzk,Best-Sellers Collection | 4.9.24,ONE_TIME,COMPLETED,1712718955000.0,294.0,221.0,156.0,6.0,1.0,385.0,0.0,0.0
bmc_hsbdatwzd3,Introducing Embroidery Tablecloth,ONE_TIME,COMPLETED,1712160000000.0,568.0,342.0,203.0,8.0,4.0,2615.5,0.0,0.0
bmc_wfv9qkq3h5,Abandon Cart: Last 30 Days | 3.29.24,ONE_TIME,COMPLETED,1711720800000.0,36.0,30.0,17.0,0.0,3.0,1189.5,0.0,0.0
bmc_dc27y3cztq,Jardin Red/Green | 4.4.24,ONE_TIME,COMPLETED,1712370629000.0,809.0,552.0,360.0,21.0,5.0,3288.5,0.0,0.0
bmc_rjzx5pgg5m,TOP PICK FOR SPRING 2024 (TN),ONE_TIME,COMPLETED,1711814400000.0,6329.0,3415.0,1597.0,36.0,11.0,6113.0,2.0,578.0
bmc_qy22xptgdb,Top Pick For Easter ,ONE_TIME,COMPLETED,1710518400000.0,6262.0,3231.0,1399.0,21.0,5.0,2024.5,0.0,0.0
bmc_v6gqayrtah,Petite Fleur Multi,ONE_TIME,COMPLETED,1711123200000.0,6266.0,3031.0,1418.0,39.0,6.0,3806.5,0.0,0.0
bmc_5dbfr7xwfs,Meadows Red & Green,ONE_TIME,COMPLETED,1709917200000.0,6261.0,3050.0,1423.0,23.0,5.0,2066.0,0.0,0.0
bmc_8eb8uu3mzd,Meadows Dijon ,ONE_TIME,COMPLETED,1709830800000.0,6260.0,3003.0,1430.0,25.0,5.0,2627.5,0.0,0.0
bmc_mzt47tsb9r,💙 New Meadow Bleu Tablecloth 💙 (Copy 1),ONE_TIME,COMPLETED,1709226000000.0,6259.0,3138.0,1365.0,34.0,3.0,1348.5,0.0,0.0
bmc_nufnuzqks4,💙 New Meadow Bleu Tablecloth 💙,ONE_TIME,COMPLETED,1709139600000.0,19.0,15.0,11.0,1.0,2.0,571.5,0.0,0.0
bmc_fdj2r93kxk,Blue Collection,ONE_TIME,COMPLETED,1712073600000.0,6399.0,3266.0,1511.0,40.0,10.0,5575.0,1.0,427.5
bmc_vkscsdbvfm,Meadow Vert,ONE_TIME,COMPLETED,1708794000000.0,6257.0,3149.0,1521.0,35.0,6.0,1728.5,0.0,0.0
bmc_dz7kus2asr, ⏰📢Last day to get 10% OFF!!!!,ONE_TIME,COMPLETED,1706202000000.0,6242.0,2679.0,1189.0,8.0,3.0,1327.0,0.0,0.0
bmc_bguv65wguk,⏰HURRY!! 10% OFF Ends SOON ✨,ONE_TIME,COMPLETED,1706115600000.0,6241.0,2653.0,1196.0,23.0,8.0,5175.0,1.0,2345.5
bmc_9j3jhjegxv,👉FAIRE WINTER SALE STARTS NOW !! Enjoy 10% OFF Today,ONE_TIME,COMPLETED,1705942800000.0,6239.0,2926.0,1397.0,27.0,16.0,7696.0,1.0,346.0
bmc_983sxjfh8u,HURRY!!! 📢EARLY ACCESS 10% OFF for INSIDER TODAY ,ONE_TIME,COMPLETED,1705942800000.0,6239.0,217.0,109.0,2.0,1.0,2345.5,0.0,0.0
bmc_hggncdt6q5,📢ARE YOU READY FOR 10% OFF WINTER SALE 2024???😃😃,ONE_TIME,COMPLETED,1705683600000.0,6236.0,3121.0,1509.0,26.0,30.0,15687.5,2.0,2712.0
bmc_bwvmcqh73a,"Noel Tablecloth, Don't Miss Out",ONE_TIME,COMPLETED,1700413200000.0,34.0,26.0,18.0,1.0,8.0,2409.0,2.0,315.0
