tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_dbvdk8anua,NEW_ORDER,PROCESSING,FULFILLED,MARKETPLACE,1709136828000,True,True,r_zg871fpnlc,22585
bo_3uq9t7yq8v,NEW_ORDER,PROCESSING,FULFILLED,MARKETPLACE,1709118828000,True,True,r_cwruidoq3f,54760
bo_2ja8p2ysga,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709073622000,False,False,r_6ha979ik6p,27746
bo_ds2xncb5e4,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709059200000,True,True,r_eju3orw6,50222
bo_3gkq9a4gfc,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1709044331000,False,False,r_cj4rms7sca,20642
bo_s4cqm6adam,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1708945380000,False,False,r_19deof4r5m,34288
bo_s5jfdhdw4w,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708816680000,False,False,r_2j5pgmhw,21055
bo_t8b4vzpwmy,NEW_ORDER,SHIPPED,FULFILLED,ELEVATE,1708808880000,False,False,r_95fsct4kf8,242819
bo_6an24g2rsg,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1708617766000,False,False,r_b3urja7z,30183
bo_wjbkwn4a9r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708585066000,False,False,r_1wwh40xrot,28585
bo_xa6yxgz8p3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708468359000,False,False,r_8vg59714ay,33991
bo_sjra9mwqhp,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1708373906000,False,False,r_kk07zu7q1g,77008
bo_s7cx4hfse2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708371506000,True,True,r_dioldyeqvq,21459
bo_mbgpuzjmqp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1708195106000,False,False,r_5elnl8t8,41462
bo_8z95628wwb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707850977000,True,True,r_asuvv5weza,19807
bo_8vfbkzdy5u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707777178000,True,True,r_53bsn7qck2,22042
bo_akejneum9p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707771178000,True,True,r_vb6fd69wrw,51048
bo_ryjtwhrcnw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707684557000,False,False,r_1wwh40xrot,22432
bo_3jvtjhxj58,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707580157000,False,False,r_e8fe6fbe,53856
bo_2neewmzfr7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707503057000,True,True,r_tyjt8fbqsr,19642
bo_xjzgdb5teh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707433383000,False,False,r_4zxd5m35,24332
bo_9yuddh6vfd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707348157000,False,False,r_1wwh40xrot,29085
bo_24aczaqy8u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707255203000,False,False,r_6aj79drtph,48268
bo_yrtjez967z,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707254003000,False,False,r_ei1v962zcq,86637
bo_4mjyg3jpyj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1707063230000,False,False,r_7k5nn3swyq,87422
bo_9wgxpk4zdb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706983730000,True,True,r_qkhstf4dd8,52369
bo_8ffye5w3ze,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706908150000,False,False,r_7f5tl5m0r9,24930
bo_9q4xgbphbs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1706896269000,False,False,r_99wu8er3m6,37813
bo_yfr65pyrsq,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1706751357000,False,False,r_6ha979ik6p,2913
bo_avm4guxbhv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706749720000,True,True,r_dzh21rg2xt,25015
bo_bxw2ht5ped,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706742520000,True,False,r_s45dtqcd6j,144916
bo_k4s7fvtrcu,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706742098000,True,False,r_s45dtqcd6j,0
bo_2h2hedpr63,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706725807000,True,True,r_s45dtqcd6j,0
bo_quzt3m8v8n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706717107000,False,False,r_49sobd5rrk,22046
bo_rv9ypfqu4a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706716807000,True,True,r_8vg59714ay,23616
bo_q5qzgd9akh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706707807000,True,True,r_4f1l48zx,24285
