product_token,name,category,sales_count,order_count,visit_count,date
p_f3bpvxh9af,Pheasant Blue Tablecloth,Tablecloth,0,0,0,2023-01-01
p_zuuvezhg4m,Pheasant Mustard Tablecloth,Tablecloth,0,0,0,2023-01-01
p_gmhfcn7sc2,Pheasant Burnt Orange Tablecloth,Tablecloth,0,0,0,2023-01-01
p_vfvj74drae,Pheasant Green Tablecloth,Tablecloth,0,0,0,2023-01-01
p_f9qrq7up8w,Pheasant Red Tablecloth,Tablecloth,0,0,0,2023-01-01
p_agmit4i7i3,Olive Tree Khaki/Blue Placemat - Set of 6,Placemat,4,2,5,2023-01-01
p_307c6t50rd,Fleurs Des Indes Multi Placemat - Set of 6,Placemat,0,0,1,2023-01-01
p_35lolfijip,Gooseberry Red/Green Placemat - Set of 6,Placemat,0,0,2,2023-01-01
p_bk8upwe3f7,Gooseberry Red/Green Tea Towels - Set of 3,Tea Towel,2,1,1,2023-01-01
p_bet087mlc8,Fruit Yellow/Green Tea Towels - Set of 3,Tea Towel,26,8,27,2023-01-01
p_837qbm40in,Poppies Red/Green Napkins - Set of 6,Dinner & Cloth Napkins,6,2,2,2023-01-01
p_468rzx6sxt,Poppies Red/Green Mats - Set of 6,Placemat,0,0,3,2023-01-01
p_4r1c36c1zp,Olive Tree Khaki & Blue | French Tablecloths,Outdoor Tablecloth,24,7,28,2023-01-01
p_bx6yos3qbr,Olive Tree Khaki/Blue Napkins - Set of 6,Dinner & Cloth Napkins,6,3,11,2023-01-01
p_75wwlmwmnu,Olive Tree Khaki/Blue Table Runners,Table Runner,8,3,8,2023-01-01
p_5vnl22ixs3,Olive Tree Khaki/Blue Tea Towels - Set of 3,Tea Towel,0,0,9,2023-01-01
p_aidfoub1lz,Lavender Purple | French Tablecloths,Tablecloth,16,5,28,2023-01-01
p_8y0qq166j8,Lavender Purple Table Runners,Table Runner,0,0,5,2023-01-01
p_3zp0pvci7x,Lavender Purple Napkins - Set of 6,Dinner & Cloth Napkins,12,4,20,2023-01-01
p_dxir1njfsc,Lavender Purple Mats - Set of 6,Placemat,6,2,3,2023-01-01
p_asmpxpbp0k,Lavender Purple Tea Towels - Set of 3,Tea Towel,9,4,6,2023-01-01
p_d8p6koymi5,Pomegranate Yellow/Red Table Runners,Table Runner,0,0,6,2023-01-01
p_2sh5yd32cr,Pomegranate Yellow/Red Apron,Apron,2,1,1,2023-01-01
p_4mf497x9le,Pomegranate Yellow/Red Napkins - Set of 6,Dinner & Cloth Napkins,0,0,12,2023-01-01
p_du6qjt6ttd,Pomegranate Yellow/Red Mats - Set of 6,Placemat,2,1,2,2023-01-01
p_eyjlpidquo,Pomegranate Yellow/Red Tea Towels - Set of 3,Tea Towel,2,1,7,2023-01-01
p_4turag4dzw,Pomegranate Yellow & Red | French Tablecloths,Tablecloth,4,1,11,2023-01-01
p_e9ioolmieo,Fleurs des Indes | French Tablecloths,Tablecloth,2,1,7,2023-01-01
p_8s76e3py0x,Fleurs des Indes Table Runners,Table Runner,4,2,7,2023-01-01
p_9nba8vacvp,Fleurs des Indes Tea Towels - Set of 3,Tea Towel,2,1,3,2023-01-01
p_5jc1g8y1ax,Fleurs des Indes Napkins - Set of 6,Dinner & Cloth Napkins,0,0,5,2023-01-01
p_cirk7ikhgw,Fleurs des Indes Apron,Apron,0,0,6,2023-01-01
p_97ra6clttt,Strawberry Blue Runners,Table Runner,24,7,47,2023-01-01
p_umolpptmvt,Strawberry Blue Apron,Apron,5,2,8,2023-01-01
p_a0u15ps0jm,Strawberry Blue Napkins - Set of 6,Disposable Napkin,12,4,16,2023-01-01
p_aaclyltfjy,Strawberry Blue Mats - Set of 6,Bath Mats,6,2,8,2023-01-01
p_d80j7vkmld,Strawberry Blue Tea Towels - Set of 3,Tea Towel,10,5,47,2023-01-01
p_ao33gkeehq,Gooseberry Red & Green | French Tablecloths,Tablecloth,10,3,47,2023-01-01
p_d44ztrn69f,Gooseberry Red/Green Table Runners,Table Runner,6,1,3,2023-01-01
p_71ys1ysfon,Gooseberry Red/Green Apron,Apron,4,2,5,2023-01-01
p_1q3gsd27fk,Springfields Multi | French Tablecloths,Tablecloth,22,5,32,2023-01-01
p_ei98pn2u3z,Springfields Multi French Runners,Table Runner,13,5,25,2023-01-01
p_cczv9zwfht,Springfields Multi French Tea Towels - Set of 3,Tea Towel,7,3,14,2023-01-01
p_52dr9rtbu1,Springfields Multi French Napkins - Set of 6,Dinner & Cloth Napkins,3,1,12,2023-01-01
p_cmm1ym8ze6,Springfields Multi French Mats - Set of 6,Baking & Cookie Sheets,0,0,3,2023-01-01
p_9p2urvpx3l,Springfields Multi French Apron,Apron,4,2,4,2023-01-01
p_8xsdef9ih0,Pumpkin Orange & Mustard Tablecloths,Tablecloth,0,0,3,2023-01-01
p_2r1rr3c9pl,Pumpkin Orange/Mustard Napkins - Set of 6,Dinner & Cloth Napkins,0,0,0,2023-01-01
p_73h69kbjnf,Pumpkin Orange/Mustard Mats - Set of 6,Art Prints,0,0,0,2023-01-01
p_226ip76oh4,Pumpkin Orange/Mustard Apron,Apron,0,0,1,2023-01-01
p_22aitg99jf,Jardin Red & Green | French Tablecloths,Outdoor Tablecloth,6,3,22,2023-01-01
p_7rgjmp2n9u,Jardin Red & Green | Table Runners,Table Runner,4,2,15,2023-01-01
p_b2m3qz9k7w,Jardin Red & Green | Tea Towels - Set of 3,Tea Towel,7,3,15,2023-01-01
p_1uqck84n15,Jardin Red & Green | Napkins - Set of 6,Dinner & Cloth Napkins,2,1,6,2023-01-01
p_6fm293qdlz,Jardin Red & Green | Placemats - Set of 6,Placemat,0,0,0,2023-01-01
p_d5au59zzqd,Jardin Red & Grey | French Tablecloths,Tablecloth,16,7,51,2023-01-01
p_bb06d14bio,Jardin Red & Grey | Table Runners,Table Runner,10,4,19,2023-01-01
p_5djm66bxv8,Jardin Red & Grey | Tea Towels - Set of 3,Tea Towel,23,8,25,2023-01-01
