execution_date,title,order,search_query
2024-05-27,Wisteria Blue & Green | Tablecloths,30,Tablecloth
2024-05-27,Jardin Blue & Vert | Tablecloth,47,Tablecloth
2024-05-27,Fruit Yellow & Green | French Tablecloths,79,Tablecloth
2024-05-27,Provence Avignon Dijon & Blue Tablecloth,90,Tablecloth
2024-05-24,Fruit Yellow & Green | French Tablecloths,33,Tablecloth
2024-05-24,Wisteria Blue & Green | Tablecloths,43,Tablecloth
2024-05-24,Jardin Blue & Vert | Tablecloth,58,Tablecloth
2024-05-24,Provence Avignon Blue & Marine Tablecloth,72,Tablecloth
2024-05-24,Provence Avignon Dijon & Blue Tablecloth,87,Tablecloth
2024-05-26,Wisteria Blue & Green | Tablecloths,18,Tablecloth
2024-05-26,Jardin Blue & Vert | Tablecloth,44,Tablecloth
2024-05-26,Provence Avignon Dijon & Blue Tablecloth,63,Tablecloth
2024-05-26,Jardin Red & Grey | French Tablecloths,80,Tablecloth
2024-05-25,Wisteria Blue & Green | Tablecloths,38,Tablecloth
2024-05-25,Fruit Yellow & Green | French Tablecloths,81,Tablecloth
2024-05-25,Provence Avignon Blue & Marine Tablecloth,96,Tablecloth
2024-05-23,Wisteria Blue & Green | Tablecloths,23,Tablecloth
2024-05-23,Provence Avignon Dijon & Blue Tablecloth,58,Tablecloth
2024-05-23,Provence Avignon Blue & Marine Tablecloth,89,Tablecloth
