token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_8qsrv22fnu,bo_drz7884nya,5,Always exceeds my expectations! ,0,"Roots In Santa Fe, LLC",1722966944000,1723143600000
br_5zhmubf3b4,bo_3cpvj3aj8k,5,Love his work & so do customers Dolan Geiman’s pieces really elevate our space. Many of his works have a very cool SW vibe that fits our market perfectly. The quality of these prints and the framing system are absolutely elegant!,0,Juniper Outpost,1716256949000,1716490800000
br_phbhaf84zt,bo_c38tgn4tpu,5,I love these prints! excellent quality. I ordered the large owl print to be a backdrop for an upcoming concert at our art center. It looks beautiful on the wall in it's star studded frame.,0,Flowerstone Frame & Art Studio,1715694570000,1715886000000
br_n55jhhp4aw,bo_aqr248hvdm,5,Great experience with orders Everything has been very smooth. Dolan is easy to reach and responds promptly. My materials arrived quickly and well packaged. Thanks!,0,Flowerstone Frame & Art Studio,1713370850000,1713553200000
br_znq7gnvm8j,bo_fgjjt47p3q,5,Great Thank you - we love Dolans artwork and we appreciate the free shipping for one year and the $100. Off our first order. Thank you ,0,Gunnison Gallery,1709746047000,1709928000000
br_uy25p7ktbb,bo_jtxck3zjmn,5,"Phenomenal  This company has the most beautiful, brilliant artwork, the most amazing, capable, helpful staff, and whoever packs the product for shipping looks like they went thru a PhD program for shipping art. Stellar in every aspect…..I’m a customer for life! ",0,Leia Fox Designs,1709304685000,1709668800000
br_jrvar75d8m,bo_aewjs26y8c,5,"Perfect  Always quick shipping, great service and the art sells very fast. Customers love the art so much!",0,Graystone,1707541817000,1707854400000
br_rrk59hu47g,bo_qr8vu9gd23,5,Outstanding company with top notch help available.  Love the packaging and speed!  ,0,River Oaks Framing Co LLC,1707413091000,1707768000000
br_a6u4zjrars,bo_uvt2jhp8sr,5,LOVE LOVE LOVE ,0,Merryweather,1703875963000,1704312000000
br_w6tzr5demx,bo_m46mhqy2tq,5,Wonderful! ,0,Frame de Art,1702595251000,1702929600000
br_3q724x5pn8,bo_6cjxtj96dr,5,Amazing! ,0,River Oaks Framing Co LLC,1698340809000,1698692400000
br_k3w78smxdm,bo_rzbeu2m5q9,5,"The best! Not only do I love the art in our home, my customers love it! Shipping is fast, never damaged, and of course the art is amazing!",0,Graystone,1697210890000,1697569200000
br_pavz8zvpah,bo_fjt9ur33x8,5,"Multiple orders in and still amazed! Great product that sells itself. Children love them too - it's so fun to find all the ""hidden treasures"" in each piece. Love the colors; very vibrant. Dolan and his team are the best! Will definitely be back to purchase more. ",0,Puppy Dawgs and Cat Tails,1695304306000,1695668400000
br_c7k9zs48v3,bo_8c8p3kuy45,5,Sells quickly! Always great and super fast shipping! Customer favorite. Goes with everyone's decor or style. Burro ones sell best for us. Pleasure doing business with Dolan and his team.,0,Puppy Dawgs and Cat Tails,1695304186000,1695668400000
br_8e6je9zehq,bo_xrppsfsvdw,5,everything looks fabulous!  I can't wait to put in my store! ,0,Cotton and Rust Trading Co,1693263613000,1693422000000
br_pt5zfmmrjq,bo_f8w4mgytnh,5,"delightful and eager to see what sells first Things are very carefully packed. Exciting to see the new pieces!
A delight to work with this team:)",0,"Mockingbird Handprints, LLC",1691874003000,1692126000000
br_zuft89dexg,bo_cs8pqxqetg,5,"The best! Amazing art that sells itself! Davina is very helpful and responsive. She’s also incredibly knowledgeable and can assist with what pieces you should start with. I’d love to have my whole store filled with Dolan’s art! It’s fun, bright and attracts customers of all ages. Thanks for another great experience! ",0,Puppy Dawgs and Cat Tails,1691758452000,1692126000000
br_r662z87pnx,bo_hze8njpz7f,5,"Always fast, packaged very well and the pieces are so great! ",0,Graystone,1690587155000,1690916400000
br_9kxy4qraaz,bo_dka8m3spjn,5,Excellent ,0,Boulder Frameworks,1690040810000,1690311600000
br_3pg75ht7y3,bo_t5a33k8h8k,5,"A+++++++ No words can express how amazing these products are! Customers love looking for the ""hidden"" messages and pictures. Customer service is the best too - Davina is so helpful and fast to reply to messages. We are on our 5th order in just a few months. Place your order now!!!",0,Puppy Dawgs and Cat Tails,1689736700000,1689966000000
br_u33wp8twvz,bo_np8ypp8ey5,5,LOVE LOVE LOVE ,0,Merryweather,1689467479000,1689706800000
br_gju6ge8ukp,bo_htrm72nnyb,5,"Dolan Geiman prints We love Dolan's art! His art is the best, and love promoting him and his team! Brian",0,Frame de Art,1687461892000,1687806000000
br_qu5vktrgax,bo_r5ucq2yarm,5,Color and texture oh my! :) We were only carrying the prints and framed prints when Davina suggested we might try a framed canvas. We choose Father Nature. We placed it behind our sales counter. Front and center. Talk about a conversation piece. The beauty of the larger canvas is you can really see the detail and find all of the hidden treasures in the piece. Father Nature has already found a home. It was a surprise birthday for a very lucky lady. We have ordered a second Father Nature and added a Cactus Country. ,0,Merryweather,1684346800000,1684522800000
br_hjh3epzbqw,bo_9fbmen5b7t,5,Love the new pieces!  The detail is amazing! Customers stare at them to see all the individual papers used to make your prints. Couldn’t be happier with the whole process! ,0,Puppy Dawgs and Cat Tails,1684072808000,1684263600000
br_k958t87h4y,bo_fd8ssfq87v,5,"Amazing - super talented! We are honored to be among their stockist. Just received our first order for my store - but my first purchase was for me personally over 15 years ago. Incredibly talented. Rearranged our store just for his pieces. Can't wait to get them on the sales floor. Thank you for your quick responses, valuable information and marketing materials too! Photo coming soon.",0,Puppy Dawgs and Cat Tails,1682654217000,1683054000000
br_bztqw2zfpn,bo_6grfcbawdh,4,Love her she’s a beauty  ,0,Big City Coffee and Cafe,1680584784000,1680807600000
