collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
The Latest,1673544679000,1721139481000,27,0,0,0,Dolan Geiman
Bestsellers,1664468156000,1718913136000,24,0,0,0,Dolan Geiman
Canvas Prints,1685043742000,1719265284000,79,0,0,0,Dolan Geiman
Ships Today - Originals + Canvases,1689361624000,1721152900000,25,0,0,0,Dolan Geiman
Top Selling Prints of 2023,1707425516000,1718913136000,21,0,0,0,Dolan Geiman
Original Artwork,1686154236000,1719937215000,42,0,0,0,Dolan Geiman
Stickers,1680548828000,1720035481000,20,0,0,0,Dolan Geiman
Cowgirl Collection - Original Metal Wall Sculptures,1694795512000,1718913150000,9,0,0,0,Dolan Geiman
Cowboy Collection,1664469699000,1718913150000,14,0,0,0,Dolan Geiman
The Fishing Collection,1687800686000,1718913150000,15,0,0,0,Dolan Geiman
Bird Collection,1683919296000,1718913150000,14,0,0,0,Dolan Geiman
Yellowstone,1718825231000,1718913150000,26,0,0,0,Dolan Geiman
Death Valley,1718830277000,1718913144000,16,0,0,0,Dolan Geiman
Mountain Modern Collection,1664472560000,1718830277000,22,0,0,0,Dolan Geiman
Cowgirl Collection,1664468463000,1718830277000,16,0,0,0,Dolan Geiman
Fauna Collection,1664469700000,1718830277000,16,0,0,0,Dolan Geiman
Southwestern Collection,1664472560000,1718830277000,21,0,0,0,Dolan Geiman
Best Sellers,1715036132000,1715036277000,29,0,0,0,Elana Gabrielle
Coastline,1664469087000,1715036277000,9,0,0,0,Elana Gabrielle
Garden Party,1664470374000,1715036277000,15,0,0,0,Elana Gabrielle
Sun Love,1664470374000,1715036277000,8,0,0,0,Elana Gabrielle
Vessels,1664470374000,1715036277000,14,0,0,0,Elana Gabrielle
Desert Love,1664469015000,1715036277000,9,0,0,0,Elana Gabrielle
The Celebration Collection,1664468273000,1680544188000,13,0,0,0,Janet Hill Studio
Minis - Holiday Collection,1720820352000,1720820587000,103,0,0,0,GreenBox Art
Most popular dog collection Minis,1664474254000,1720820564000,46,0,0,0,GreenBox Art
Memorial Day 2024,1716571423000,1720820564000,84,0,0,0,GreenBox Art
Coasters,1713373119000,1720820564000,50,0,0,0,GreenBox Art
Mother's Day,1712770052000,1720820564000,26,0,0,0,GreenBox Art
Jess Franks,1712004366000,1720820564000,7,0,0,0,GreenBox Art
Mini Art - Spring,1689276285000,1720820564000,20,0,0,0,GreenBox Art
Canvas Wall Art - Spring,1689276819000,1720820564000,38,0,0,0,GreenBox Art
Coastal,1696631598000,1720820564000,29,0,0,0,GreenBox Art
Artist - Cathy Walters,1690413423000,1720820564000,25,0,0,0,GreenBox Art
Eric Carle Collection,1700676119000,1720820564000,34,0,0,0,GreenBox Art
Holiday - New Cathy Walters,1695423281000,1720820564000,15,0,0,0,GreenBox Art
Wholesale Pack 1,1697149351000,1720820564000,6,0,0,0,GreenBox Art
Puzzles and Tea Towels - Final Inventory,1698938078000,1720820564000,41,0,0,0,GreenBox Art
Artist - Kasey Lewis,1694712087000,1720820564000,42,0,0,0,GreenBox Art
Canvas Wall Art - Fall,1694711340000,1720820564000,19,0,0,0,GreenBox Art
Mini Art - Fall,1694711246000,1720820564000,9,0,0,0,GreenBox Art
Canvas Wall Art,1689277334000,1720820564000,26,0,0,0,GreenBox Art
Artist Eli Halpin,1690414067000,1720820564000,51,0,0,0,GreenBox Art
Mini Art,1689275745000,1720820564000,8,0,0,0,GreenBox Art
Birthday Collection,1664472880000,1716240254000,9,0,0,0,Canyon & Cove Art
