tokens,publish_at_values,created_at_values,titles,ratings,brand
br_5zhmubf3b4,1716490800000,1716256949000,Love his work & so do customers,5,Dolan Geiman
br_phbhaf84zt,1715886000000,1715694570000,I love these prints! excellent quality.,5,Dolan Geiman
br_n55jhhp4aw,1713553200000,1713370850000,Great experience with orders,5,Dolan Geiman
br_znq7gnvm8j,1709928000000,1709746047000,Great,5,Dolan Geiman
br_uy25p7ktbb,1709668800000,1709304685000,Phenomenal ,5,Dolan Geiman
br_jrvar75d8m,1707854400000,1707541817000,Perfect ,5,Dolan Geiman
br_rrk59hu47g,1707768000000,1707413091000,Outstanding company with top notch help available.  Love the packaging and speed! ,5,Dolan Geiman
br_a6u4zjrars,1704312000000,1703875963000,LOVE LOVE LOVE,5,Dolan Geiman
br_w6tzr5demx,1702929600000,1702595251000,Wonderful!,5,Dolan Geiman
br_3q724x5pn8,1698692400000,1698340809000,Amazing!,5,Dolan Geiman
br_k3w78smxdm,1697569200000,1697210890000,The best!,5,Dolan Geiman
br_pavz8zvpah,1695668400000,1695304306000,Multiple orders in and still amazed!,5,Dolan Geiman
br_c7k9zs48v3,1695668400000,1695304186000,Sells quickly!,5,Dolan Geiman
br_8e6je9zehq,1693422000000,1693263613000,everything looks fabulous!  I can't wait to put in my store!,5,Dolan Geiman
br_pt5zfmmrjq,1692126000000,1691874003000,delightful and eager to see what sells first,5,Dolan Geiman
br_zuft89dexg,1692126000000,1691758452000,The best!,5,Dolan Geiman
br_r662z87pnx,1690916400000,1690587155000,"Always fast, packaged very well and the pieces are so great!",5,Dolan Geiman
br_9kxy4qraaz,1690311600000,1690040810000,Excellent,5,Dolan Geiman
br_3pg75ht7y3,1689966000000,1689736700000,A+++++++,5,Dolan Geiman
br_u33wp8twvz,1689706800000,1689467479000,LOVE LOVE LOVE,5,Dolan Geiman
br_gju6ge8ukp,1687806000000,1687461892000,Dolan Geiman prints,5,Dolan Geiman
br_qu5vktrgax,1684522800000,1684346800000,Color and texture oh my! :),5,Dolan Geiman
br_hjh3epzbqw,1684263600000,1684072808000,Love the new pieces! ,5,Dolan Geiman
br_k958t87h4y,1683054000000,1682654217000,Amazing - super talented!,5,Dolan Geiman
br_bztqw2zfpn,1680807600000,1680584784000,Love her she’s a beauty ,4,Dolan Geiman
br_pxk83m7hkh,1680634800000,1680477831000,I love everything that I have purchased :) amazing love it!,5,Dolan Geiman
br_d4mrwyatn7,1680202800000,1680028534000,Very Unique Pieces,5,Dolan Geiman
br_zc2qs9qdju,1679943600000,1679590704000,Magical,5,Dolan Geiman
br_fkyqbsy66u,1679598000000,1679380485000,Excellent ,5,Dolan Geiman
br_4grhq86tvk,1675800000000,1675441529000,Obsessed!,5,Dolan Geiman
br_f2ppf3k668,1674590400000,1674233712000,Excellent,5,Dolan Geiman
br_vq776x6fkc,1666033200000,1665675779000,Beautiful Art,5,Dolan Geiman
br_nn5k8yvpw4,1663873200000,1663691331000,gREAT PRODUCT,5,Dolan Geiman
br_bkvr7e8kjt,1662058800000,1661825688000,"Awesome quality, packaging and customer service!",5,Dolan Geiman
br_9ajfcsd2x5,1661367600000,1661182782000,The art is fantastic and so is the service!,5,Dolan Geiman
br_3ma3u3ewhz,1647975600000,1647804878000,LOVE,5,Dolan Geiman
br_3vhja5vw6t,1629831600000,1629470329000,Love his work.  His prints are amazing and always an eye-catcher.,5,Dolan Geiman
br_qpc9bd9mny,1627412400000,1627232906000,Prints are great ,5,Dolan Geiman
br_zjb7hwnuf5,1627066800000,1626833689000,Love!!,5,Dolan Geiman
br_hsu9934uqu,1622660400000,1622480044000,Wonderful to work with! ,5,Dolan Geiman
br_swmm3uyv2q,1621969200000,1621724424000,It was packaged beautifully and the artwork and hangers are gorgeous! ,5,Dolan Geiman
br_f1tg4r9t6v,1619636400000,1619407964000,Best selling item in my store! ,5,Dolan Geiman
br_a8zsmwfgyv,1617390000000,1617198429000,Beyond gorgeous prints. High quality and packaged well.  Customers love them!! Will most definitely order more. ,5,Dolan Geiman
br_68xlvrlhb2,1614110400000,1613715005000,Stunning art!,5,Dolan Geiman
br_6agdm41ddr,1611259200000,1611087995000,Superb!,5,Dolan Geiman
br_annicqs7qf,1611172800000,1610717589000,"Beautiful work, wonderful attention to detail",5,Dolan Geiman
br_3n7yx8j4nm,1600455600000,1600277205000,Beautiful Artwork!,5,Dolan Geiman
br_39kierlmmi,1596481200000,1596135844000,Beautiful pieces! ,5,Dolan Geiman
br_2zo3sifbtv,1595962800000,1595793308000,Beautiful pieces and high quality,5,Dolan Geiman
br_bbzknrsqs1,1595444400000,1595270320000,Attention to detail...,5,Dolan Geiman
br_83w0dnuawm,1583179200000,1582828423000,Beautiful Artwork!,5,Dolan Geiman
br_57ef1ulsr2,1572984000000,1572629321000,Outstanding work and customer service!,5,Dolan Geiman
br_eaf8x1f0kd,1572030000000,1571864738000,My new favorite artist,5,Dolan Geiman
br_cfrjt4h8sk,1571770800000,1571501669000,UTTER FABULOUSNESS!,5,Dolan Geiman
br_92cuw5rwus,1716490800000,1716300317000,Beautiful napkins - great prints quality and colors! ,5,Elana Gabrielle
br_s8sh5y66zb,1716318000000,1715978770000,excellent,5,Elana Gabrielle
br_qmahthuy58,1714417200000,1714052745000,Best graphic art!,5,Elana Gabrielle
br_qgpds4a6pf,1713294000000,1713131920000,Happiest linens,5,Elana Gabrielle
br_3ka3g4b37r,1713294000000,1712952486000,Beautiful! ,5,Elana Gabrielle
br_nxhbzqk6zb,1706644800000,1706307094000,Perfect,5,Elana Gabrielle
br_64tv54fhy4,1706126400000,1705935306000,Elana’s products are always beautiful & well made - we love having her on our shelves!,5,Elana Gabrielle
br_287y46a9g9,1694718000000,1694536612000,Everything is so so lovely! ,5,Elana Gabrielle
br_7rmyy36snv,1693422000000,1693250962000,"Oh WOW, these pieces are truly one of a kind, and uniquely their own.",5,Elana Gabrielle
br_h9bm2h2kud,1692126000000,1691716796000,Best Fabrics and Prints,5,Elana Gabrielle
br_xgdzfmpkr9,1691521200000,1691332004000,Colors and prints are so unique! ,5,Elana Gabrielle
br_5xwkh8qqh2,1690311600000,1690152994000,Greeting Cards ,5,Elana Gabrielle
br_xn9bn8mdty,1690311600000,1689902073000,Wow- these are so beautiful ,5,Elana Gabrielle
br_3hugb9q94w,1689966000000,1689726349000,Wonderful quality products,5,Elana Gabrielle
br_x4hx3emkcr,1689102000000,1688918222000,Fantastic,5,Elana Gabrielle
br_n2h72dqt7z,1688583600000,1688149337000,Always a good addition to our shop!,5,Elana Gabrielle
br_vj7uh8q37g,1685559600000,1685398327000,Beautiful made. I love it!!!,5,Elana Gabrielle
br_ja3hx2xukk,1684263600000,1684104246000,Everything is just lovely!,5,Elana Gabrielle
br_pjb7aggf3k,1683226800000,1683042604000,Wonderful,5,Elana Gabrielle
