token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_znx2fcfdvg,o_bdrma72s3a,p_ckv6aijjk3,bo_r6ycjh59va,MIDNIGHT SONG - Sugar Skulll art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#R6YCJH59VA,
oi_x7tefa2zsp,o_vd8c7aw5w6,p_5te9mxjf,bo_pt9xepd6bc,DREAM TALKER - Native American Chief wall art,Unframed / 26 X 35,32900,16500,16500,1,16500,16500,0,#PT9XEPD6BC,
oi_c256avv8kd,o_vd8c7aw5w6,p_sts7yxvxut,bo_pt9xepd6bc,WESTERN SONGBIRD (TWILIGHT) - cowgirl with guitar art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#PT9XEPD6BC,
oi_9bkngfxq67,o_vd8c7aw5w6,p_e6w1fge6sq,bo_pt9xepd6bc,THE BATTLE - historical Indian portraiture,Unframed / 16 x 26,14900,8000,8000,1,8000,8000,0,#PT9XEPD6BC,
oi_5v52txcwkn,o_vd8c7aw5w6,p_5ztdx9k0t2,bo_pt9xepd6bc,COUNTRY MUSIC DONE CHANGED - western singer art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#PT9XEPD6BC,
oi_mwyp7xge3x,o_vd8c7aw5w6,p_7ghv1p6w,bo_pt9xepd6bc,WARBLERS - bird art print,Unframed / 16 X 16,9900,5000,5000,1,5000,5000,0,#PT9XEPD6BC,
oi_rsqtrkvdpy,o_vd8c7aw5w6,p_eudb06iwcs,bo_pt9xepd6bc,EX LIBRIS - wine lover art print,Unframed / 24 X 30,24900,12500,12500,1,12500,12500,0,#PT9XEPD6BC,
oi_7eb7tsjthq,o_vd8c7aw5w6,p_9s8da6ybyv,bo_pt9xepd6bc,UNDER THE MILKY WAY - bison art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#PT9XEPD6BC,
oi_vhpyczxwjg,o_vd8c7aw5w6,p_4e44ae6umn,bo_pt9xepd6bc,SUNRISE VISITOR - wolf art print,Unframed / 15.5 X 26,14900,7500,7500,1,7500,7500,0,#PT9XEPD6BC,
oi_yvn5huygn8,o_apea9en5z6,p_9s8da6ybyv,bo_nun8pasemy,UNDER THE MILKY WAY - bison art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#NUN8PASEMY,
oi_98eb8vhcrj,o_apea9en5z6,p_zy5gn4xmtr,bo_nun8pasemy,THE SIBYL - bohemian owl print,Unframed / 15.5 X 26,14900,7500,7500,1,7500,7500,0,#NUN8PASEMY,
oi_86m5wrg4qb,o_apea9en5z6,p_uzpwcnsxbw,bo_nun8pasemy,MIDNIGHT ROUNDUP - cowboy with longhorns art print,Unframed / 15.5 x 26,14900,7500,7500,1,7500,7500,0,#NUN8PASEMY,
oi_hz9gs6dy77,o_apea9en5z6,p_a4zqgtqjtz,bo_nun8pasemy,ROARING FORK RAINBOW TROUT - fish wall art,Unframed / 16 X 24,14900,7500,7500,1,7500,7500,0,#NUN8PASEMY,
oi_mweg93hd33,o_apea9en5z6,p_72xk42mku9,bo_nun8pasemy,DISTRACTED- mountain bear print,Unframed / 20 x 20,15900,8000,8000,1,8000,8000,0,#NUN8PASEMY,
oi_prm8qm73kx,o_apea9en5z6,p_hr8vgmytcv,bo_nun8pasemy,MIDNIGHT FOREST (BEAR CUBS) - bear in aspen trees art print ,Unframed / 13 X 26,14900,7500,7500,1,7500,7500,0,#NUN8PASEMY,
oi_zmutjdsrjs,o_y2p74wfnjw,p_ckv6aijjk3,bo_abt4c67sbd,MIDNIGHT SONG - Sugar Skulll art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#ABT4C67SBD,
oi_xtywvx5dqt,o_y2p74wfnjw,p_s6jpctmyuh,bo_abt4c67sbd,VIGIL (TEAL) - Day of the Dead art gift,Unframed / 16 x 20,12900,6500,6500,1,6500,6500,0,#ABT4C67SBD,
oi_q35zn4ggxb,o_ju6ug7trhh,p_64ep9658,bo_3v7um35k4c,LINEAGE - longhorns art print,Black / 16 X 20,35900,27000,27000,1,27000,27000,0,#3V7UM35K4C,
oi_fbrcfs9fku,o_ju6ug7trhh,p_jyfv29dpke,bo_3v7um35k4c,CACTUS COUNTRY (ARMADILLO) - desert cactus art print,Black / 13 X 26,37900,28000,28000,1,28000,28000,0,#3V7UM35K4C,
oi_pz2zrn8v39,o_ju6ug7trhh,p_c5r6sfgnqg,bo_3v7um35k4c,CACTUS COUNTRY (JACKRABBITS) - desert cactus art print,Black / 13 X 26,37900,28000,28000,1,28000,28000,0,#3V7UM35K4C,
oi_b9sj8e5tdc,o_ju6ug7trhh,p_frtosefqec,bo_3v7um35k4c,VAQUERA SUDOESTE (HUMMINGBIRDS) - Latina art print,Black / 32 x 40,92900,64500,64500,1,64500,64500,0,#3V7UM35K4C,
oi_k22w7bg772,o_k9kqqz2gu8,p_m4h6xzr98t,bo_4wbqywkpap,TURQUOISE LAKE FOX - mountain cabin wall art,Unframed / 20 x 20,15900,8000,8000,1,8000,8000,0,#4WBQYWKPAP,
oi_hb5an5bf38,o_k9kqqz2gu8,p_btgt7687aw,bo_4wbqywkpap,CACTUS RODEO - cowboy skateboarding art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_8mva5p52te,o_k9kqqz2gu8,p_mz4kqs5uyh,bo_4wbqywkpap,SEND IT! - mountain biking art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_qpxb49y7gf,o_k9kqqz2gu8,p_5kfsbchm19,bo_4wbqywkpap,VAQUERA SUDOESTE (CACTUS) - vintage rodeo art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_sutuufwwtn,o_k9kqqz2gu8,p_e4d66zgmre,bo_4wbqywkpap,SAGE KING - bison wall art,Unframed / 24 X 30,24900,12500,12500,1,12500,12500,0,#4WBQYWKPAP,
oi_pgh34t63ef,o_k9kqqz2gu8,p_3dm22zgc7f,bo_4wbqywkpap,INDIGO MOUNTAIN - bison art print,Unframed / 18 X 24,16900,8000,8000,1,8000,8000,0,#4WBQYWKPAP,
oi_eepsbsezqh,o_k9kqqz2gu8,p_dg6u66dsey,bo_4wbqywkpap,MOTHER'S GLANCE  - fox art print,Unframed / 16 X 16,9900,5000,5000,1,5000,5000,0,#4WBQYWKPAP,
oi_gzvegznzqk,o_k9kqqz2gu8,p_9cyenfybch,bo_4wbqywkpap,MIDNIGHT FOREST (FOX) - aspen tree art print,Unframed / 13 X 26,14900,7500,7500,1,7500,7500,0,#4WBQYWKPAP,
oi_wy2bq829wz,o_k9kqqz2gu8,p_43essl6x3v,bo_4wbqywkpap,"BURRO, II - donkey art print",Unframed / 16 x 20,13000,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_y4xztsf5qa,o_k9kqqz2gu8,p_6vwhf65udw,bo_4wbqywkpap,AMERICAN ROOTS - country western singer art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_gaa8e7ndhs,o_k9kqqz2gu8,p_9xf4eel5m6,bo_4wbqywkpap,FAWN AND PHOENIX - Day of the Dead art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_e9e84r3esk,o_k9kqqz2gu8,p_6ra18mn2,bo_4wbqywkpap,LAST RUN - ski art print,Unframed / 16 X 16,9900,5000,5000,1,5000,5000,0,#4WBQYWKPAP,
oi_76nnmh7mqg,o_k9kqqz2gu8,p_dkiu8jiz,bo_4wbqywkpap,DEER VALLEY - mule deer art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#4WBQYWKPAP,
oi_n367xt4xkd,o_k9kqqz2gu8,p_k8ev4sm4ca,bo_4wbqywkpap,BURRO COUNTRY - donkey art print,Unframed / 32 X 32,34900,17500,17500,1,17500,17500,0,#4WBQYWKPAP,
oi_qfrpuh57t2,o_k9kqqz2gu8,p_dd8mg325mj,bo_4wbqywkpap,BURRO COUNTRY II - donkey art print,Unframed / 20 x 20,15900,8000,8000,1,8000,8000,0,#4WBQYWKPAP,
oi_63cd2krbrq,o_k9kqqz2gu8,p_c2fr2nj2xr,bo_4wbqywkpap,SEPTEMBER EVENING - mountain elk art print,Unframed / 15.5 X 26,14900,7500,7500,1,7500,7500,0,#4WBQYWKPAP,
oi_daqhzssbn5,o_jznmb3wupp,p_390xb9bdoo,bo_jeywmskeb3,ADELITA (HORSES) - southwestern cowgirl art print,Unframed / 16 x 20,12900,6500,6500,2,13000,13000,0,#JEYWMSKEB3,
oi_7hyyfemyux,o_jznmb3wupp,p_9cyenfybch,bo_jeywmskeb3,MIDNIGHT FOREST (FOX) - aspen tree art print,Unframed / 13 X 26,14900,7500,7500,1,7500,7500,0,#JEYWMSKEB3,
oi_392v3vnd2r,o_jznmb3wupp,p_dgx37kxwta,bo_jeywmskeb3,MIDNIGHT FOREST (BOBCAT) - woodland art print,Unframed / 13 X 26,14900,7500,7500,1,7500,7500,0,#JEYWMSKEB3,
oi_jhhuzqdf4x,o_jznmb3wupp,p_5s3vnq7hjw,bo_jeywmskeb3,BIG SPIRIT - buffalo art print,Unframed / 24 X 30,24900,12500,12500,1,12500,12500,0,#JEYWMSKEB3,
oi_waw4jfhtdt,o_jznmb3wupp,p_5s3vnq7hjw,bo_jeywmskeb3,BIG SPIRIT - buffalo art print,Unframed / 32 X 40,39900,20000,20000,1,20000,20000,0,#JEYWMSKEB3,
oi_rdkd4sbr3b,o_jznmb3wupp,p_hr8vgmytcv,bo_jeywmskeb3,MIDNIGHT FOREST (BEAR CUBS) - bear in aspen trees art print ,Unframed / 13 X 26,14900,7500,7500,2,15000,15000,0,#JEYWMSKEB3,
oi_rmbcy294pn,o_jznmb3wupp,p_75tqlff0,bo_jeywmskeb3,WISDOM AND COURAGE (CHIEFTESS) - Native American art print,Unframed / 20 X 20,15900,8000,8000,1,8000,8000,0,#JEYWMSKEB3,
oi_knc8gwqpyx,o_jznmb3wupp,p_5s3vnq7hjw,bo_jeywmskeb3,BIG SPIRIT - buffalo art print,Unframed / 16 X 20,12900,6500,6500,3,19500,19500,0,#JEYWMSKEB3,
oi_un3swstgb8,o_jznmb3wupp,p_72xk42mku9,bo_jeywmskeb3,DISTRACTED- mountain bear print,Unframed / 20 x 20,15900,8000,8000,3,24000,24000,0,#JEYWMSKEB3,
oi_j5g6zqpren,o_jznmb3wupp,p_zy5gn4xmtr,bo_jeywmskeb3,THE SIBYL - bohemian owl print,Unframed / 15.5 X 26,14900,7500,7500,5,37500,37500,0,#JEYWMSKEB3,
oi_dgn5d4w8fp,o_fnrcuegmza,p_5kfsbchm19,bo_mpevaua377,VAQUERA SUDOESTE (CACTUS) - vintage rodeo art print,Unframed / 16 X 20,12900,6500,6500,1,6500,6500,0,#MPEVAUA377,
