tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_gh56tftwst,Day of the Dead | Ordered | 9.9.24 ,ONE_TIME,COMPLETED,1725915705000.0,142.0,124.0,75.0,1.0,1.0,260.0,0.0,0.0
bmc_kf747x5fz4,Day of the Dead | Never Ordered | 9.9.24,ONE_TIME,COMPLETED,1725915745000.0,692.0,638.0,277.0,9.0,0.0,0.0,0.0,0.0
bmc_sn97z22r2r,Ships Today Never Ordered | 9.17.24 ,ONE_TIME,COMPLETED,1726585200000.0,1007.0,914.0,243.0,12.0,0.0,0.0,0.0,0.0
bmc_yyutnz7bb6,Ships Today | 9.17.24,ONE_TIME,COMPLETED,1726585200000.0,144.0,123.0,55.0,4.0,0.0,0.0,0.0,0.0
bmc_csg87n82yc,Bison | Ordered | 9.3.24 ,ONE_TIME,COMPLETED,1725390928000.0,140.0,122.0,63.0,1.0,2.0,670.0,0.0,0.0
bmc_asx7gzz6ax,Bison | Never Ordered | 9.3.24,ONE_TIME,COMPLETED,1725390937000.0,694.0,653.0,276.0,16.0,0.0,0.0,0.0,0.0
bmc_thn5sqfcpw,Summer's Best-Sellers | Ordered | 8.30.24,ONE_TIME,COMPLETED,1725045305000.0,139.0,129.0,74.0,1.0,3.0,1971.0,0.0,0.0
bmc_59jxbeku78,Summer's Best-Sellers | 8.30.24,ONE_TIME,COMPLETED,1725045335000.0,700.0,672.0,273.0,11.0,0.0,0.0,0.0,0.0
bmc_th2ajgmvkt,Print Collections | 8.22.24,ONE_TIME,COMPLETED,1724426293000.0,721.0,668.0,312.0,14.0,2.0,518.0,0.0,0.0
bmc_fft9xpjjb2,Dolan's Story | 8.27.24,ONE_TIME,COMPLETED,1724771712000.0,823.0,760.0,316.0,6.0,1.0,1475.0,0.0,0.0
bmc_hawz6rz739,Cowgirl Collection | 8.14.24,ONE_TIME,COMPLETED,1723648331000.0,727.0,669.0,322.0,6.0,4.0,3220.0,0.0,0.0
bmc_qkfvmsvg25,Faire Market Thank You | 8.1.24,ONE_TIME,COMPLETED,1722525071000.0,730.0,678.0,390.0,10.0,0.0,0.0,0.0,0.0
bmc_9k4s7dxuyr,Stickers | 8.8.24,ONE_TIME,COMPLETED,1723130110000.0,719.0,679.0,305.0,6.0,4.0,2000.0,0.0,0.0
bmc_jggm8vxpy4,Faire Market Last Day | 7.25.24,ONE_TIME,COMPLETED,1721956539000.0,909.0,677.0,235.0,8.0,7.0,18126.0,6.0,17500.0
bmc_wz9e3xbb7r,Faire Market Reminder | 7.24.24,ONE_TIME,COMPLETED,1721848666000.0,908.0,671.0,254.0,12.0,7.0,18126.0,6.0,17500.0
bmc_xrj2qb5t2t,Faire Market Launch | 7.23.24,ONE_TIME,COMPLETED,1721747526000.0,908.0,634.0,187.0,10.0,5.0,11804.0,2.0,1921.0
bmc_5ea8dcxyxr,Faire Market Insiders | 7.22.24,ONE_TIME,COMPLETED,1721653999000.0,908.0,650.0,187.0,4.0,7.0,22392.0,1.0,3075.0
bmc_t7chf86dd9,Faire Market Sneak | 7.19.24,ONE_TIME,COMPLETED,1721416658000.0,175.0,109.0,54.0,4.0,7.0,15742.0,1.0,4750.0
bmc_yvp9fw7nsp,Last chance prints,ONE_TIME,COMPLETED,1718204400000.0,175.0,98.0,58.0,0.0,6.0,1446.0,0.0,0.0
bmc_9fsapt2w2g,Untitled campaign 2,ONE_TIME,DRAFT,,,,,,,,,
bmc_j5zavzyexp,summer goods,ONE_TIME,COMPLETED,1716044400000.0,174.0,110.0,55.0,0.0,1.0,351.0,0.0,0.0
bmc_qwygcrvpgf,FMN canvas + new prints,ONE_TIME,COMPLETED,1710860400000.0,165.0,100.0,62.0,5.0,6.0,9586.0,0.0,0.0
bmc_ux6rcxbtr7,Untitled campaign,ONE_TIME,COMPLETED,1708636624000.0,1.0,1.0,1.0,0.0,1.0,685.0,0.0,0.0
bmc_h29fy6xam9,10% for stores who haven't ordered,ONE_TIME,COMPLETED,1707580800000.0,28.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0
bmc_h47fbadeat,Top Selling Prints of 2023,ONE_TIME,COMPLETED,1708012800000.0,271.0,182.0,113.0,8.0,13.0,13091.0,4.0,2538.0
bmc_69jhpu9gd3,Faire Winter market 24,ONE_TIME,COMPLETED,1706112000000.0,328.0,200.0,105.0,2.0,13.0,25734.0,7.0,16230.0
bmc_g73ge5wuq3,last call canvases,ONE_TIME,COMPLETED,1700236800000.0,24.0,15.0,6.0,0.0,1.0,715.0,0.0,0.0
bmc_thqnxrc6a4,Holiday 2023 collection,ONE_TIME,COMPLETED,1699372800000.0,153.0,101.0,67.0,0.0,7.0,7358.0,0.0,0.0
bmc_8r3y7rt6xw,New stickers,ONE_TIME,COMPLETED,1697554800000.0,308.0,237.0,119.0,0.0,3.0,1209.0,0.0,0.0
bmc_embtf923xj,The latest collection email,ONE_TIME,COMPLETED,1695654000000.0,253.0,193.0,106.0,2.0,1.0,70.0,0.0,0.0
bmc_nm597gnqeh,Customers who have not ordered yet/on Faire,ONE_TIME,COMPLETED,1693062000000.0,24.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0
bmc_2rbm88pbxp,Untitled campaign 1,ONE_TIME,COMPLETED,1691780636000.0,147.0,114.0,66.0,0.0,1.0,1500.0,0.0,0.0
bmc_c4cwqqe533,last chance- Sing me back home,ONE_TIME,COMPLETED,1691074800000.0,147.0,114.0,63.0,1.0,4.0,1595.0,0.0,0.0
bmc_jmj2g7vs26,Ships Today - Originals + Canvases,ONE_TIME,COMPLETED,1689865200000.0,295.0,216.0,109.0,1.0,9.0,24445.0,0.0,0.0
bmc_sm8tnx5aat,The Fishing Collection,ONE_TIME,COMPLETED,1687878000000.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
bmc_tp7quuqqeb,Canvas Collection,ONE_TIME,COMPLETED,1686668400000.0,263.0,216.0,94.0,3.0,4.0,3300.0,0.0,0.0
bmc_w93btgt9n2,Original Artwork,ONE_TIME,COMPLETED,1687359600000.0,143.0,111.0,66.0,0.0,7.0,10748.0,0.0,0.0
bmc_vx7j4e989c,Untitled campaign 4,ONE_TIME,COMPLETED,1685804400000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
bmc_c6f2shm35g,Untitled campaign 3,ONE_TIME,COMPLETED,1684515827000.0,73.0,63.0,25.0,0.0,0.0,0.0,0.0,0.0
bmc_qjwyddb5hg,Potential clients with items in Cart,ONE_TIME,COMPLETED,1684508400000.0,8.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0
bmc_ea72knzadf,Father's Day,ONE_TIME,COMPLETED,1684249200000.0,223.0,179.0,78.0,3.0,3.0,1235.0,0.0,0.0
bmc_59wtxmuya7,Campaign 22-08-24,ONE_TIME,DRAFT,,,,,,,,,
bmc_ka3w9dpb9r,Invite your International Retailers - 200 €/£ Off Promo,ONE_TIME,DRAFT,,,,,,,,,
bmc_c8f1w4ykkl,Net90 Terms,ONE_TIME,DRAFT,,,,,,,,,
bmc_db13wf56r5,COVID-19 Relief Resources for Local Retailers,ONE_TIME,DRAFT,,,,,,,,,
