product_token,name,category,sales_count,order_count,visit_count,date
p_10cp2zlqzv,QUILTED WRANGLER COWGIRL - cowgirl wall art,Art Prints,0,0,8,2023-01-01 00:00:00
p_11b7xfvo,THE NATURALIST - woman with binoculars collage print,Art Prints,4,2,6,2023-01-01 00:00:00
p_152b77is1d,VAQUERA SUDOESTE (ROOSTER) - Southwestern home decor,Art Prints,2,2,0,2023-01-01 00:00:00
p_157nnmuc,"REST NOT, WESTERN HERALD - buffalo wall art",Art Prints,0,0,10,2023-01-01 00:00:00
p_16xib5b2,NIGHT SCOUT - wrangler art,Art Prints,3,3,22,2023-01-01 00:00:00
p_187pc497mr,SAGUARO COWBOY - wrangler art print,Art Prints,3,2,5,2023-01-01 00:00:00
p_1hv93zjz,TORCH BEARER - contemporary Native American art,Art Prints,6,4,8,2023-01-01 00:00:00
p_1twd3rvk,FATHER NATURE - chief art print,Art Prints,6,3,2,2023-01-01 00:00:00
p_1vk3nui7,ROSE AND THORN - sugar skull art print,Art Prints,0,0,3,2023-01-01 00:00:00
p_1zxfmhrogq,BUTTERFLY RANGER - park ranger print,Art Prints,5,3,9,2023-01-01 00:00:00
p_26dk8qf766,CANVAS - MIDNIGHT FOREST BOBCAT - mountain cabin wall art,Canvas Art,0,0,0,2023-01-01 00:00:00
p_28v272mq,SANTA CLAUS (2018) - western Santa Christmas art,Art Prints,0,0,0,2023-01-01 00:00:00
p_294pqqp6ef,VAQUERA (LUCKY HORSESHOES) - cowgirl print in pink,Art Prints,2,2,1,2023-01-01 00:00:00
p_2eyv8ppq,TURNING POINT - Native American Indian print,Art Prints,2,2,8,2023-01-01 00:00:00
p_2jut3vq7hy,CANVAS - REST NOT WESTERN HERALD - buffalo artwork,Canvas Art,0,0,0,2023-01-01 00:00:00
p_2kgkv6mw,COWGIRL (BANDANA) western vintage cowgirl art print,Art Prints,1,1,6,2023-01-01 00:00:00
p_2kj6vttdq3,COWBOY BOOT bench ,Bench,0,0,0,2023-01-01 00:00:00
p_2lu1a1db,CHIEF (CONSTELLATION) Native American Chief wall art,Art Prints,1,1,4,2023-01-01 00:00:00
p_2tg4e4qfp6,CANVAS - SNAKE RIVER GUIDE - vintage cowboy art,Canvas Art,0,0,0,2023-01-01 00:00:00
p_2tpu6dw2,SEÑORITA (HUMMINGBIRD) - Mexican wall art,Art Prints,1,1,11,2023-01-01 00:00:00
p_2yop8pdxf4,LAND OF THE KIT FOX - southwest cactus art print,Art Prints,4,4,16,2023-01-01 00:00:00
p_2yq9d3ckms,BURRO COUNTRY - sticker ,Sticker,0,0,0,2023-01-01 00:00:00
p_32urpp7esv,CANVAS - VAQUERA SUDOESTE (LUCKY HORSESHOES) - cowgirl art,Canvas Art,0,0,0,2023-01-01 00:00:00
p_33ofwho7,VIGIL (VIOLET) - religious iconography wall art print,Art Prints,1,1,5,2023-01-01 00:00:00
p_34ollar5,"INDIGO MORNING, I - roadrunner art print",Art Prints,4,3,3,2023-01-01 00:00:00
p_37gb2un8qg,CANVAS - ALWAYS EVERYTHING  - Native American wall art,Canvas Art,0,0,0,2023-01-01 00:00:00
p_390xb9bdoo,ADELITA (HORSES) - southwestern cowgirl art print,Art Prints,2,2,3,2023-01-01 00:00:00
p_3dm22zgc7f,INDIGO MOUNTAIN - bison art print,Art Prints,2,2,8,2023-01-01 00:00:00
p_3jh7udrb,WISDOM AND COURAGE (CHIEF) - Native American art print,Art Prints,2,1,5,2023-01-01 00:00:00
