collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Christmas Items,1702050125000,1702050126000,58,0,0,0,OppoSuits - US
Mens' Tuxedo bundle,1664471514000,1702050126000,4,0,0,0,OppoSuits - US
Solid Color Teens collection,1664471131000,1702050126000,5,0,0,0,OppoSuits - US
OppoSuits - Long Sleeve Solid Color Shirts,1664470861000,1702050126000,11,0,0,0,OppoSuits - US
OppoSuits - Solid Color Suits ,1664470861000,1702050126000,14,0,0,0,OppoSuits - US
Socks,1675354260000,1700229336000,18,0,0,0,Pycnic
Button-Ups,1675354019000,1700238706000,14,0,0,0,Pycnic
Taco Gifts,1664469193000,1700229494000,24,0,0,0,Pycnic
Coffee Gifts,1664469193000,1707315109000,23,0,0,0,Pycnic
BEST SELLERS,1704751910000,1704751910000,20,0,0,0,WEIV
KNIT SWEATERS,1701388373000,1705967557000,43,0,0,0,WEIV
Outerwear,1700674839000,1704751910000,50,0,0,0,WEIV
Woodridge Flannel Co (Men + Womens),1694805253000,1705967292000,34,0,0,0,WEIV
Flannels,1692131657000,1704751910000,80,0,0,0,WEIV
Funny Hats,1707329436000,1707329436000,25,0,0,0,Crazy Dog T-Shirts
Saint Patricks Day T shirts Collection,1707321593000,1707836826000,59,0,0,0,Crazy Dog T-Shirts
Leggings,1706723547000,1707329436000,23,0,0,0,Crazy Dog T-Shirts
420 Collection,1673984298000,1707329436000,10,0,0,0,Crazy Dog T-Shirts
Valentine's Day Collection,1673983481000,1707329436000,16,0,0,0,Crazy Dog T-Shirts
