tokens,publish_at_values,created_at_values,titles,ratings,brand
br_8kg3cdn8eq,1706558400000,1706220648000,"Shipped my original or to the wrong address and then promised expedited shipping on the replacement in order to get it by Christmas, which did not happen. ",1,OppoSuits - US
br_9ctb7cm76q,1692903600000,1692720959000,Great Quality & Themes,5,OppoSuits - US
br_2gu8h7gmuc,1683140400000,1682912204000,These suits are nice but run really small ,2,OppoSuits - US
br_phkjxq3j8b,1681498800000,1681260557000,excellent ,5,OppoSuits - US
br_phqh32648w,1674244800000,1674071351000,great,5,OppoSuits - US
br_8u28fd5dk8,1674244800000,1674071299000,great ,5,OppoSuits - US
br_xunhsnk284,1673380800000,1673054607000,I love this Vendor ,5,OppoSuits - US
br_r73t5ynwsb,1670961600000,1670704543000,Amazing Quality! ,5,OppoSuits - US
br_b4kvyyq7xj,1670356800000,1670053239000,Didn't fit me properly,3,OppoSuits - US
br_3w4u9nfjt7,1667415600000,1667215552000,great product,5,OppoSuits - US
br_yvhafkcgxc,1667329200000,1666953095000,THIS Order was Amazing!!!!!!!!!!!!!!  Your Quality is OUT of this WORLD!!! Starting a Boutique has its challenges and you made my life so much easier. Thank you So Much Im Probably going to buy 6 of Everything my next order.,5,OppoSuits - US
br_69n3vfquex,1665169200000,1664995891000,Great ,5,OppoSuits - US
br_5yz7dhaxn2,1653418800000,1653078348000,Absolutely satisfied with these outfits!,5,OppoSuits - US
br_xtexz6w7ny,1653418800000,1653061570000,Love these suits. ,5,OppoSuits - US
br_tfhza34pz5,1651604400000,1651363491000,My customers love the style and the quality of this product,5,OppoSuits - US
br_bucemjy595,1651172400000,1650990508000,Awesome and unique,5,OppoSuits - US
br_pqbh77rf8u,1651172400000,1650988185000,"It's great value, received the outfits in a timely manner and overall good quality suits. ",5,OppoSuits - US
br_7kamt4ucjw,1647975600000,1647616808000,Love this company,5,OppoSuits - US
br_6srk6txanq,1647630000000,1647452872000,Unique!!! and fun!!,5,OppoSuits - US
br_kuw6n5nq5c,1634756400000,1634576279000,Fun look for the Hollidays!,5,OppoSuits - US
br_wde379nwaw,1634583600000,1634213988000,All items are sized wrong,1,OppoSuits - US
br_ytccz9v4ru,1706644800000,1706229440000,Always a pleasure!,5,Pycnic
br_rvyxz7dtme,1705521600000,1705285172000,"I am so excited for these products. I know I will be ordering regularly from you guys. The shirts are great quality, unique, fun and overall amazing products.",5,Pycnic
br_jxzpwnmhnw,1703275200000,1703096363000,Great quality and fast fulfillment!,5,Pycnic
br_vwxnkuqsfu,1700251200000,1700012094000,These are so great! Customers really loved them,5,Pycnic
