tokens,publish_at_values,created_at_values,titles,ratings,brand
br_jp88dya858,1716318000000,1716145098000,I am happy with the product,5,My Balance
br_m4w98cwkyr,1706644800000,1706371073000,Excellent products ,5,My Balance
br_688ntgt7u5,1706040000000,1705689638000,Love this company ,5,My Balance
br_77mgbskrvq,1700683200000,1700508568000,Love their products,5,My Balance
br_3f3fv4z2dy,1700251200000,1700068373000,Love their products,5,My Balance
br_k92fnz3bcv,1692730800000,1692360539000,I am so excited to put these supplements in my shop! ,5,My Balance
br_yrbt5thxcy,1688756400000,1688583320000,Fast shipping and great product.,5,My Balance
br_96pf474j4m,1714417200000,1714077907000,Love their zinc!,5,Future Kind
br_asdd2c3jvz,1696446000000,1696258273000,Very Nice company,5,Future Kind
br_esa2pezaqj,1718996400000,1718746184000,Love Love Love!,5,Food Over Drugs
br_ewkzf9pa6b,1715886000000,1715679708000,good,5,Food Over Drugs
br_e266hdwmc9,1715367600000,1715149730000,LOVE!,5,Food Over Drugs
br_hwvwc6c7qv,1714503600000,1714342728000,Love!,5,Food Over Drugs
br_7vkq7jg9aw,1713898800000,1713686387000,Amazing !! Cute packaging but really great products ..,5,Food Over Drugs
br_759ntrkvhw,1713380400000,1713144797000,Wonderful communication and support ,5,Food Over Drugs
br_atquc2bwzb,1713294000000,1712967487000,Amazing Quality!,5,Food Over Drugs
br_tt8nz4anvv,1713294000000,1712885633000,Great high quality supplements with a purpose ,5,Food Over Drugs
br_83jwa3cr7z,1713294000000,1712885598000,so happy to have these products!,5,Food Over Drugs
br_yr3vhzhc7e,1701460800000,1701275095000,Wonderful clean products! Our clients love them as much as we do! ,5,Food Over Drugs
br_h2bh56gr3a,1712948400000,1712773986000,enjoying the product.,5,Nutra Moment
br_8uv7harmva,1700078400000,1699880498000,quick shipping and product exactly as described ,5,Nutra Moment
br_e2uq4jqyrh,1694545200000,1694359777000,Great product ,5,Nutra Moment
br_uka332cbkg,1692039600000,1691683891000,"Perfect as always, thank you!",5,Nutra Moment
br_5b495wythz,1687287600000,1687031202000,Thanks ,5,Nutra Moment
br_bhyg73gvsq,1684782000000,1684450756000,very good quality. ,5,Nutra Moment
br_4wnvfa9eka,1681758000000,1681414344000,Thank you for quick delivery!,5,Nutra Moment
br_ws5c4jvfwq,1671566400000,1671296450000,Perfect transaction,5,Nutra Moment
br_tw7wmx687a,1668110400000,1667874387000,Reasonable supplements ,5,Nutra Moment
br_3p69tjy85y,1665514800000,1665070707000,Thank you!,5,Nutra Moment
br_6yrzajdk9e,1663009200000,1662653943000,Arrived quickly.,5,Nutra Moment
br_3gdmb5e2aq,1662577200000,1662394342000,excited to see results from the product. Very easy to understand what each item does.,5,Nutra Moment
br_gdtdpxywfq,1660762800000,1660589974000,Amazing quality! We love these for our customers! ,5,Deva Nutrition
br_xeu5da7cwd,1657220400000,1657029057000,Amazing quality! We love these for our customers! ,5,Deva Nutrition
