token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_zqh5uxc3ct,o_eyj8dexuqx,p_tb3kkkk6u2,bo_42pqh4przm,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,10,11000,11000,0,#42PQH4PRZM,
oi_wkudgjaxu8,o_9y8dhjsstm,p_w5dkxer98j,bo_3rtcn9ywe3,Vegan Turmeric With Black Pepper Inflammation Supplement,default,1999,1000,1000,10,10000,10000,0,#3RTCN9YWE3,
oi_ywdvgzz5v6,o_dc5k5d5daj,p_ehzvf4p3mp,bo_x3weaus3qp,Vegan Lion's Mane Mushroom Complex Brain Supplement,default,1999,1000,1000,10,10000,10000,0,#X3WEAUS3QP,
oi_cb9exe6be6,o_dc5k5d5daj,p_x4y8568m3x,bo_x3weaus3qp,Vegan Vitamin D3 Supplement,default,1999,1000,1000,10,10000,10000,0,#X3WEAUS3QP,
oi_3yu2azsayu,o_pdewv2ymfr,p_7vu6edczr3,bo_qpnxdax6wq,Vegan Collagen Booster Biotin Gummies,default,1999,1150,1150,8,9200,9200,0,#QPNXDAX6WQ,
oi_h9xdc8w5rk,o_pdewv2ymfr,p_5j2zst5gtf,bo_qpnxdax6wq,Vegan Probiotics Digestion Supplement (30 Billion CFUs),default,2999,1690,1690,10,16900,16900,0,#QPNXDAX6WQ,
oi_vxa3nefdfn,o_pdewv2ymfr,p_tb3kkkk6u2,bo_qpnxdax6wq,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,9,9900,9900,0,#QPNXDAX6WQ,
oi_hssw3afkx9,o_pdewv2ymfr,p_7vu6edczr3,bo_qpnxdax6wq,Vegan Collagen Booster Biotin Gummies,default,1999,1150,1150,2,2300,2300,0,#QPNXDAX6WQ,
oi_3g22t74pjr,o_pdewv2ymfr,p_tb3kkkk6u2,bo_qpnxdax6wq,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,1,1100,1100,0,#QPNXDAX6WQ,
oi_nhhrddzwt9,o_s53nfnp5hj,p_v2t456k9a9,bo_w22dxdcsxh,Vegan Melatonin Sleep Gummies,default,1999,1150,1150,10,11500,11500,0,#W22DXDCSXH,
oi_fbrsk4jnaz,o_s53nfnp5hj,p_d4ufqm7mgy,bo_w22dxdcsxh,Vegan Probiotic Gummies: Gas & Bloating Relief,default,2499,1450,1450,10,14500,14500,0,#W22DXDCSXH,
oi_t6z35rjz9e,o_f5cczywfrc,p_7vu6edczr3,bo_yw5fxq78jn,Vegan Collagen Booster Biotin Gummies,default,1999,1150,1150,10,11500,11500,0,#YW5FXQ78JN,
oi_pvxsdaetmd,o_f5cczywfrc,p_7vu6edczr3,bo_yw5fxq78jn,Vegan Collagen Booster Biotin Gummies,default,1999,800,800,1,800,800,0,#YW5FXQ78JN,
oi_qfj3wync5c,o_e7cusx4g8z,p_me38wrfk7y,bo_7vs8ufthbk,Vegan Complete Multivitamin (Vitamins + Probiotic + Enzymes),default,2999,1780,1780,10,17800,17800,0,#7VS8UFTHBK,
oi_x8vrn7tvx8,o_e7cusx4g8z,p_5j2zst5gtf,bo_7vs8ufthbk,Vegan Probiotics Digestion Supplement (30 Billion CFUs),default,2999,1690,1690,10,16900,16900,0,#7VS8UFTHBK,
oi_27hrp2r3rc,o_e7cusx4g8z,p_tb3kkkk6u2,bo_7vs8ufthbk,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,10,11000,11000,0,#7VS8UFTHBK,
oi_sr3dd4pq2m,o_e7cusx4g8z,p_j44nnvspmz,bo_7vs8ufthbk,Vegan Zinc Supplement,default,1499,800,800,10,8000,8000,0,#7VS8UFTHBK,
oi_6rxpa2s9af,o_n74m78aggf,p_me38wrfk7y,bo_jj487ym3gg,Vegan Complete Multivitamin (Vitamins + Probiotic + Enzymes),default,2999,1780,1780,10,17800,17800,0,#JJ487YM3GG,
oi_w2qhwaszp4,o_za3j7r5hpw,p_j44nnvspmz,bo_fturvpq796,Vegan Zinc Supplement,default,1499,800,800,10,8000,8000,0,#FTURVPQ796,
oi_v6adhc53fh,o_za3j7r5hpw,p_x8hqr89832,bo_fturvpq796,Vegan B12 Methylcobalamin Chewable Supplement,default,1499,800,800,10,8000,8000,0,#FTURVPQ796,
oi_5uc234kah7,o_umunfegzgw,p_9scqvsbztm,bo_s94q24ffhn,Super Plant Complex: Stress & Energy Support Supplement,default,2499,1250,1250,10,12500,12500,0,#S94Q24FFHN,
oi_kcz9jxjjtu,o_umunfegzgw,p_sk7fv5tcu9,bo_s94q24ffhn,Vegan Collagen Booster Supplement,default,2999,1450,1450,10,14500,14500,0,#S94Q24FFHN,
oi_ztawxubhze,o_umunfegzgw,p_ytaaf3hqwq,bo_s94q24ffhn,"Essential Vegan Multivitamin B12, Omega 3 & D3",default,2995,1780,1780,10,17800,17800,0,#S94Q24FFHN,
oi_t6zhpgt62w,o_dsh99v6agh,p_sk7fv5tcu9,bo_eg2suw2eyp,Vegan Collagen Booster Supplement,default,2999,1450,1450,10,14500,14500,0,#EG2SUW2EYP,
oi_p34v46t24e,o_dsh99v6agh,p_me38wrfk7y,bo_eg2suw2eyp,Vegan Complete Multivitamin (Vitamins + Probiotic + Enzymes),default,2999,1780,1780,10,17800,17800,0,#EG2SUW2EYP,
oi_3ptnjmb5ka,o_3ywk5jpv5n,p_ytaaf3hqwq,bo_9rsdn352bu,"Essential Vegan Multivitamin B12, Omega 3 & D3",default,2995,1780,1780,10,17800,17800,0,#9RSDN352BU,
oi_ketyq7jfjr,o_wcmpv2nnjx,p_j44nnvspmz,bo_4rcjv974hv,Vegan Zinc Supplement,default,1499,800,800,20,16000,16000,0,#4RCJV974HV,
oi_kspr3fvqn7,o_p7sz5fnmv2,p_qy5h2twpma,bo_6yqgkx7276,Vegan Turmeric & Ginger Happy Joints Gummies,default,2499,1420,1420,10,14200,14200,0,#6YQGKX7276,
oi_4dzvawa4xw,o_p7sz5fnmv2,p_34xr9r65y4,bo_6yqgkx7276,Organic Vegan Elderberry Vitamin C & Zinc Immunity Gummies,default,2499,1420,1420,10,14200,14200,0,#6YQGKX7276,
oi_bhhf8n5tdy,o_p7sz5fnmv2,p_npjrhx6mut,bo_6yqgkx7276,Vegan Prenatal Vitamin (With Iron & Folate),default,2999,1685,1685,10,16850,16850,0,#6YQGKX7276,
oi_tv555646xb,o_p7sz5fnmv2,p_me38wrfk7y,bo_6yqgkx7276,Vegan Complete Multivitamin (Vitamins + Probiotic + Enzymes),default,2999,1780,1780,10,17800,17800,0,#6YQGKX7276,
oi_zcvbdn5wfv,o_p7sz5fnmv2,p_ytaaf3hqwq,bo_6yqgkx7276,"Essential Vegan Multivitamin B12, Omega 3 & D3",default,2995,1780,1780,10,17800,17800,0,#6YQGKX7276,
oi_qbx3pm8h74,o_uahugfjq2s,p_k5zgx34b4t,bo_qgnhevqr28,Vegan Iron Supplement with Natural Vitamin C,default,1999,1100,1100,10,11000,11000,0,#QGNHEVQR28,
oi_rnxx6duw8b,o_8cfb78shyg,p_sk7fv5tcu9,bo_dusmrtjjqz,Vegan Collagen Booster Supplement,default,2999,1450,1450,10,14500,14500,0,#DUSMRTJJQZ,
oi_f4x4xfnxtu,o_8cfb78shyg,p_5j2zst5gtf,bo_dusmrtjjqz,Vegan Probiotics Digestion Supplement (30 Billion CFUs),default,2999,1690,1690,10,16900,16900,0,#DUSMRTJJQZ,
oi_45qqub7c5e,o_ketchmfcqq,p_sk7fv5tcu9,bo_n7m45a7bmu,Vegan Collagen Booster Supplement,default,4083,1974,1974,10,19740,19740,0,#N7M45A7BMU,
oi_8kzbdyv8ws,o_ketchmfcqq,p_suwrc5qxbb,bo_n7m45a7bmu,Vegan Omega 3 Supplement - 500mg DHA + EPA Algal Oil (2 Months Supply),default,4083,2423,2423,10,24230,24230,0,#N7M45A7BMU,
oi_8eyhw6ba75,o_ketchmfcqq,p_tb3kkkk6u2,bo_n7m45a7bmu,Vegan Chelated Magnesium Supplement,default,2988,1498,1498,10,14980,14980,0,#N7M45A7BMU,
oi_p9g36whrfz,o_q3rpm4jtaa,p_d4ufqm7mgy,bo_ctxcqe4rmt,Vegan Probiotic Gummies: Gas & Bloating Relief,default,2499,1450,1450,10,14500,14500,0,#CTXCQE4RMT,
oi_8bvdub23tu,o_q3rpm4jtaa,p_7vu6edczr3,bo_ctxcqe4rmt,Vegan Collagen Booster Biotin Gummies,default,1999,1150,1150,10,11500,11500,0,#CTXCQE4RMT,
oi_8nsta4bj8m,o_gfrs289ps5,p_ehzvf4p3mp,bo_djv9mcgmq7,Vegan Lion's Mane Mushroom Complex Brain Supplement,default,1999,1000,1000,10,10000,10000,0,#DJV9MCGMQ7,
oi_vjz4js36xk,o_gfrs289ps5,p_bk334xm6re,bo_djv9mcgmq7,Vegan Iodine Supplement - Liquid Drops (2 Month Supply),default,2495,1480,1480,10,14800,14800,0,#DJV9MCGMQ7,
oi_8axapfn2qq,o_gfrs289ps5,p_npjrhx6mut,bo_djv9mcgmq7,Vegan Prenatal Vitamin (With Iron & Folate),default,2999,1685,1685,10,16850,16850,0,#DJV9MCGMQ7,
oi_rbyvyb6298,o_gfrs289ps5,p_5j2zst5gtf,bo_djv9mcgmq7,Vegan Probiotics Digestion Supplement (30 Billion CFUs),default,2999,1690,1690,10,16900,16900,0,#DJV9MCGMQ7,
oi_zeup2mdnxm,o_gfrs289ps5,p_9scqvsbztm,bo_djv9mcgmq7,Super Plant Complex: Stress & Energy Support Supplement,default,2499,1250,1250,10,12500,12500,0,#DJV9MCGMQ7,
oi_4atd5tn6hb,o_gfrs289ps5,p_sk7fv5tcu9,bo_djv9mcgmq7,Vegan Collagen Booster Supplement,default,2999,1450,1450,10,14500,14500,0,#DJV9MCGMQ7,
oi_xtqk3sgtwp,o_gfrs289ps5,p_k5zgx34b4t,bo_djv9mcgmq7,Vegan Iron Supplement with Natural Vitamin C,default,1999,1100,1100,10,11000,11000,0,#DJV9MCGMQ7,
oi_555aekhrqb,o_sbmjmj4mvv,p_ytaaf3hqwq,bo_jfwumzx6ku,"Essential Vegan Multivitamin B12, Omega 3 & D3",default,2995,1780,1780,10,17800,17800,0,#JFWUMZX6KU,
oi_dcxpe98ncg,o_g98tm2p8bp,p_eyb8wyn56w,bo_pqdydxjbv9,Vegan Calcium Supplement,default,2499,1100,1100,10,11000,11000,0,#PQDYDXJBV9,
oi_pt4pgbupxd,o_443djtx395,p_bk334xm6re,bo_vsgcgrv5nj,Vegan Iodine Supplement - Liquid Drops (2 Month Supply),default,2495,1480,1480,10,14800,14800,0,#VSGCGRV5NJ,
oi_bvdf9r3bcq,o_p7mqm7nn9u,p_j44nnvspmz,bo_mufkn8d3vd,Vegan Zinc Supplement,default,1499,800,800,20,16000,16000,0,#MUFKN8D3VD,
oi_7a5umparav,o_dq8fcbfgrb,p_eyb8wyn56w,bo_j8nubnhe92,Vegan Calcium Supplement,default,2499,1100,1100,3,3300,3300,0,#J8NUBNHE92,
oi_8nrtte7g6y,o_dq8fcbfgrb,p_j44nnvspmz,bo_j8nubnhe92,Vegan Zinc Supplement,default,1499,800,800,3,2400,2400,0,#J8NUBNHE92,
oi_8tbtqycjz4,o_dq8fcbfgrb,p_k5zgx34b4t,bo_j8nubnhe92,Vegan Iron Supplement with Natural Vitamin C,default,1999,1100,1100,3,3300,3300,0,#J8NUBNHE92,
oi_2w7wysf888,o_dq8fcbfgrb,p_eyb8wyn56w,bo_j8nubnhe92,Vegan Calcium Supplement,default,2499,1100,1100,7,7700,7700,0,#J8NUBNHE92,
oi_d5n2ac9rjk,o_dq8fcbfgrb,p_k5zgx34b4t,bo_j8nubnhe92,Vegan Iron Supplement with Natural Vitamin C,default,1999,1100,1100,7,7700,7700,0,#J8NUBNHE92,
oi_wbdv6zyg7j,o_dq8fcbfgrb,p_j44nnvspmz,bo_j8nubnhe92,Vegan Zinc Supplement,default,1499,800,800,7,5600,5600,0,#J8NUBNHE92,
oi_m56zfafth7,o_5p6ch89krb,p_ehzvf4p3mp,bo_3cmadwubnv,Vegan Lion's Mane Mushroom Complex Brain Supplement,default,1999,1000,1000,10,10000,10000,0,#3CMADWUBNV,
oi_38swb288dm,o_5p6ch89krb,p_tb3kkkk6u2,bo_3cmadwubnv,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,10,11000,11000,0,#3CMADWUBNV,
oi_tx25pyqy6s,o_wfg8wybw64,p_9scqvsbztm,bo_f2txyacjrt,Super Plant Complex: Stress & Energy Support Supplement,default,2499,1250,1250,10,12500,12500,0,#F2TXYACJRT,
oi_uuvjucwsra,o_wfg8wybw64,p_x4y8568m3x,bo_f2txyacjrt,Vegan Vitamin D3 Supplement,default,1999,1000,1000,20,20000,20000,0,#F2TXYACJRT,
oi_jkqm4xhys5,o_wfg8wybw64,p_tb3kkkk6u2,bo_f2txyacjrt,Vegan Chelated Magnesium Supplement,default,2195,1100,1100,20,22000,22000,0,#F2TXYACJRT,
oi_pppa6zyjx6,o_wfg8wybw64,p_x8hqr89832,bo_f2txyacjrt,Vegan B12 Methylcobalamin Chewable Supplement,default,1499,800,800,20,16000,16000,0,#F2TXYACJRT,
oi_qw8skzh6q6,o_sdb3g5mjz3,p_sk7fv5tcu9,bo_xrh7cjm6yw,Vegan Collagen Booster Supplement,default,2999,1450,1450,10,14500,14500,0,#XRH7CJM6YW,
oi_rgsn22326a,o_sdb3g5mjz3,p_7vu6edczr3,bo_xrh7cjm6yw,Vegan Collagen Booster Biotin Gummies,default,1999,1150,1150,10,11500,11500,0,#XRH7CJM6YW,
oi_bt9ksz5sfh,o_sdb3g5mjz3,p_me38wrfk7y,bo_xrh7cjm6yw,Vegan Complete Multivitamin (Vitamins + Probiotic + Enzymes),default,2999,1780,1780,10,17800,17800,0,#XRH7CJM6YW,
oi_q39pbjqvxn,o_w6sjxuk27b,p_x4y8568m3x,bo_tvvdebw2k6,Vegan Vitamin D3 Supplement,default,1999,1000,1000,10,10000,10000,0,#TVVDEBW2K6,
