collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
Mother's Day Gifts,1711492058000.0,1711921526000.0,40.0,0.0,0.0,0.0,42POPS
Denim Shorts,1664472693000.0,1711492336000.0,9.0,0.0,0.0,0.0,42POPS
Happy Easter Collection,1707763898000.0,1712094866000.0,49.0,0.0,0.0,0.0,42POPS
Premium Washed Seamless Collection,1664472693000.0,1711492336000.0,48.0,0.0,0.0,0.0,42POPS
Tumblers 30 oz 40 oz,1701887339000.0,1711609944000.0,32.0,0.0,0.0,0.0,42POPS
Fashion Socks,1703207455000.0,1712094732000.0,40.0,0.0,0.0,0.0,42POPS
Western Style Hats and more,1675873986000.0,1711492336000.0,13.0,0.0,0.0,0.0,42POPS
Crossbody Bags & more,1683141317000.0,1711492336000.0,6.0,0.0,0.0,0.0,42POPS
Hair Claw Hair Clip Collection,1671735596000.0,1711917983000.0,17.0,0.0,0.0,0.0,42POPS
42POPS Editor's Pick,1691882177000.0,1711492336000.0,72.0,0.0,0.0,0.0,42POPS
Everyday Leggings,1669796597000.0,1711492336000.0,5.0,0.0,0.0,0.0,42POPS
Shackets and more,1692712942000.0,1711492336000.0,22.0,0.0,0.0,0.0,42POPS
Mineral Wash Collection,1695082061000.0,1711492336000.0,26.0,0.0,0.0,0.0,42POPS
Lounge Set,1709664185000.0,1711492336000.0,21.0,0.0,0.0,0.0,42POPS
St. Patrick's Day Collection,1707515707000.0,1711947608000.0,38.0,0.0,0.0,0.0,42POPS
Game Day,1692394010000.0,1709664503000.0,22.0,0.0,0.0,0.0,42POPS
Graphic tee & Denim,1684276134000.0,1709664503000.0,27.0,0.0,0.0,0.0,42POPS
42POPS signature two-pocket dress,1664474225000.0,1712169148000.0,27.0,0.0,0.0,0.0,42POPS
Track shorts & Crop tops,1664474022000.0,1709664503000.0,23.0,0.0,0.0,0.0,42POPS
Embroidered Throw Pillow Covers,1673542763000.0,1709664503000.0,2.0,0.0,0.0,0.0,42POPS
The Lotion Collection,1671210035000.0,1671210035000.0,3.0,0.0,0.0,0.0,Dr. Natural
Black Soap Bundle,1671209270000.0,1671209270000.0,2.0,0.0,0.0,0.0,Dr. Natural
The Classic Bundle ,1664469742000.0,1671209107000.0,2.0,0.0,0.0,0.0,Dr. Natural
The Best Seller Bundle ,1664469742000.0,1671209082000.0,2.0,0.0,0.0,0.0,Dr. Natural
Shower Steamer Pack,1705431785000.0,1705431881000.0,2.0,0.0,0.0,0.0,Hive
TOP COORDINATING STYLES,1706732658000.0,1711749609000.0,38.0,0.0,0.0,0.0,OMG Accessories
RESORT VACATION,1694108800000.0,1712006815000.0,33.0,0.0,0.0,0.0,OMG Accessories
NEW POUCHES & COSMETIC BAGS,1691851451000.0,1712006784000.0,57.0,0.0,0.0,0.0,OMG Accessories
NEW DUFFLE BAGS,1691852267000.0,1712006815000.0,29.0,0.0,0.0,0.0,OMG Accessories
BEST SELLERS,1704749956000.0,1711992884000.0,47.0,0.0,0.0,0.0,OMG Accessories
NEW MINI BAGS,1694107018000.0,1712001609000.0,52.0,0.0,0.0,0.0,OMG Accessories
50% OFF SALE,1707258967000.0,1711991833000.0,11.0,1.0,5000.0,1707714000000.0,OMG Accessories
25% OFF SPRING SALE,1694105838000.0,1711991833000.0,17.0,1.0,2500.0,1710388800000.0,OMG Accessories
MINI BACKPACKS,1694093296000.0,1711992302000.0,32.0,0.0,0.0,0.0,OMG Accessories
HAIRBRUSHES,1700233955000.0,1711991817000.0,7.0,0.0,0.0,0.0,OMG Accessories
FANNY PACKS,1698779599000.0,1711991817000.0,5.0,0.0,0.0,0.0,OMG Accessories
TRENDING,1712080601000.0,1712167917000.0,28.0,0.0,0.0,0.0,Love and Repeat
BOW TREND,1709350920000.0,1712164568000.0,54.0,0.0,0.0,0.0,Love and Repeat
LOVE AND REPEAT EXCLUSIVE,1704233130000.0,1712098811000.0,23.0,0.0,0.0,0.0,Love and Repeat
Hair Claw Lover,1683156197000.0,1712090962000.0,61.0,0.0,0.0,0.0,Love and Repeat
Top Sellers All Year Long👍,1698944514000.0,1712080601000.0,52.0,0.0,0.0,0.0,Love and Repeat
Kid's Favorite,1684885019000.0,1712080601000.0,63.0,0.0,0.0,0.0,Love and Repeat
Brush for Kids,1710384688000.0,1710384688000.0,2.0,0.0,0.0,0.0,Glimmer Wish
Kids Body Wash,1710384408000.0,1710384688000.0,2.0,0.0,0.0,0.0,Glimmer Wish
Gifts for Kids,1710384259000.0,1710384688000.0,5.0,0.0,0.0,0.0,Glimmer Wish
Kid Shampoo,1710383897000.0,1710384688000.0,2.0,0.0,0.0,0.0,Glimmer Wish
Mermaid Travel Ready Gift Set,1710382051000.0,1710384688000.0,5.0,0.0,0.0,0.0,Glimmer Wish
Unicorn Travel Ready Gift Set,1710381912000.0,1710384688000.0,5.0,0.0,0.0,0.0,Glimmer Wish
Supreme Unicorn Haircare Gift Set,1710381828000.0,1710384688000.0,4.0,0.0,0.0,0.0,Glimmer Wish
Supreme Mermaid Haircare Gift Set,1710381761000.0,1710384688000.0,4.0,0.0,0.0,0.0,Glimmer Wish
Unicorn Collection,1690944463000.0,1710384688000.0,13.0,0.0,0.0,0.0,Glimmer Wish
Mermaid Collection,1688077725000.0,1710384688000.0,7.0,0.0,0.0,0.0,Glimmer Wish
