tokens,publish_at_values,created_at_values,titles,ratings,brand
br_gmab938hcq,1712084400000,1711904110000,Atee is atee,5,42POPS
br_rd6gmergx7,1712084400000,1711853795000,Love!,5,42POPS
br_2g9yx25qxb,1712084400000,1711853680000,Nice!,5,42POPS
br_9z98qdruvy,1712084400000,1711852243000,good products,5,42POPS
br_frp4mnwbhs,1712084400000,1711819229000,Pleasantly surprised! ,5,42POPS
br_c6jsyq25mc,1712084400000,1711818957000,Reliability & Transparency,5,42POPS
br_qy4y4ep7md,1712084400000,1711744653000,First Order,5,42POPS
br_z7f8f37azf,1711998000000,1711667720000,Everything that I have purchased has all been satisfactory ,5,42POPS
br_56gtchc344,1711998000000,1711666616000,great qualiry!,5,42POPS
br_apej28g7bw,1711738800000,1711575923000,loved already place another order ,5,42POPS
br_6vr25gk8pe,1711652400000,1711496475000,This Romper Is SO MUCH MORE! it’s nice to have good quality Plus Size Section ,5,42POPS
br_55zwfuyre4,1711652400000,1711457310000,We are very happy with our items!,5,42POPS
br_2r8rnxmz7g,1711652400000,1711414788000,Great Value,5,42POPS
br_wqtg4h5zmm,1711479600000,1711239944000,selling out...re-ordering now :),5,42POPS
br_9zmteqjkzt,1711479600000,1711210216000,great!,5,42POPS
br_vdah6w729y,1711479600000,1711136647000,I would purchase from this vendor again. ,4,42POPS
br_68yhj9nd5e,1711479600000,1711127136000,Great! Thank you!,5,42POPS
br_83gm78hzn9,1711393200000,1711035147000,These sold out the moment they were listed in my shop! ,5,42POPS
br_mw8sfyus98,1711393200000,1710989087000,Most items are not true to size,3,42POPS
br_hcfz7y9x2t,1711134000000,1710971014000,You can’t beat price ,5,42POPS
br_ssxustgvn8,1711134000000,1710965181000,Good ,4,42POPS
br_3gyfkfjnbv,1711134000000,1710964790000,As described ,5,42POPS
br_2mvs76t3wf,1711134000000,1710947878000,Will shop again ,5,42POPS
br_86k2jd6e68,1711134000000,1710946777000,Great Value,5,42POPS
br_5xnejaqfgs,1711134000000,1710900634000,"This was a great order, loved everything! ",5,42POPS
br_b7p4tqm8uv,1711047600000,1710870069000,Super Stylish! Great Service!,5,42POPS
br_s3v6f3v2mg,1711047600000,1710861247000,Nice fabric ,5,42POPS
br_7kjt2aeqwc,1711047600000,1710848593000,These sets are buttery soft. My customers already are asking for more. Will definitely order again.,5,42POPS
br_bjsnygnkys,1710961200000,1710795429000,PERFECT,5,42POPS
br_7gxw76akqp,1710961200000,1710776217000,"One of my favorite companies for quality and price points! I am a happy, regular customer.",5,42POPS
br_fabz4djtry,1710961200000,1710720981000,Coats are nice many compliments ,5,42POPS
br_hvnypm3cb5,1710874800000,1710604439000,Nice aprons for Mother or Father's Day,5,42POPS
br_h4p4eewwtb,1710874800000,1710523830000,Excellent ,5,42POPS
br_s44d83kk4y,1710874800000,1710523810000,Excellent ,5,42POPS
br_v6aj2tvfw5,1710874800000,1710523774000,Excellent!!,5,42POPS
br_hc3k2csdex,1710874800000,1710521455000,Great!,5,42POPS
br_5vs44uvjbr,1710788400000,1710436298000,This was my first time ordering from Faire and from 42Pops. I'll definitely be ordering again in the future. Great prices and quality.,5,42POPS
