token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_httv8f9ys5,o_uqjmbx9k4x,p_9xxyyv76bz,bo_fz6g9jsa6d,"Unicorn Kids Shampoo, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#FZ6G9JSA6D,
oi_rh3yrswd89,o_uqjmbx9k4x,p_47vqrqmdyb,bo_fz6g9jsa6d,"Unicorn Kids Conditioner, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#FZ6G9JSA6D,
oi_85ntyh4cbt,o_uqjmbx9k4x,p_5g5c5ne78a,bo_fz6g9jsa6d,Unicorn Hair Detangling Mist,default,1700,900,900,6,5400,5400,0,#FZ6G9JSA6D,
oi_yypd4utwk3,o_uqjmbx9k4x,p_zm5bpjdqe9,bo_fz6g9jsa6d,Unicorn Body Wash,default,1800,900,900,3,2700,2700,0,#FZ6G9JSA6D,
oi_x9h3xykcmf,o_uqjmbx9k4x,p_6tt92d5wua,bo_fz6g9jsa6d,"Mermaid Kids Shampoo, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#FZ6G9JSA6D,
oi_9tb5fxbq43,o_stdjw4kujq,p_bytv4ptuyu,bo_zbq888az4z,Mermaid Hair Detangling Brush,default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_9th7hmjkzz,o_stdjw4kujq,p_zm5bpjdqe9,bo_zbq888az4z,Unicorn Body Wash,default,1800,900,900,3,2700,2700,0,#ZBQ888AZ4Z,
oi_cp8n53vx5q,o_stdjw4kujq,p_9uff2v2s4x,bo_zbq888az4z,Unicorn Hair Detangling Brush,default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_9hk9c68s9m,o_stdjw4kujq,p_6tt92d5wua,bo_zbq888az4z,"Mermaid Kids Shampoo, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_egx86btrd7,o_stdjw4kujq,p_pp823z9vjp,bo_zbq888az4z,Mermaid Body Wash,default,1800,900,900,3,2700,2700,0,#ZBQ888AZ4Z,
oi_jxxd6c2sem,o_stdjw4kujq,p_47vqrqmdyb,bo_zbq888az4z,"Unicorn Kids Conditioner, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_3bnh8wuj24,o_stdjw4kujq,p_9xxyyv76bz,bo_zbq888az4z,"Unicorn Kids Shampoo, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_pufgam7ms4,o_stdjw4kujq,p_p9gs9yeqme,bo_zbq888az4z,"Mermaid Kids Conditioner, Paraben and Sulfate Free",default,2200,1100,1100,3,3300,3300,0,#ZBQ888AZ4Z,
oi_jq255e9rmc,o_dd5xv7jscy,p_bytv4ptuyu,bo_g8jrdp3m4g,Mermaid Hair Detangling Brush,default,2200,1100,1100,3,3300,3300,0,#G8JRDP3M4G,
oi_zrdhsrfq4f,o_dd5xv7jscy,p_zm5bpjdqe9,bo_g8jrdp3m4g,Unicorn Body Wash,default,1800,900,900,3,2700,2700,0,#G8JRDP3M4G,
