product_token,name,category,sales_count,order_count,visit_count,date
p_6tt92d5wua,"Mermaid Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-01-01
p_p9gs9yeqme,"Mermaid Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-01-01
p_pp823z9vjp,Mermaid Body Wash,Body Washes,0,0,0,2023-01-01
p_x7gf8venb3,Mermaid Hair Detangling Mist,Hair Spray,0,0,0,2023-01-01
p_bytv4ptuyu,Mermaid Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-01-01
p_hr52f9ysue,Mermaid Whipped Body Butter,Body Balms & Butter,0,0,0,2023-01-01
p_zm5bpjdqe9,Unicorn Body Wash,Body Washes,0,0,0,2023-01-01
p_fc75tq9v4r,Unicorn Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-01-01
p_8ynfd3gnxy,Mermaid Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-01-01
p_4p77f222jw,Unicorn Rainbow Travel Luggage Set,Luggage,0,0,0,2023-01-01
p_gtw7qrnuq8,Unicorn Rainbow Overnight Bag and Cosmetic Bag,Weekender Bags,0,0,0,2023-01-01
p_u9bzms5pga,Unicorn Selfcare Keepall Bag and Cloud Pouch,Luggage,0,0,0,2023-01-01
p_2phbeb3vac,Mermaid Travel Luggage Set,Luggage,0,0,0,2023-01-01
p_jgqpjkwu9r,Mermaid Overnight Bag and Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-01-01
p_8m7ayxv3sj,Mermaid Selfcare Keepall and Purple Pearl Pouch,Luggage,0,0,0,2023-01-01
p_5g5c5ne78a,Unicorn Hair Detangling Mist,Scalp & Hair Treatment,0,0,0,2023-01-01
p_9uff2v2s4x,Unicorn Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-01-01
p_9xxyyv76bz,"Unicorn Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-01-01
p_47vqrqmdyb,"Unicorn Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-01-01
p_xkxrx9jdwu,Unicorn Cloud Pouch,Pouches,0,0,0,2023-01-01
p_ge2s4vr3xp,Unicorn Cosmetic Bag,Makeup Bag,0,0,0,2023-01-01
p_3c7tth94cv,Unicorn Selfcare Keepall,Makeup Bag,0,0,0,2023-01-01
p_e5bkzf79ac,Unicorn Rainbow Overnight Bag,Weekender Bags,0,0,0,2023-01-01
p_d4cbnnhhva,Mermaid Purple Pearl Pouch,Luggage,0,0,0,2023-01-01
p_pkjbxdj9p3,Mermaid Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-01-01
p_vsqm7uc3qy,Mermaid Overnight Bag,Luggage,0,0,0,2023-01-01
p_b7d345966m,Mermaid Selfcare Keepall,Luggage,0,0,0,2023-01-01
p_6tt92d5wua,"Mermaid Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-02-01
p_p9gs9yeqme,"Mermaid Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-02-01
p_pp823z9vjp,Mermaid Body Wash,Body Washes,0,0,0,2023-02-01
p_x7gf8venb3,Mermaid Hair Detangling Mist,Hair Spray,0,0,0,2023-02-01
p_bytv4ptuyu,Mermaid Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-02-01
p_hr52f9ysue,Mermaid Whipped Body Butter,Body Balms & Butter,0,0,0,2023-02-01
p_zm5bpjdqe9,Unicorn Body Wash,Body Washes,0,0,0,2023-02-01
p_fc75tq9v4r,Unicorn Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-02-01
p_8ynfd3gnxy,Mermaid Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-02-01
p_4p77f222jw,Unicorn Rainbow Travel Luggage Set,Luggage,0,0,0,2023-02-01
p_gtw7qrnuq8,Unicorn Rainbow Overnight Bag and Cosmetic Bag,Weekender Bags,0,0,0,2023-02-01
p_u9bzms5pga,Unicorn Selfcare Keepall Bag and Cloud Pouch,Luggage,0,0,0,2023-02-01
p_2phbeb3vac,Mermaid Travel Luggage Set,Luggage,0,0,0,2023-02-01
p_jgqpjkwu9r,Mermaid Overnight Bag and Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-02-01
p_8m7ayxv3sj,Mermaid Selfcare Keepall and Purple Pearl Pouch,Luggage,0,0,0,2023-02-01
p_5g5c5ne78a,Unicorn Hair Detangling Mist,Scalp & Hair Treatment,0,0,0,2023-02-01
p_9uff2v2s4x,Unicorn Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-02-01
p_9xxyyv76bz,"Unicorn Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-02-01
p_47vqrqmdyb,"Unicorn Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-02-01
p_xkxrx9jdwu,Unicorn Cloud Pouch,Pouches,0,0,0,2023-02-01
p_ge2s4vr3xp,Unicorn Cosmetic Bag,Makeup Bag,0,0,0,2023-02-01
p_3c7tth94cv,Unicorn Selfcare Keepall,Makeup Bag,0,0,0,2023-02-01
p_e5bkzf79ac,Unicorn Rainbow Overnight Bag,Weekender Bags,0,0,0,2023-02-01
p_d4cbnnhhva,Mermaid Purple Pearl Pouch,Luggage,0,0,0,2023-02-01
p_pkjbxdj9p3,Mermaid Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-02-01
p_vsqm7uc3qy,Mermaid Overnight Bag,Luggage,0,0,0,2023-02-01
p_b7d345966m,Mermaid Selfcare Keepall,Luggage,0,0,0,2023-02-01
p_6tt92d5wua,"Mermaid Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-03-01
p_p9gs9yeqme,"Mermaid Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-03-01
p_pp823z9vjp,Mermaid Body Wash,Body Washes,0,0,0,2023-03-01
p_x7gf8venb3,Mermaid Hair Detangling Mist,Hair Spray,0,0,0,2023-03-01
p_bytv4ptuyu,Mermaid Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-03-01
p_hr52f9ysue,Mermaid Whipped Body Butter,Body Balms & Butter,0,0,0,2023-03-01
p_zm5bpjdqe9,Unicorn Body Wash,Body Washes,0,0,0,2023-03-01
p_fc75tq9v4r,Unicorn Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-03-01
p_8ynfd3gnxy,Mermaid Hand Sanitizer,Hand Sanitizers & Wipes,0,0,0,2023-03-01
p_4p77f222jw,Unicorn Rainbow Travel Luggage Set,Luggage,0,0,0,2023-03-01
p_gtw7qrnuq8,Unicorn Rainbow Overnight Bag and Cosmetic Bag,Weekender Bags,0,0,0,2023-03-01
p_u9bzms5pga,Unicorn Selfcare Keepall Bag and Cloud Pouch,Luggage,0,0,0,2023-03-01
p_2phbeb3vac,Mermaid Travel Luggage Set,Luggage,0,0,0,2023-03-01
p_jgqpjkwu9r,Mermaid Overnight Bag and Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-03-01
p_8m7ayxv3sj,Mermaid Selfcare Keepall and Purple Pearl Pouch,Luggage,0,0,0,2023-03-01
p_5g5c5ne78a,Unicorn Hair Detangling Mist,Scalp & Hair Treatment,0,0,0,2023-03-01
p_9uff2v2s4x,Unicorn Hair Detangling Brush,Hair Brush & Comb,0,0,0,2023-03-01
p_9xxyyv76bz,"Unicorn Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,0,0,0,2023-03-01
p_47vqrqmdyb,"Unicorn Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,0,0,0,2023-03-01
p_xkxrx9jdwu,Unicorn Cloud Pouch,Pouches,0,0,0,2023-03-01
p_ge2s4vr3xp,Unicorn Cosmetic Bag,Makeup Bag,0,0,0,2023-03-01
p_3c7tth94cv,Unicorn Selfcare Keepall,Makeup Bag,0,0,0,2023-03-01
p_e5bkzf79ac,Unicorn Rainbow Overnight Bag,Weekender Bags,0,0,0,2023-03-01
p_d4cbnnhhva,Mermaid Purple Pearl Pouch,Luggage,0,0,0,2023-03-01
p_pkjbxdj9p3,Mermaid Shell Cosmetic Bag,Makeup Bag,0,0,0,2023-03-01
p_vsqm7uc3qy,Mermaid Overnight Bag,Luggage,0,0,0,2023-03-01
p_b7d345966m,Mermaid Selfcare Keepall,Luggage,0,0,0,2023-03-01
p_6tt92d5wua,"Mermaid Kids Shampoo, Paraben and Sulfate Free",Hair Shampoo,30,2,20,2023-04-01
p_p9gs9yeqme,"Mermaid Kids Conditioner, Paraben and Sulfate Free",Hair Conditioner,30,2,8,2023-04-01
p_pp823z9vjp,Mermaid Body Wash,Body Washes,30,2,13,2023-04-01
p_x7gf8venb3,Mermaid Hair Detangling Mist,Hair Spray,0,0,23,2023-04-01
