execution_date,title,order,search_query
2024-05-27,Mermaid Travel Luggage Set,52,Luggage
2024-05-24,Mermaid Travel Luggage Set,62,Luggage
2024-05-26,Mermaid Travel Luggage Set,46,Luggage
2024-05-25,Mermaid Travel Luggage Set,40,Luggage
2024-05-27,Mermaid Hair Detangling Brush,87,Hair Brush & Comb
2024-05-25,Mermaid Hair Detangling Brush,72,Hair Brush & Comb
2024-05-27,Mermaid Kids Shampoo | Paraben & Sulfate Free,99,Hair Shampoo
2024-05-24,Mermaid Kids Shampoo | Paraben & Sulfate Free,59,Hair Shampoo
2024-05-24,Unicorn Kids Shampoo | Paraben & Sulfate Free,77,Hair Shampoo
2024-05-25,Mermaid Kids Shampoo | Paraben & Sulfate Free,71,Hair Shampoo
2024-05-22,Unicorn Kids Shampoo | Paraben & Sulfate Free,33,Hair Shampoo
2024-05-22,Mermaid Kids Shampoo | Paraben & Sulfate Free,43,Hair Shampoo
2024-05-23,Mermaid Kids Shampoo | Paraben & Sulfate Free,46,Hair Shampoo
2024-05-23,Unicorn Kids Shampoo | Paraben & Sulfate Free,64,Hair Shampoo
2024-05-27,Mermaid Kids Shampoo | Paraben & Sulfate Free,85,Hair Conditioner
2024-05-25,Mermaid Kids Shampoo | Paraben & Sulfate Free,71,Hair Conditioner
2024-05-27,Mermaid Travel Luggage Set,52,Luggage
2024-05-27,Mermaid Hair Detangling Brush,87,Hair Brush & Comb
2024-05-27,Mermaid Kids Shampoo | Paraben & Sulfate Free,99,Hair Shampoo
2024-05-27,Mermaid Kids Shampoo | Paraben & Sulfate Free,85,Hair Conditioner
