collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
New Products,1689372200000,1716220554000,9,0,0,0,garb2ART
Donut Bath Bombs,1716220541000,1716220832000,33,0,0,0,garb2ART
Bath Time Fun,1682627121000,1704583832000,2,0,0,0,garb2ART
Love and Lip Gloss,1682627516000,1702140729000,5,0,0,0,garb2ART
Graduation Gifts,1715185154000,1715185177000,12,0,0,0,Dabble & Dollop
Dabble Ducky Infant Care,1694473516000,1715187320000,5,0,0,0,Dabble & Dollop
All-Natural Body Lotions (Travel Friendly),1695315334000,1715185253000,4,0,0,0,Dabble & Dollop
100% Natural Bath Bombs,1694124876000,1707238447000,6,0,0,0,Dabble & Dollop
Holiday 2023,1694037675000,1710951100000,11,0,0,0,Ginger June Candle Co.
"skin, bath & hair care",1686542565000,1710951010000,21,0,0,0,Ginger June Candle Co.
CONTOUR COLLECTION,1686542791000,1694037675000,12,0,0,0,Ginger June Candle Co.
CONVO COLLECTION,1686542378000,1710951139000,26,0,0,0,Ginger June Candle Co.
"TINS, WIGGLES & TUMBLERS",1674327664000,1710951100000,16,0,0,0,Ginger June Candle Co.
Perfume & room Spray,1674328172000,1698075441000,9,0,0,0,Ginger June Candle Co.
Favorite Boy Surprise Bath Bombs ,1699066429000,1705723620000,2,0,0,0,Purposeful Bliss - Fizzy Magic
Favorite Girl Surprise Bath Bombs ,1699065881000,1705723620000,4,0,0,0,Purposeful Bliss - Fizzy Magic
Everything Dinosaurs,1690718586000,1705723620000,2,0,0,0,Purposeful Bliss - Fizzy Magic
Multi Shape Best Value Bath Bombs ,1689510705000,1705723620000,2,0,0,0,Purposeful Bliss - Fizzy Magic
Tie Dye with Favorite Surprises Inside ,1689420299000,1705723620000,2,0,0,0,Purposeful Bliss - Fizzy Magic
NEW Innovative Castle & Volcano Water Toys,1664469258000,1705723620000,3,0,0,0,Purposeful Bliss - Fizzy Magic
Bath Bombs Popular Surprises Inside Collection ,1664469249000,1705723620000,3,0,0,0,Purposeful Bliss - Fizzy Magic
Birthday Bath Bomb Collection ,1674399487000,1705723620000,2,0,0,0,Purposeful Bliss - Fizzy Magic
All Natural Bath Bomb Collection,1664544983000,1693924034000,5,0,0,0,Gnat and Bee
