tokens,publish_at_values,created_at_values,titles,ratings,brand
br_jnmy4gr5b2,1715108400000,1714860122000,"Amazing!!!! 
",5,garb2ART
br_89cyeyyw4k,1711566000000,1711326653000,Great quality ,5,garb2ART
br_m76r4kxnxk,1709755200000,1709566160000,Amazing!!!,5,garb2ART
br_qezu3jy6mq,1709582400000,1709239396000,Super cute products!,5,garb2ART
br_rwcm8pemd9,1709150400000,1708915683000,Excellent!,5,garb2ART
br_2jwfwp2zrx,1709064000000,1708717181000,Adorable bath bombs!!,5,garb2ART
br_m3p27jtg2f,1706644800000,1706337139000,"This was a reorder-Customers love the whimsy, fun products.",5,garb2ART
br_w67qwyp2sh,1706558400000,1706192381000,I ordered  the valentine donut and you sent all bright yellow that looks nothing like valentines,2,garb2ART
br_8x7axwqebn,1706558400000,1706180994000,On time,5,garb2ART
br_thef552n6z,1704830400000,1704576187000,Excellent ,5,garb2ART
br_uzrdnrhab2,1704312000000,1703934573000,A great seller - colors are so vibrant ,5,garb2ART
br_9pp4gmjv5t,1703880000000,1703706540000,Amazing Products and Packaging!,5,garb2ART
br_8krdmem5z5,1703793600000,1703615898000,Always a great product and great reviews from our customers.  ,5,garb2ART
br_bfuehy7zqp,1703707200000,1703264766000,My customers LOVE these!,5,garb2ART
br_4jxds267de,1703016000000,1702654203000,Amazing!!,5,garb2ART
br_p266tb9gnt,1702324800000,1701988628000,Always Excellent!,5,garb2ART
br_82qz3g47rj,1701892800000,1701678166000,Great bath fizzes ,5,garb2ART
br_wm7pmvfvgf,1701892800000,1701677747000,Great bath fizzes ,5,garb2ART
br_tzg94bb69g,1701720000000,1701319326000,Such a fun company! ,5,garb2ART
br_2wgwenzqbe,1701374400000,1701181932000,AMAZING,5,garb2ART
br_g9eyd3gznu,1701288000000,1701087085000,I was mesmerized just opening the box and seeing all the beautiful colors!! ,5,garb2ART
br_6kdrh3gcnj,1700856000000,1700595463000,Always Excellent!,5,garb2ART
br_2b8tvnwqzd,1700596800000,1700357494000,Always a best seller!,5,garb2ART
br_pbezu32jh9,1700078400000,1699889803000,These are the BOMB!,5,garb2ART
br_fhvsdpascg,1699905600000,1699549932000,THIS IS AN AMAZING PRODUCT CUSTOMERS WILL LOVE THIS HOLIDAY ...,5,garb2ART
br_3egxnhuh77,1699038000000,1698867911000,Excellent product ,5,garb2ART
br_ub3sr9zw7m,1698778800000,1698518891000,Always Excellent!,5,garb2ART
br_jkmqnffaus,1698692400000,1698345944000,A customer favorite!,5,garb2ART
br_sfz2rc55rq,1698174000000,1698015242000,Awesome as always! ,5,garb2ART
br_rj9bc4h9kt,1698174000000,1697974978000,A must ,5,garb2ART
br_6e3ys4jzmd,1697137200000,1696952018000,LOVELOVELOVE,5,garb2ART
br_hgf439c3uj,1694804400000,1694574108000,Excellent!,5,garb2ART
br_hjagwrjxst,1693335600000,1693067187000,Absolutely love these products! Best Sellers.,5,garb2ART
br_dqvd8mkgws,1692990000000,1692812004000,Super cute products.  ,5,garb2ART
br_kfff2bbgs4,1689102000000,1688861842000,Darling ,5,garb2ART
br_22z66jq6wh,1687892400000,1687627282000,Love!!!,5,garb2ART
br_m96m5r5z7p,1687546800000,1687367031000,Excellent,5,garb2ART
br_m4mbrg5crs,1687374000000,1687184198000,Easy Gifting Solution! ,5,garb2ART
br_kq2na83b78,1686164400000,1685932827000,Too cute! ,5,garb2ART
br_wv2shhc27h,1686078000000,1685720471000,Fun,5,garb2ART
br_sngp5grbws,1686078000000,1685718105000,Very impressed,5,garb2ART
br_xdvksaukqr,1684263600000,1684067164000,Customers love these donuts!!!!,5,garb2ART
br_zehjvqt76y,1683658800000,1683317914000,Amazing Products!,5,garb2ART
br_8qm342s3tz,1683226800000,1683067846000,"Fizzing fun, great for almost any stores",5,garb2ART
br_5q5376533k,1683226800000,1683067816000,Great for any store,5,garb2ART
br_83m9s4edsq,1682967600000,1682630768000,Our fav bath store,5,garb2ART
br_n8jxjv6kwf,1682967600000,1682626649000,"⭐️⭐️⭐️⭐️⭐️ quality , packaging, popularly- instant seller! ",5,garb2ART
br_gs84yhbbq9,1681930800000,1681744667000,Have ordered several times...my customers love these and so do I!,5,garb2ART
br_934q2u39r9,1681844400000,1681685459000,Amazing smells and design!!!!!,5,garb2ART
br_e4nkyepuvv,1681412400000,1681215212000,So cute!,5,garb2ART
br_rgusm92jtg,1681239600000,1680971881000,Great products and company ,5,garb2ART
br_3y5tjqf4eh,1680894000000,1680660039000,absolutely phenomenal  ,5,garb2ART
br_y2ejqzj3f5,1680807600000,1680637754000,Great Product!,5,garb2ART
br_sducujk58d,1680548400000,1680214878000,Look nice. Hope they sell. ,5,garb2ART
br_2v5mz7h67z,1680548400000,1680141863000,Great Products and the customers love them,5,garb2ART
br_xnnvw4b9yg,1680030000000,1679672579000,Cute products--but some bulky packaging,4,garb2ART
br_sp9n8fwerm,1680030000000,1679660756000,LOVE the donuts and lip gloss!,4,garb2ART
br_n72sycjx7d,1679511600000,1679326624000,Fun Fizzzz,5,garb2ART
br_98nxvnczub,1679511600000,1679279576000,Perfect!,5,garb2ART
br_mqfjzpkeqm,1679079600000,1678853574000,Great eye catcher,5,garb2ART
br_ymrdqktusr,1678993200000,1678808632000,Always Amazing,5,garb2ART
br_dvd9hxj9xg,1677528000000,1677169893000,great products,5,garb2ART
br_qrr9ybbk9x,1677268800000,1677082410000,excellent,5,garb2ART
br_jg3wyz23mu,1676577600000,1676414011000,So Cute,5,garb2ART
br_k98tvhj5sg,1675800000000,1675467616000,Love the donuts!,5,garb2ART
br_mdggaad83q,1673985600000,1673562840000,well packaged! looked great!,5,garb2ART
br_2ubxqwss42,1673294400000,1672942766000,Love this product so much ,5,garb2ART
br_qsv6yn9vby,1672344000000,1672185207000,Best donut fizzies!,5,garb2ART
br_sd4jhyv9nj,1672171200000,1671815740000,The donut bath bombs is a Great product!,5,garb2ART
br_nnnpqcspgv,1670875200000,1670497658000,Adorable products!,5,garb2ART
br_ttqz4vz3ht,1670356800000,1669953583000,Excellent as always!,5,garb2ART
br_2v4r8yucvs,1669665600000,1669282394000,Great ,5,garb2ART
br_axnzdssdnw,1669060800000,1668702364000,WOW! AMAZING,5,garb2ART
br_y88bfqcdq7,1668542400000,1668372213000,Beyond excellent,5,garb2ART
br_kev6mtjtrb,1668542400000,1668269863000,Donut Bath Bombs are the bomb,5,garb2ART
br_awq2ttuyux,1668542400000,1668050573000,Look good enough to eat!,5,garb2ART
br_xk4bw5qjhs,1667937600000,1667701653000,This is a great selling item!,5,garb2ART
br_wh8umxjz8m,1667937600000,1667696837000,Super Fun Gift Items,5,garb2ART
br_wd8xcuusfb,1667937600000,1667676076000,Always sells well for us,5,garb2ART
br_px7gzx3cc3,1667851200000,1667448756000,Great products and fast shipping ,5,garb2ART
br_x49gpe9umm,1667588400000,1667425263000,Popular Stocking Gifts,5,garb2ART
br_c734vajckn,1667415600000,1667203299000,WONDERFUL donut bath boms,5,garb2ART
br_scbbw5y6yb,1667329200000,1667069222000,great,5,garb2ART
br_5ps5fmdgfp,1667329200000,1667060031000,Customers love these!,5,garb2ART
br_at6yzdt5j2,1666638000000,1666283101000,Wonderful products and great people to work with,5,garb2ART
br_zkhvq4s7t5,1665774000000,1665617400000,Items were damaged and were not like those pictured.,1,garb2ART
br_nzbfa6ykg3,1665774000000,1665593446000,"Quality is good, but neon green for Holiday is not! Not as shown!!!",3,garb2ART
br_v646u68qsu,1665687600000,1665504973000,Love these products! They sell very well in our shop and they are super nice and kind! ,5,garb2ART
