tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_q2dpvfnk9v,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720382015000,False,False,r_b0ypz1ra76,14274,Mahalo Grayton,https://mahalo-grayton.business.site/,Gift Store,True
bo_maatktuy7e,NEW_ORDER,PROCESSING,UNFULFILLED,MARKETPLACE,1720355915000,False,False,r_7737tbwqb4,12684,OAR,,Gift Store,True
bo_mzzcnvsgub,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720063263000,False,False,r_1pqvqq0nz3,10234,Old Village Mercantile,http://www.oldvillagemercantile.com/,General or Mercantile Store,True
bo_hfgqf2b2td,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1720041963000,False,False,r_1bwxpslg,19225,Speckles+Stripes· Boutique,http://www.speckles-Stripes.com/,,True
bo_927jhjfxfe,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1719975796000,False,False,r_c5937fxfc6,10738,Simply Southern Gifts and More,,Clothing Boutique,True
bo_47rap9mbc7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719839359000,False,False,r_3azd7dtf8e,35983,Maine Soap Company,http://www.mainesoapcompany.com/,Gift Store,True
bo_mg2z67qeq6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719773659000,False,False,r_5gyqnr289d,11760,Bloom: A Unique Boutique,https://www.facebook.com/groups/1018576122204747,Clothing Boutique,False
bo_9jcc22s8f8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719769159000,False,False,r_baxj2n2968,12820,Colors of the West,http://colorsofthewestusa.com/,Gift Store,True
bo_955ntm9wvd,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1719759559000,False,False,r_9zwk7yqyg2,16082,Bedford Candy Bar,http://bedfordcandybar.com/,Kids or Toy Store,True
bo_5cxwe5bmsj,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1719718759000,False,False,r_2rnybqnu56,21445,Smithville Candle Company LLC,http://www.instagram.com/smithvillecandleco,Gift Store,True
bo_wrkfp582ew,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719686059000,True,True,r_difini1u,12660,Cloth + Pallet,http://www.whiplashcleveland.com/,,True
bo_h7unkp7cte,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719617659000,False,False,r_346i5xz8wz,10627,Amarillo Candle Company,http://www.amarillocandlecompany.com/,,True
bo_kau4xjyrrc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719588259000,False,False,r_wrbmjwfq32,11031,Gilford Country Store,http://www.gilfordcountrystore.com/,Gift Store,True
bo_2y3c66yjvt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719519166000,False,False,r_7omi2chu79,9851,Tugboat & the bird,http://www.tugboatandthebird.com/,,True
bo_j3epshwk9n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719518566000,True,True,r_8ig6szpdbq,34556,Williams Market,http://www.williamsmkt.com/,Grocery or Liquor Store,True
bo_khxbj6tc52,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719456281000,False,False,r_ealets93ij,11092,GooeyGump Designs,http://www.Facebook.com/gooeygumpdesigns,,True
bo_c8m4a2hetf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719427053000,False,False,r_2zslbpb5cr,10170,The Lili Pad,http://www.facebook.com/thelilipad,,False
bo_r6msw6y6xu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719425853000,False,False,r_6x5a8jnqys,20430,Monkey Fish Toys - West Chester,http://www.monkeyfishtoys.com/,Kids or Toy Store,False
bo_yd4qyfrgvr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719425853000,False,False,r_y0ycscav36,13645,Mother and Daughter Creations,http://motheranddaughtercreations.com,,True
bo_89xtfnwmms,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1719418814000,False,False,r_bm3rti7ei9,1837,That Shop At Prim,,Clothing Boutique,True
bo_g734fa9xu3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719415653000,False,False,r_b6gdgxy9gk,11371,Lunch Money Boutique,https://maps.google.com/?cid=1141133296355057584,Clothing Boutique,False
bo_dw9w2nrp95,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719415353000,False,False,r_5oraz1alq4,19804,Darien Sport Shop,http://Dariensport.com,Clothing Boutique,False
bo_ga3c8m3afr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719412653000,False,False,r_1dyphms2,62470,Doolittlez,http://doolittlez.com/,Kids or Toy Store,False
bo_yguxfsjduz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719351153000,False,False,r_6k484yrbwo,18342,Merry go round,http://www.merrygoroundsantafe.com/,Kids or Toy Store,True
bo_rwgtways9s,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719350253000,False,False,r_4tyff2o6,12718,Bath Junkie,http://www.bathjunkiestaugustine.com/,Spa or Beauty Store,True
bo_h9hcfpn6j7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719268053000,False,False,r_cuey0tfd,21862,Sign of the Bear Kitchenware,https://maps.google.com/?cid=603050532181301315,,True
bo_2xg94r587t,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1719265243000,False,False,r_ecb552e4,1739,Williamston Wellness PLLC,https://www.williamstonwellness.com/,Spa or Beauty Store,True
bo_28pz995a3b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719252753000,True,True,r_7p2rygdim7,12251,Fritz & Gigi,http://www.fritzandgigi.com/,,True
bo_gqszxhqr6a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719245570000,False,False,r_18yy9p32af,11073,cheeky plum,http://www.cheekyplum.com/,Clothing Boutique,True
