product_token,name,category,sales_count,order_count,visit_count,date
p_7m6h9920z6,Cotton Candy Donut Bath Bomb,Bath Bomb & Fizz,387,78,196,2023-01-01 00:00:00
p_aotbemx3ww,Fizzy Pop Donut Bath Bomb,Bath Bomb & Fizz,180,39,18,2023-01-01 00:00:00
p_3855l9yk7t,Glownut Bath Bombs,Bath Bomb & Fizz,171,23,70,2023-01-01 00:00:00
p_d3yaw2l9yi,Margarita Donut Bath Bomb,Bath Bomb & Fizz,39,11,3,2023-01-01 00:00:00
p_1q0ws20rnp,Juicy Peach Donut Bath Bomb,Bath Bomb & Fizz,216,49,19,2023-01-01 00:00:00
p_7kmiw5e4ri,Lavender Fizz Donut Bath Bomb,Bath Bomb & Fizz,405,59,22,2023-01-01 00:00:00
p_a8obshxnpy,Unicorn Donut Bath Bomb,Bath Bomb & Fizz,495,80,75,2023-01-01 00:00:00
p_7y7an4s4lv,Mai Tai Donut Bath Bomb,Bath Bomb & Fizz,75,16,9,2023-01-01 00:00:00
p_c21rinnef6,Coconut Donut Bath Bomb,Bath Bomb & Fizz,240,42,53,2023-01-01 00:00:00
p_6wwh9w7nib,Pineapple Whip Donut Bath Bomb,Bath Bomb & Fizz,102,22,15,2023-01-01 00:00:00
p_cx0oz5rbda,Pink Houses Lipgarb Lighted Lip Gloss,Lip Gloss,24,6,27,2023-01-01 00:00:00
p_6rntwlcd1m,Kiss Lipgarb Lighted Wand Lip Gloss,Lip Gloss,12,3,14,2023-01-01 00:00:00
p_dpidyme4tr,Pineapple Whip Milk Bath,Bath Soaks,18,6,5,2023-01-01 00:00:00
p_ecyaw9egua,Mermaid Milk Bath,Bath Soaks,36,10,21,2023-01-01 00:00:00
p_6kkgrn4oxh,Cotton Candy Milk Bath,Bath Soaks,27,8,15,2023-01-01 00:00:00
p_3e6w809htq,Unicorn Milk Bath,Bath Soaks,18,6,14,2023-01-01 00:00:00
p_18zb7c7nl0,Cherry Bomb Munchies Lighted Wand Lip Gloss,Lip Gloss,36,7,14,2023-01-01 00:00:00
p_9sgq7nar0e,Strawberry Shake Munchies Lighted Lip Gloss,Lip Gloss,33,7,13,2023-01-01 00:00:00
p_alixte29pk,Bubble Gum Munchies Lighted Lip Gloss,Lip Gloss,30,6,21,2023-01-01 00:00:00
p_94ea74afjv,Cotton Candy Munchies Lighted Wand Lip Gloss,Lip Gloss,33,7,16,2023-01-01 00:00:00
p_3c1s9o3vum,Pop Rocks Bath Fizzies,Bath Bomb & Fizz,354,37,86,2023-01-01 00:00:00
p_eflg11sfzn,Pineapple Whip Soap'N Pouf,Whipped Soap,33,9,11,2023-01-01 00:00:00
p_66dd70fltw,Cotton Candy Soap'N Pouf,Bath Sponges & Loofahs,63,18,36,2023-01-01 00:00:00
p_9n3tco4jv6,Strawberry Punch Soap 'N Pouf,Bath Sponges & Loofahs,54,17,35,2023-01-01 00:00:00
p_8hzqry0mri,Dreamsicle Soap'N Pouf,Bath Sponges & Loofahs,27,8,22,2023-01-01 00:00:00
p_8wfbcm8jc5,Key Lime Soap'N Pouf,Bath Sponges & Loofahs,27,8,17,2023-01-01 00:00:00
p_1v7eqg93vu,Donut Bath Bomb 36 CT Display,Bath Bomb & Fizz,57,44,259,2023-01-01 00:00:00
p_a54lglb987,Lipgarb Lighted Wand Lip Gloss 36CT Display,Lip Gloss,3,3,30,2023-01-01 00:00:00
p_6rkyv6aqv6,Munchies Lighted Wand Lip Gloss 36CT Display,Lip Gloss,2,2,32,2023-01-01 00:00:00
p_by3ngqdggd,LED Party Bath Bombs,Bath Bomb & Fizz,156,18,46,2023-01-01 00:00:00
p_2inmwwr3mq,Pirate Booty Treasure Surprise Bath Bomb,Bath Bomb & Fizz,72,8,26,2023-01-01 00:00:00
p_7q5aqm48ty,Unicorn Surprise Bath Bomb,Bath Bomb & Fizz,198,30,32,2023-01-01 00:00:00
p_4xoxxskzy2,Dinosaur Surprise Bath Bomb,Bath Bomb & Fizz,216,34,47,2023-01-01 00:00:00
p_pfthkxnjgm,Rainbow Airbrushed Donut Bath Bomb,Bath Bomb & Fizz,774,80,117,2023-01-01 00:00:00
p_9pt3tmguwp,Mermaid Donut Bath Bomb,Bath Bomb & Fizz,276,55,32,2023-01-01 00:00:00
p_uk36j4p5vh,Strawberry Punch Donut Bath Bomb,Bath Bomb & Fizz,393,71,27,2023-01-01 00:00:00
p_84d7d94y6k,Dreamsicle Donut Bath Bomb,Bath Bomb & Fizz,114,26,8,2023-01-01 00:00:00
p_v5jvpdzy67,Key Lime Donut Bath Bomb,Bath Bomb & Fizz,75,14,11,2023-01-01 00:00:00
p_8atm9a7cps,Fairy Donut Bath Bomb,Bath Bomb & Fizz,264,56,35,2023-01-01 00:00:00
p_9nr6c42p52,Rainbow Milk Bath,Bath Soaks,114,20,52,2023-01-01 00:00:00
p_cfu25cv82a,Coconut Cream Milk Bath,Bath Soaks,30,10,27,2023-01-01 00:00:00
p_6gjj6r4r2r,Key Lime Milk Bath,Bath Soaks,9,3,10,2023-01-01 00:00:00
p_6a9azpk9xp,Strawberry Punch Milk Bath,Bath Soaks,18,6,12,2023-01-01 00:00:00
