collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
SS24 Shoes,1710276213000.0,1719836460000.0,3.0,0.0,0.0,0.0,David Edwards
SS24 Blazers,1710276148000.0,1718658989000.0,2.0,0.0,0.0,0.0,David Edwards
SS24 Shirts,1710276108000.0,1720454457000.0,5.0,0.0,0.0,0.0,David Edwards
SS24 Jeans,1710276000000.0,1714768875000.0,1.0,0.0,0.0,0.0,David Edwards
SS24 Pants,1710275920000.0,1719070316000.0,6.0,0.0,0.0,0.0,David Edwards
SS24 T-Shirts,1710275857000.0,1719515140000.0,3.0,0.0,0.0,0.0,David Edwards
SS24 Short Sleeve,1710275791000.0,1717263841000.0,1.0,0.0,0.0,0.0,David Edwards
SS24 Polo,1710275726000.0,1715602875000.0,1.0,0.0,0.0,0.0,David Edwards
Donato,1705622832000.0,1714673176000.0,1.0,0.0,0.0,0.0,David Edwards
Womans SURFSIDESUPPLY,1719409094000.0,1719409094000.0,26.0,0.0,0.0,0.0,SURFSIDESUPPLY
OLD SCHOOL CLASSICS,1715029026000.0,1719409094000.0,3.0,0.0,0.0,0.0,SURFSIDESUPPLY
Women's Summer New Arrivals 2024,1714749403000.0,1719409094000.0,9.0,0.0,0.0,0.0,SURFSIDESUPPLY
"Hats, Bags, Towels, Bandanas",1711117361000.0,1719409094000.0,8.0,0.0,0.0,0.0,SURFSIDESUPPLY
Surfside Supply x Fishing Capsule,1710945917000.0,1719409094000.0,10.0,0.0,0.0,0.0,SURFSIDESUPPLY
GOODS men's Spring 2024 Collection,1710338189000.0,1719409094000.0,6.0,0.0,0.0,0.0,SURFSIDESUPPLY
Woman's Spring Capsule,1710336840000.0,1719409094000.0,12.0,0.0,0.0,0.0,SURFSIDESUPPLY
Holiday/Resort 2023,1702305384000.0,1719409094000.0,10.0,0.0,0.0,0.0,SURFSIDESUPPLY
Dress Shirts,1691077630000.0,1691082572000.0,37.0,0.0,0.0,0.0,Brooklyn Brigade
Wedding Collection,1664474938000.0,1710610835000.0,21.0,0.0,0.0,0.0,Brooklyn Brigade
New Arrivals ,1720049589000.0,1720455494000.0,34.0,0.0,0.0,0.0,MOD REF
Timeless Classics ,1717173998000.0,1720049589000.0,20.0,0.0,0.0,0.0,MOD REF
Mod Ref Summer 2024 ,1717173040000.0,1720049589000.0,37.0,0.0,0.0,0.0,MOD REF
Summer Dresses,1713290099000.0,1720630809000.0,40.0,0.0,0.0,0.0,MOD REF
Mod Ref Mother's Day ,1710456360000.0,1720049589000.0,36.0,0.0,0.0,0.0,MOD REF
Spring 2024 ,1710450435000.0,1720049589000.0,18.0,0.0,0.0,0.0,MOD REF
New Arrivals,1697472508000.0,1720049589000.0,28.0,0.0,0.0,0.0,MOD REF
Final Few,1703718192000.0,1720049589000.0,14.0,0.0,0.0,0.0,MOD REF
Best Sellers,1697145630000.0,1720463604000.0,11.0,0.0,0.0,0.0,MOD REF
Perfectly Paired Sets,1698264263000.0,1720547979000.0,40.0,0.0,0.0,0.0,MOD REF
Summer Transitional '23,1689295842000.0,1720463604000.0,9.0,0.0,0.0,0.0,MOD REF
