tokens,publish_at_values,created_at_values,titles,ratings,brand
br_9hteku6mct,1714158000000.0,1713978791000.0,Great company and products,5.0,SURFSIDESUPPLY
br_ktrrxyf4cx,1703793600000.0,1703555222000.0,Great Stuff,5.0,SURFSIDESUPPLY
br_tsgdwcnqba,1697482800000.0,1697121617000.0,excellent as always,5.0,SURFSIDESUPPLY
br_x3ykwpap8m,1695063600000.0,1694709199000.0,Always great quality,5.0,SURFSIDESUPPLY
br_rgrp7s9px4,1684782000000.0,1684427196000.0,"Great products, as always. ",5.0,SURFSIDESUPPLY
br_7tvstyq2eq,1682535600000.0,1682343970000.0,Always outstanding,5.0,SURFSIDESUPPLY
br_wfnftzndjw,1678132800000.0,1677779326000.0,Great quality and fulfilled quickly!,5.0,SURFSIDESUPPLY
br_dfgqw4dc73,1671566400000.0,1671341360000.0,marvelous,5.0,SURFSIDESUPPLY
br_mgj7xj8djs,1669752000000.0,1669486829000.0,outstanding as always-im a customer for life,5.0,SURFSIDESUPPLY
br_d6tyqd46ge,1658862000000.0,1658600828000.0,Very good,5.0,SURFSIDESUPPLY
br_h7fbgatkxy,1658257200000.0,1657919788000.0,You can always count on the products being a great quality. Some of the shorts I have difficulty selling because of the price point but that’s just because I live in a tourist town and people are looking for cheap items sometimes,5.0,SURFSIDESUPPLY
br_kytkgpkpub,1656010800000.0,1655839079000.0,Great design and quality!,5.0,SURFSIDESUPPLY
br_6hab8y6twf,1655406000000.0,1655226641000.0,excellent. ordering more,5.0,SURFSIDESUPPLY
br_nzaauagkvp,1654628400000.0,1654446675000.0,Fun shirts!,5.0,SURFSIDESUPPLY
br_qt6v64nwa6,1649703600000.0,1649348387000.0,Nice,4.0,SURFSIDESUPPLY
br_2b4mjabdep,1648148400000.0,1647987386000.0,Great brand ,5.0,SURFSIDESUPPLY
br_rmhtjpu2vt,1646683200000.0,1646350934000.0,Excellent as always,5.0,SURFSIDESUPPLY
br_8nppkcpjkj,1639771200000.0,1639601508000.0,Wow! What speed and quality,5.0,SURFSIDESUPPLY
br_wssr8ztwk6,1638302400000.0,1637976355000.0,marvelous,5.0,SURFSIDESUPPLY
br_9bm2ae3vmm,1637697600000.0,1637366210000.0,excellent quality ,5.0,SURFSIDESUPPLY
br_smy9p8wxzm,1637611200000.0,1637202779000.0,"So fast, so cool!",5.0,SURFSIDESUPPLY
br_bxwz6qexjb,1632855600000.0,1632487944000.0,"Great products and a great response from the customers, easy to reorder and fill in as items sell.",5.0,SURFSIDESUPPLY
br_qrmtrq6qsn,1632855600000.0,1632487917000.0,"Great products and a great response from the customers, easy to reorder and fill in as items sell.",5.0,SURFSIDESUPPLY
br_2v8qjcyaq8,1632510000000.0,1632325149000.0,excellent.,5.0,SURFSIDESUPPLY
br_x75n5ma9mb,1631732400000.0,1631536330000.0,"Great products, sold 3 items in the first day I put them out! Good reviews from customers!",5.0,SURFSIDESUPPLY
br_29fj6548vg,1630350000000.0,1629992531000.0,Nice quality ,5.0,SURFSIDESUPPLY
br_bte5qa46c9,1622142000000.0,1621952041000.0,Excellent Products,5.0,SURFSIDESUPPLY
br_gbaq7dvn45,1622142000000.0,1621951748000.0,EXCELLENT,5.0,SURFSIDESUPPLY
br_c11hr27qdd,1620932400000.0,1620727192000.0,Quality pieces ,5.0,SURFSIDESUPPLY
br_230n99ecan,1619722800000.0,1619564386000.0,Great for beach shop,5.0,SURFSIDESUPPLY
br_edhxqfcu99,1619031600000.0,1618860381000.0,Just gorgeous!,5.0,SURFSIDESUPPLY
br_vst3vnuue9,1671739200000.0,1671554177000.0,A huge hit for my men's client!,5.0,Brooklyn Brigade
br_6amyb7nayf,1718737200000.0,1718329442000.0,"The style, fit and fabric is amazing. Shipping was fast and this is a great brand. Will be a big time repeat customer.",5.0,MOD REF
br_kv8dxgbza9,1718132400000.0,1717735053000.0,Impressed with Mod Ref,5.0,MOD REF
br_m6na5ppngt,1717527600000.0,1717340786000.0,Fantastic ,5.0,MOD REF
br_t2zbrwr6qu,1716922800000.0,1716484170000.0,Great brand,5.0,MOD REF
br_3gz4h45mng,1715108400000.0,1714763461000.0,amazing quality ,5.0,MOD REF
br_ufrpd3kbvs,1714676400000.0,1714507826000.0,Great quality and fair pricing!,5.0,MOD REF
br_wduemampdz,1714503600000.0,1714147989000.0,Great quality and fit!,5.0,MOD REF
br_hhcpjdvwr5,1713553200000.0,1713357843000.0,Love this brand ,5.0,MOD REF
br_zyhu3d2jyj,1711998000000.0,1711615778000.0,Great pieces ,5.0,MOD REF
br_7hbfbtns4q,1710270000000.0,1710092172000.0,Top quality item! ,5.0,MOD REF
br_bqz2uc9tj5,1707854400000.0,1707658526000.0,Products as described ,5.0,MOD REF
br_5f79msbtfb,1706040000000.0,1705696157000.0,Great product will order again!,5.0,MOD REF
br_d629vshnsw,1706040000000.0,1705640070000.0,Interesting and so good,5.0,MOD REF
br_2uddmzrce3,1705521600000.0,1705285078000.0,Wow this material is incredible. A must needed staple for one's closet!,5.0,MOD REF
