product_token,name,category,sales_count,order_count,visit_count,date
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-01-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-01-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-01-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-01-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-01-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-01-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-01-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-01-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-01-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-01-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-01-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-02-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-02-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-02-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-02-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-02-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-02-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-02-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-02-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-02-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-02-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-02-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-03-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-03-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-03-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-03-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-03-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-03-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-03-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-03-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-03-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-03-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-03-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-04-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-04-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-04-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-04-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-04-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-04-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-04-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-04-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-04-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-04-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-04-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-05-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-05-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-05-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-05-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-05-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-05-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-05-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-05-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-05-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-05-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-05-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-06-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-06-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-06-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-06-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-06-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-06-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-06-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-06-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-06-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-06-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-06-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-07-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-07-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-07-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-07-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-07-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-07-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-07-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-07-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-07-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-07-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-07-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-08-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-08-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-08-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-08-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-08-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-08-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-08-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-08-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-08-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-08-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-08-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-09-01
p_3exsqme8c4,Jetsetter Pants,Pants,0,0,0,2023-09-01
p_7h2mdvjnt5,Jetsetter Pants,Pants,0,0,0,2023-09-01
p_awmc9yqdqz,Legacy Jacket,Athletic Jackets,0,0,0,2023-09-01
p_cwrsegb3ts,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-09-01
p_df725jvxzn,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-09-01
p_e9ergxd68u,Jetsetter Boxer Briefs,Underwear,0,0,0,2023-09-01
p_hdzcup7xe4,Jetsetter Pants,Pants,0,0,0,2023-09-01
p_ktnjj2p76c,Jetsetter Shorts,Shorts,0,0,0,2023-09-01
p_rtm2chm9ux,Jetsetter Pants,Pants,0,0,0,2023-09-01
p_uek7quabmk,Jetsetter Pants,Pants,0,0,0,2023-09-01
p_2g32zp3ten,Anytime Tees,T-Shirts,0,0,0,2023-10-01
