collection_title,created_at,updated_at,total_items,collection_promo,collection_promo_discount,collection_promo_started_at,brand
9 Fresh Spring Colors In Stock Now!,1707230520000.0,1707230520000.0,2.0,0.0,0.0,0.0,Latico Leathers
Sling Bags by Latico Leathers,1706737988000.0,1707230520000.0,5.0,0.0,0.0,0.0,Latico Leathers
Top 10 Best Sellers by Latico Leathers ,1704908546000.0,1707230520000.0,10.0,0.0,0.0,0.0,Latico Leathers
Valentine's Day Picks by Latico Leathers ,1704813662000.0,1707230520000.0,20.0,0.0,0.0,0.0,Latico Leathers
11 Ways to Save by Latico Leathers!,1697746871000.0,1707230520000.0,11.0,1.0,3000.0,1701838800000.0,Latico Leathers
Western Vibes by Latico Leathers,1686684575000.0,1707230520000.0,14.0,0.0,0.0,0.0,Latico Leathers
Top Picks for Winter Wovens by Latico Leathers!,1664472833000.0,1707230520000.0,20.0,0.0,0.0,0.0,Latico Leathers
Convertible Bags by Latico Leathers,1664470818000.0,1707230520000.0,6.0,0.0,0.0,0.0,Latico Leathers
Core Crossbody Organizers by Latico Leathers,1664474204000.0,1707230520000.0,15.0,0.0,0.0,0.0,Latico Leathers
Core + Textured Wallets by Latico Leathers,1664474204000.0,1707230520000.0,8.0,0.0,0.0,0.0,Latico Leathers
For the Boys... by Latico Leathers,1664473521000.0,1707230520000.0,4.0,0.0,0.0,0.0,Latico Leathers
The Leather Edit by Latico,1664470920000.0,1707230520000.0,7.0,0.0,0.0,0.0,Latico Leathers
MOTHER'S DAY GIFT GUIDE,1706699839000.0,1707812037000.0,11.0,0.0,0.0,0.0,Sarta
NEW BAGS,1707406031000.0,1707812037000.0,34.0,0.0,0.0,0.0,Sarta
NEW BAG STRAPS,1707405666000.0,1707406031000.0,19.0,0.0,0.0,0.0,Sarta
Express Shipping,1708247314000.0,1708247324000.0,146.0,0.0,0.0,0.0,Sixtease Bags USA
The Vintage Splash,1693681697000.0,1708247324000.0,228.0,0.0,0.0,0.0,Sixtease Bags USA
The Fringe Flair,1701978774000.0,1708247324000.0,103.0,0.0,0.0,0.0,Sixtease Bags USA
The Funky Fresh,1693795303000.0,1708247324000.0,342.0,0.0,0.0,0.0,Sixtease Bags USA
Medley,1693806257000.0,1708247324000.0,88.0,0.0,0.0,0.0,Sixtease Bags USA
The Vintage Pop,1693747951000.0,1708247324000.0,60.0,0.0,0.0,0.0,Sixtease Bags USA
The Hide & Hair Collection,1693804957000.0,1708247324000.0,45.0,0.0,0.0,0.0,Sixtease Bags USA
The Upper Crest,1693631911000.0,1708247324000.0,21.0,0.0,0.0,0.0,Sixtease Bags USA
The Jersey Collection,1693683967000.0,1708247324000.0,70.0,0.0,0.0,0.0,Sixtease Bags USA
Adorn,1701980583000.0,1708247324000.0,228.0,0.0,0.0,0.0,Sixtease Bags USA
Sweaters,1701192087000.0,1701192088000.0,25.0,0.0,0.0,0.0,Threaded Pair
Choose Your Strap Bags,1700681077000.0,1707413968000.0,30.0,0.0,0.0,0.0,Threaded Pair
Pets,1700679206000.0,1701192088000.0,11.0,0.0,0.0,0.0,Threaded Pair
FUN FINDS,1700677281000.0,1704822154000.0,20.0,0.0,0.0,0.0,Threaded Pair
Clearance,1697039691000.0,1701192088000.0,13.0,0.0,0.0,0.0,Threaded Pair
