Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,brand
Shoulder Bags,The Golden Fizz - Shoulder Bag - Women,False,p_ydh263h2ey,FOR_SALE,59.0,29.5,Sixtease Bags USA
Shoulder Bags,Tan/Gold Shoulder Bag - Women's,False,p_zaxw4z5xrt,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Tan/Gold Shoulder Bag - Women's,False,p_63uxh9tr5c,FOR_SALE,86.0,43.0,Sixtease Bags USA
Shoulder Bags,Tan/Gold Shoulder Bag - Women's,False,p_c47456djm9,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Rose Gold Shoulder Bag - Women's,False,p_3kg5z5pntw,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Rigel&^% Shoulder Bag - Women's,False,p_cbdh7dpr7q,FOR_SALE,50.0,25.0,Sixtease Bags USA
Shoulder Bags,Multi White Shoulder Bag - Unisex,False,p_4cqsvebryr,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Rose Gold Shoulder Bag - Unisex,False,p_r4928sgqyj,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Polka Dot Shoulder Bag - Unisex,False,p_3xqj9dzh8r,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Polaris@ Shoulder Bag - Women's,False,p_2vg9rxkrqs,FOR_SALE,50.0,25.0,Sixtease Bags USA
Shoulder Bags,Polka Dot Shoulder Bag - Unisex,False,p_nru9yw9ta9,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Multi White Shoulder Bag - Unisex,False,p_k5nyb3apgu,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Leopard Print Shoulder Bag - Unisex,False,p_qje998793t,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Cola/Gold Shoulder Bag - Unisex,False,p_zaz8npnb7g,FOR_SALE,84.0,42.0,Sixtease Bags USA
Shoulder Bags,Deer Shoulder Bag - Unisex,False,p_443q2kcgz5,FOR_SALE,84.0,42.0,Sixtease Bags USA
